genes	orthology
YHR047C	Multi-Core
YDR368W	Multi-Core
YKR052C	Multi-Core
YGR010W	Multi-Core
YJL034W	Multi-Core
YGL082W	Multi-Core
YGR038W	Multi-Core
YOL011W	Multi-Core
YIL149C	Multi-Core
YDR111C	Multi-Core
YDL175C	Multi-Core
YKR019C	Multi-Core
YAL023C	Multi-Core
YHR016C	Multi-Core
YJL222W	Multi-Core
YLR371W	Multi-Core
YDR146C	Multi-Core
YOR036W	Multi-Core
YBL079W	Multi-Core
YML034W	Multi-Core
YOR226C	Multi-Core
YCR037C	Multi-Core
YKL126W	Multi-Core
YMR182C	Multi-Core
YDR264C	Multi-Core
YBL017C	Multi-Core
YDR515W	Multi-Core
YIL006W	Multi-Core
YKL148C	Multi-Core
YKR058W	Multi-Core
YFR015C	Multi-Core
YKR003W	Multi-Core
YOR280C	Multi-Core
YCR048W	Multi-Core
YBR169C	Multi-Core
YDR272W	Multi-Core
YDR066C	Multi-Core
YHR066W	Multi-Core
YAL062W	Multi-Core
YBL063W	Multi-Core
YOR171C	Multi-Core
YNL108C	Multi-Core
YLR188W	Multi-Core
YNR031C	Multi-Core
YKL008C	Multi-Core
YHR215W	Multi-Core
YOL081W	Multi-Core
YMR118C	Multi-Core
YBR139W	Multi-Core
YER105C	Multi-Core
YKL039W	Multi-Core
YPL048W	Multi-Core
YOL122C	Multi-Core
YJR049C	Multi-Core
YNL121C	Multi-Core
YPL105C	Multi-Core
YAR002C-A	Multi-Core
YPL143W	Multi-Core
YBR105C	Multi-Core
YBR092C	Multi-Core
YJR031C	Multi-Core
YNL148C	Multi-Core
YMR153W	Multi-Core
YMR008C	Multi-Core
YOR061W	Multi-Core
YDR135C	Multi-Core
YNR013C	Multi-Core
YDR059C	Multi-Core
YPR015C	Multi-Core
YMR105C	Multi-Core
YJL133W	Multi-Core
YPL232W	Multi-Core
YNL130C	Multi-Core
YNR019W	Multi-Core
YOL068C	Multi-Core
YIL079C	Multi-Core
YOR110W	Multi-Core
YEL022W	Multi-Core
YDR001C	Multi-Core
YHL017W	Multi-Core
YAL007C	Multi-Core
YOR109W	Multi-Core
YFL054C	Multi-Core
YHR108W	Multi-Core
YJL079C	Multi-Core
YBR267W	Multi-Core
YBR020W	Multi-Core
YHR117W	Multi-Core
YPR119W	Multi-Core
YEL006W	Multi-Core
YHR001W	Multi-Core
YIL173W	Multi-Core
YJR148W	Multi-Core
YLR357W	Multi-Core
YOR317W	Multi-Core
YBR244W	Multi-Core
YLR034C	Multi-Core
YAR071W	Multi-Core
YDR312W	Multi-Core
YBR093C	Multi-Core
YDL204W	Multi-Core
YIL051C	Multi-Core
YLR092W	Multi-Core
YOR173W	Multi-Core
YOR134W	Multi-Core
YHR210C	Multi-Core
YMR246W	Multi-Core
YNL301C	Multi-Core
YMR102C	Multi-Core
YDL022W	Multi-Core
YGR162W	Multi-Core
YPL203W	Multi-Core
YHR123W	Multi-Core
YGR248W	Multi-Core
YKR036C	Multi-Core
YGR059W	Multi-Core
YHR216W	Multi-Core
YMR238W	Multi-Core
YLR146C	Multi-Core
YDL131W	Multi-Core
YML078W	Multi-Core
YDR143C	Multi-Core
YJL164C	Multi-Core
YAL005C	Multi-Core
YOL113W	Multi-Core
YPL270W	Multi-Core
YGL062W	Multi-Core
YLR387C	Multi-Core
YAL054C	Multi-Core
YLR432W	Multi-Core
YLL015W	Multi-Core
YDL155W	Multi-Core
YCR083W	Multi-Core
YMR186W	Multi-Core
YGR201C	Multi-Core
YCL011C	Multi-Core
YHR092C	Multi-Core
YNL134C	Multi-Core
YLR136C	Multi-Core
YLR367W	Multi-Core
YDL085W	Multi-Core
YLR081W	Multi-Core
YNL069C	Multi-Core
YFL011W	Multi-Core
YDR342C	Multi-Core
YPL171C	Multi-Core
YDR345C	Multi-Core
YDR541C	Multi-Core
YDL182W	Multi-Core
YHR094C	Multi-Core
YDL192W	Multi-Core
YNL298W	Multi-Core
YOR299W	Multi-Core
YDR343C	Multi-Core
YJL052W	Multi-Core
YDR492W	Multi-Core
YMR145C	Multi-Core
YGL104C	Multi-Core
YER059W	Multi-Core
YIL105C	Multi-Core
YOL151W	Multi-Core
YCR102C	Multi-Core
YMR011W	Multi-Core
YMR047C	Multi-Core
YKL046C	Multi-Core
YER098W	Multi-Core
YPL106C	Multi-Core
YNL117W	Multi-Core
YIL050W	Multi-Core
YNL047C	Multi-Core
YGL039W	Multi-Core
YPL208W	Multi-Core
YNL004W	Multi-Core
YDR107C	Multi-Core
YHR208W	Multi-Core
YOL016C	Multi-Core
YHR179W	Multi-Core
YDR530C	Multi-Core
YOL156W	Multi-Core
YLR460C	Multi-Core
YGL157W	Multi-Core
YMR237W	Multi-Core
YOR086C	Multi-Core
YKL068W	Multi-Core
YER017C	Multi-Core
YJL191W	Multi-Core
YKR089C	Multi-Core
YOL059W	Multi-Core
YIL095W	Multi-Core
YHR096C	Multi-Core
YOL043C	Multi-Core
YKL027W	Multi-Core
YDL188C	Multi-Core
YPL135W	Multi-Core
YGL210W	Multi-Core
YCL050C	Multi-Core
YIL126W	Multi-Core
YJL112W	Multi-Core
YIR031C	Multi-Core
YLR210W	Multi-Core
YNL087W	Multi-Core
YKL157W	Multi-Core
YNL053W	Multi-Core
YJL219W	Multi-Core
YJL214W	Multi-Core
YER037W	Multi-Core
YLR372W	Multi-Core
YMR306W	Multi-Core
YDR276C	Multi-Core
YLL024C	Multi-Core
YFL041W	Multi-Core
YGR199W	Multi-Core
YGR032W	Multi-Core
YOL084W	Multi-Core
YBL042C	Multi-Core
YOR328W	Multi-Core
YOR081C	Multi-Core
YJL045W	Multi-Core
YMR042W	Multi-Core
YPL273W	Multi-Core
YGL224C	Multi-Core
YKL127W	Multi-Core
YKR076W	Multi-Core
YJR009C	Multi-Core
YLR044C	Multi-Core
YOR153W	Multi-Core
YCR034W	Multi-Core
YIR028W	Multi-Core
YDL224C	Multi-Core
YOR204W	Multi-Core
YNL197C	Multi-Core
YGL133W	Multi-Core
YNL173C	Multi-Core
YNL271C	Multi-Core
YPL258C	Multi-Core
YMR095C	Multi-Core
YMR177W	Multi-Core
YER120W	Multi-Core
YML118W	Multi-Core
YDR389W	Multi-Core
YNR067C	Multi-Core
YPR121W	Multi-Core
YLL062C	Multi-Core
YHR003C	Multi-Core
YGR087C	Multi-Core
YMR266W	Multi-Core
YDR406W	Multi-Core
YPR138C	Multi-Core
YCR091W	Multi-Core
YFR024C-A	Multi-Core
YLR134W	Multi-Core
YMR251W	Multi-Core
YGR121C	Multi-Core
YGR154C	Multi-Core
YNL049C	Multi-Core
YBR021W	Multi-Core
YFL060C	Multi-Core
YLR342W	Multi-Core
YNL333W	Multi-Core
YNL334C	Multi-Core
YCR067C	Multi-Core
YMR058W	Multi-Core
YLR144C	Multi-Core
YLR450W	Multi-Core
YPL216W	Multi-Core
YML061C	Multi-Core
YFL059W	Multi-Core
YNR026C	Multi-Core
YHR146W	Multi-Core
YMR285C	Multi-Core
YOL055C	Multi-Core
YGR066C	Multi-Core
YPL224C	Multi-Core
YBL005W	Multi-Core
YGL013C	Multi-Core
YOR034C	Multi-Core
YFR022W	Multi-Core
YNR047W	Multi-Core
YER073W	Multi-Core
YDL229W	Multi-Core
YGR067C	Multi-Core
YNR060W	Multi-Core
YLL051C	Multi-Core
YLR089C	Multi-Core
YOR054C	Multi-Core
YOL105C	Multi-Core
YOR028C	Multi-Core
YOR106W	Multi-Core
YER129W	Multi-Core
YJL116C	Multi-Core
YOR384W	Multi-Core
YNL268W	Multi-Core
YML070W	Multi-Core
YGR191W	Multi-Core
YJR130C	Multi-Core
YJL206C	Multi-Core
YLR057W	Multi-Core
YOR306C	Multi-Core
YBR205W	Multi-Core
YKL166C	Multi-Core
YKR042W	Multi-Core
YML074C	Multi-Core
YIL015W	Multi-Core
YOR381W	Multi-Core
YGR040W	Multi-Core
YGR240C	Multi-Core
YNL283C	Multi-Core
YIL123W	Multi-Core
YLL054C	Multi-Core
YLR426W	Multi-Core
YGR143W	Multi-Core
YML082W	Multi-Core
YKL220C	Multi-Core
YDR273W	Multi-Core
YER184C	Multi-Core
YJL084C	Multi-Core
YOR378W	Multi-Core
YNL104C	Multi-Core
YER144C	Multi-Core
YKL050C	Multi-Core
YNL144C	Multi-Core
YER056C	Multi-Core
YLL012W	Multi-Core
YLR121C	Multi-Core
YNL156C	Multi-Core
YMR273C	Multi-Core
YJR091C	Multi-Core
YPL141C	Multi-Core
YMR169C	Multi-Core
YFL050C	Multi-Core
YLR300W	Multi-Core
YMR083W	Multi-Core
YOR099W	Multi-Core
YBR214W	Multi-Core
YOR018W	Multi-Core
YIL121W	Multi-Core
YCR010C	Multi-Core
YDL049C	Multi-Core
YLR307W	Multi-Core
YNL209W	Multi-Core
YHR080C	Multi-Core
YJL160C	Multi-Core
YLR206W	Multi-Core
YML106W	Multi-Core
YFL009W	Multi-Core
YDR247W	Multi-Core
YMR053C	Multi-Core
YOR140W	Multi-Core
YLR177W	Multi-Core
YDL161W	Multi-Core
YMR170C	Multi-Core
YGR092W	Multi-Core
YBR263W	Multi-Core
YDR038C	Multi-Core
YML109W	Multi-Core
YDR501W	Multi-Core
YPR149W	Multi-Core
YKR034W	Multi-Core
YGL247W	Multi-Core
YOR256C	Multi-Core
YMR096W	Multi-Core
YPL230W	Multi-Core
YGL139W	Multi-Core
YLR183C	Multi-Core
YHR133C	Multi-Core
YHR132W-A	Multi-Core
YIL111W	Multi-Core
YHR174W	Multi-Core
YPL221W	Multi-Core
YDL010W	Multi-Core
YHR198C	Multi-Core
YMR307W	Multi-Core
YLR131C	Multi-Core
YOR108W	Multi-Core
YGL166W	Multi-Core
YAL051W	Multi-Core
YER047C	Multi-Core
YPL038W	Multi-Core
YDR040C	Multi-Core
YKR021W	Multi-Core
YNR002C	Multi-Core
YHR135C	Multi-Core
YGR197C	Multi-Core
YAL034C	Multi-Core
YGR141W	Multi-Core
YHR131C	Multi-Core
YMR295C	Multi-Core
YKR072C	Multi-Core
YDL194W	Multi-Core
YPL026C	Multi-Core
YOR285W	Multi-Core
YDR326C	Multi-Core
YPL176C	Multi-Core
YML124C	Multi-Core
YJL158C	Multi-Core
YDR144C	Multi-Core
YOR237W	Multi-Core
YML100W	Multi-Core
YHR097C	Multi-Core
YDR043C	Multi-Core
YER177W	Multi-Core
YOR042W	Multi-Core
YDR055W	Multi-Core
YKL020C	Multi-Core
YOR338W	Multi-Core
YBR078W	Multi-Core
YDR505C	Multi-Core
YDR348C	Multi-Core
YCR073W-A	Multi-Core
YIL130W	Multi-Core
YOL086C	Multi-Core
YLR449W	Multi-Core
YIR033W	Multi-Core
YIL085C	Multi-Core
YDR514C	Multi-Core
YDR533C	Multi-Core
YOL119C	Multi-Core
YOL089C	Multi-Core
YEL063C	Multi-Core
YOR391C	Multi-Core
YNL029C	Multi-Core
YER066W	Multi-Core
YGR138C	Multi-Core
YCL036W	Multi-Core
YGL056C	Multi-Core
YOR233W	Multi-Core
YPR032W	Multi-Core
YJR061W	Multi-Core
YNL257C	Multi-Core
YNR034W	Multi-Core
YNL157W	Multi-Core
YDR300C	Multi-Core
YHR199C	Multi-Core
YDR516C	Multi-Core
YJR015W	Multi-Core
YNL293W	Multi-Core
YJR054W	Multi-Core
YLR108C	Multi-Core
YKR039W	Multi-Core
YCL040W	Multi-Core
YOR363C	Multi-Core
YBR066C	Multi-Core
YDR011W	Multi-Core
YGR279C	Multi-Core
YOR190W	Multi-Core
YER166W	Multi-Core
YPL278C	Multi-Core
YLR020C	Multi-Core
YPR157W	Multi-Core
YLR120C	Multi-Core
YNL052W	Multi-Core
YHR155W	Multi-Core
YKL201C	Multi-Core
YER060W	Multi-Core
YPL279C	Multi-Core
YKL164C	Multi-Core
YOL130W	Multi-Core
YMR119W	Multi-Core
YPR159W	Multi-Core
YNL066W	Multi-Core
YPL137C	Multi-Core
YDR132C	Multi-Core
YDR178W	Multi-Core
YDL138W	Multi-Core
YNL008C	Multi-Core
YOR227W	Multi-Core
YPL145C	Multi-Core
YOR390W	Multi-Core
YBR014C	Multi-Core
YBL106C	Multi-Core
YPR042C	Multi-Core
YML002W	Multi-Core
YLR164W	Multi-Core
YBR150C	Multi-Core
YDL222C	Multi-Core
YKL072W	Multi-Core
YDR122W	Multi-Core
YPR156C	Multi-Core
YPL280W	Multi-Core
YLR096W	Multi-Core
YNL194C	Multi-Core
YIL120W	Multi-Core
YDR093W	Multi-Core
YJL174W	Multi-Core
YJL186W	Multi-Core
YBR015C	Multi-Core
YMR303C	Multi-Core
YMR031C	Multi-Core
YER130C	Multi-Core
YPR172W	Multi-Core
YMR271C	Multi-Core
YBR240C	Multi-Core
YGR131W	Multi-Core
YLR456W	Multi-Core
YJR076C	Multi-Core
YOL048C	Multi-Core
YPL277C	Multi-Core
YOR389W	Multi-Core
YDR253C	Multi-Core
YMR261C	Multi-Core
YMR322C	Multi-Core
YPR111W	Multi-Core
YMR305C	Multi-Core
YDR106W	Multi-Core
YDR207C	Multi-Core
YBR016W	Multi-Core
YPL058C	Multi-Core
YPL061W	Multi-Core
YJL076W	Multi-Core
YNL065W	Multi-Core
YMR136W	Multi-Core
YIL035C	Multi-Core
YER103W	Multi-Core
YOR297C	Multi-Core
YDR213W	Multi-Core
YCL001W-A	Multi-Core
YML116W	Multi-Core
YLR152C	Multi-Core
YCL001W-B	Multi-Core
YDL012C	Multi-Core
YOL100W	Multi-Core
YML016C	Multi-Core
YLR228C	Multi-Core
YIL056W	Multi-Core
YKL133C	Multi-Core
YGR008C	Multi-Core
YDR251W	Multi-Core
YNL165W	Multi-Core
YDR277C	Multi-Core
YDR463W	Multi-Core
YOR092W	Multi-Core
YER101C	Multi-Core
YDL048C	Multi-Core
YBR270C	Multi-Core
YOR385W	Multi-Core
YML081W	Multi-Core
YJL058C	Multi-Core
YDR223W	Multi-Core
YHR006W	Multi-Core
YIL117C	Multi-Core
YNL095C	Multi-Core
YER093C-A	Multi-Core
YBR005W	Multi-Core
YBL054W	Multi-Core
YPL032C	Multi-Core
YBR216C	Multi-Core
YLR327C	Multi-Core
YJR127C	Multi-Core
YMR316W	Multi-Core
YNL058C	Multi-Core
YMR279C	Multi-Core
YMR115W	Multi-Core
YER064C	Multi-Core
YKR010C	Multi-Core
YBL069W	Multi-Core
YDR003W	Multi-Core
YHR033W	Multi-Core
YOR047C	Multi-Core
YLR375W	Multi-Core
YGL060W	Multi-Core
YBR264C	Multi-Core
YPR008W	Multi-Core
YER040W	Multi-Core
YJL151C	Multi-Core
YBR059C	Multi-Core
YLR237W	Multi-Core
YHR036W	Multi-Core
YDR218C	Multi-Core
YOR071C	Multi-Core
YPL179W	Multi-Core
YMR054W	Multi-Core
YLR343W	Multi-Core
YBL059W	Multi-Core
YLL043W	Multi-Core
YHR129C	Multi-Core
YLR258W	Multi-Core
YKL062W	Multi-Core
YDR259C	Multi-Core
YMR037C	Multi-Core
YER123W	Multi-Core
YOR192C	Multi-Core
YBR245C	Multi-Core
YEL061C	Multi-Core
YKL222C	Multi-Core
YER088C	Multi-Core
YOR162C	Multi-Core
YLR223C	Multi-Core
YKR061W	Multi-Core
YJL139C	Multi-Core
YOR172W	Multi-Core
YBL052C	Multi-Core
YLR266C	Multi-Core
YML003W	Multi-Core
YLL055W	Non-Core
YOR064C	Non-Core
YDR139C	Non-Core
YJR078W	Non-Core
YDL081C	Non-Core
YFR032C-A	Non-Core
YBR118W	Non-Core
YHR029C	Non-Core
YML131W	Non-Core
YDL127W	Non-Core
YOR308C	Non-Core
YDR382W	Non-Core
YJL001W	Non-Core
YDL061C	Non-Core
YLR388W	Non-Core
YJL210W	Non-Core
YLR180W	Non-Core
YNL281W	Non-Core
YDR030C	Non-Core
YBR010W	Non-Core
YMR114C	Non-Core
YJL189W	Non-Core
YFL003C	Non-Core
YGR020C	Non-Core
YGR214W	Non-Core
YNL239W	Non-Core
YFR038W	Non-Core
YKR094C	Non-Core
YBL098W	Non-Core
YBR222C	Non-Core
YLR287C-A	Non-Core
YLL053C	Non-Core
YBR161W	Non-Core
YHR039C-A	Non-Core
YOR182C	Non-Core
YFL042C	Non-Core
YHR209W	Non-Core
YBL078C	Non-Core
YIL148W	Non-Core
YPL189W	Non-Core
YNR064C	Non-Core
YJL056C	Non-Core
YML125C	Non-Core
YNL030W	Non-Core
YBR009C	Non-Core
YDR321W	Non-Core
YPR093C	Non-Core
YPR081C	Non-Core
YLR448W	Non-Core
YOR347C	Non-Core
YLL052C	Non-Core
YPL264C	Non-Core
YDR068W	Non-Core
YKL100C	Non-Core
YHR193C	Non-Core
YGL063W	Non-Core
YPR080W	Non-Core
YPR147C	Non-Core
YGL251C	Non-Core
YER175C	Non-Core
YIL114C	Non-Core
YDL197C	Non-Core
YJL216C	Non-Core
YOR133W	Non-Core
YOL058W	Non-Core
YLR454W	Non-Core
YOR003W	Non-Core
YKL047W	Non-Core
YPL015C	Non-Core
YKL216W	Non-Core
YLR412W	Non-Core
YOR295W	Non-Core
YGR042W	Non-Core
YGL050W	Non-Core
YDR288W	Non-Core
YLL039C	Non-Core
YOL157C	Non-Core
YNL141W	Non-Core
YMR060C	Non-Core
YDL154W	Non-Core
YGL127C	Non-Core
YNL286W	Non-Core
YIL009W	Non-Core
YML057W	Non-Core
YER179W	Non-Core
YDR287W	Non-Core
YDR385W	Non-Core
YLR271W	Non-Core
YPL057C	Non-Core
YNL154C	Non-Core
YOR148C	Non-Core
YNL260C	Non-Core
YDL105W	Non-Core
YLR070C	Non-Core
YGL004C	Non-Core
YNL253W	Non-Core
YDR381W	Non-Core
YKL139W	Non-Core
YCR023C	Non-Core
YGL156W	Non-Core
YDR081C	Non-Core
YJL098W	Non-Core
YDR378C	Non-Core
YOR185C	Non-Core
YFR040W	Non-Core
YHR189W	Non-Core
YDR098C	Non-Core
YBL075C	Non-Core
YGR204W	Non-Core
YBR024W	Non-Core
YNL213C	Non-Core
YOR327C	Non-Core
YDR018C	Non-Core
YER053C	Non-Core
YOL141W	Non-Core
YDL179W	Non-Core
YNL155W	Non-Core
YKL140W	Non-Core
YOR344C	Non-Core
YGL161C	Non-Core
YER004W	Non-Core
YPL081W	Non-Core
YDR402C	Non-Core
YJL013C	Non-Core
YEL019C	Non-Core
YDR304C	Non-Core
YDL036C	Non-Core
YBR175W	Non-Core
YER048C	Non-Core
YOL088C	Non-Core
YOL027C	Non-Core
YLR179C	Non-Core
YDL189W	Non-Core
YGR287C	Non-Core
YOR107W	Non-Core
YOR386W	Non-Core
YBR201W	Non-Core
YIL066C	Non-Core
YDR031W	Non-Core
YGR292W	Non-Core
YMR233W	Non-Core
YGL254W	Non-Core
YDL130W-A	Non-Core
YPL271W	Non-Core
YDL070W	Non-Core
YLR231C	Non-Core
YEL020C	Non-Core
YOR339C	Non-Core
YLR099C	Non-Core
YJR134C	Non-Core
YNR048W	Non-Core
YER087C-B	Non-Core
YAL047C	Non-Core
YJL048C	Non-Core
YBR046C	Non-Core
YMR152W	Non-Core
YKL218C	Non-Core
YDR185C	Non-Core
YNL031C	Non-Core
YPR186C	Non-Core
YIL138C	Non-Core
YMR154C	Non-Core
YOL152W	Non-Core
YNL012W	Non-Core
YDR125C	Non-Core
YKL091C	Non-Core
YGL183C	Non-Core
YIR036C	Non-Core
YGR256W	Non-Core
YBR273C	Non-Core
YNL255C	Non-Core
YDR319C	Non-Core
YBR299W	Non-Core
YGR043C	Non-Core
YDR147W	Non-Core
YOR334W	Non-Core
YBR186W	Non-Core
YIL072W	Non-Core
YHR046C	Non-Core
YGR089W	Non-Core
YMR194C-B	Non-Core
YBR274W	Non-Core
YFL021W	Non-Core
YER015W	Non-Core
YPL207W	Non-Core
YBL050W	Non-Core
YCR016W	Non-Core
YLR007W	Non-Core
YLR348C	Non-Core
YLL060C	Non-Core
YDL047W	Non-Core
YDR338C	Non-Core
YPL236C	Non-Core
YNL245C	Non-Core
YFR047C	Non-Core
YDR411C	Non-Core
YPL047W	Non-Core
YDR256C	Non-Core
YML041C	Non-Core
YAL030W	Non-Core
