genes	orthology
YGR161W-C	Non-Core
YPL053C	Non-Core
YAR028W	Non-Core
YGR071C	Non-Core
YOR247W	Non-Core
YFR012W-A	Non-Core
YOL017W	Non-Core
YCL021W-A	Non-Core
YAR027W	Non-Core
YOL128C	Non-Core
YLL022C	Non-Core
YDR480W	Non-Core
YKL023W	Non-Core
YML058W-A	Non-Core
YHR153C	Non-Core
YPL017C	Non-Core
YOR020W-A	Non-Core
YOL159C-A	Non-Core
YHR157W	Non-Core
YDR275W	Non-Core
YJR147W	Non-Core
YLR046C	Non-Core
YIL092W	Non-Core
YBR013C	Non-Core
YLR373C	Non-Core
YPR071W	Non-Core
YOR186W	Non-Core
YEL035C	Non-Core
YPR030W	Non-Core
YDL069C	Non-Core
YMR195W	Non-Core
YBR052C	Non-Core
YMR174C	Non-Core
YNR028W	Non-Core
YLR125W	Non-Core
YOR076C	Non-Core
YGL053W	Non-Core
YJL225C	Non-Core
YKL065W-A	Non-Core
YIL029C	Non-Core
YEL077C	Non-Core
YKL109W	Non-Core
YHR057C	Non-Core
YOR193W	Non-Core
YPL223C	Non-Core
YBR126W-A	Non-Core
YOL155C	Non-Core
YHR014W	Non-Core
YEL073C	Non-Core
YBR284W	Non-Core
YCL048W-A	Non-Core
YJL181W	Non-Core
YJL037W	Non-Core
YBR230W-A	Non-Core
YFR055W	Non-Core
YLR453C	Non-Core
YHR199C-A	Non-Core
YNL046W	Non-Core
YLR297W	Non-Core
YNL018C	Non-Core
YHL048W	Non-Core
YFL066C	Non-Core
YBR063C	Non-Core
YEL071W	Non-Core
YDR014W-A	Non-Core
YOL159C	Non-Core
YER190W	Non-Core
YDL199C	Non-Core
YDL241W	Non-Core
YOL052C-A	Non-Core
YLR010C	Non-Core
YAR033W	Non-Core
YKL096W-A	Non-Core
YOL162W	Non-Core
YBR188C	Non-Core
YMR317W	Non-Core
YNR075W	Non-Core
YGL158W	Non-Core
YLR082C	Non-Core
YOL014W	Non-Core
YPL124W	Non-Core
YER187W	Non-Core
YGL051W	Non-Core
YLR273C	Non-Core
YHR182W	Non-Core
YNL190W	Non-Core
YDR436W	Non-Core
YPL068C	Non-Core
YER067W	Non-Core
YCL056C	Non-Core
YBR045C	Non-Core
YKL068W-A	Non-Core
YGL107C	Non-Core
YOR044W	Non-Core
YMR040W	Non-Core
YLR146W-A	Non-Core
YPR174C	Non-Core
YLR053C	Non-Core
YFR020W	Non-Core
YBR069C	Non-Core
YDR042C	Non-Core
YHL050C	Non-Core
YDR119W	Non-Core
YPR199C	Non-Core
YOR284W	Non-Core
YDL079C	Non-Core
YFR026C	Non-Core
YIL014C-A	Non-Core
YML122C	Non-Core
YER085C	Non-Core
YBL113C	Non-Core
YHL044W	Non-Core
YGL230C	Non-Core
YLR036C	Non-Core
YNL143C	Non-Core
YPL200W	Non-Core
YDR540C	Non-Core
YKL023C-A	Non-Core
YDR210W	Non-Core
YAR023C	Non-Core
YOR009W	Non-Core
YBR184W	Non-Core
YHR219W	Non-Core
YGR045C	Non-Core
YOL024W	Non-Core
YEL072W	Non-Core
YNR044W	Non-Core
YIL002W-A	Non-Core
YER188W	Non-Core
YFR054C	Non-Core
YDR534C	Non-Core
YER186C	Non-Core
YPL257W	Non-Core
YLR265C	Non-Core
YGL194C-A	Non-Core
YPL250C	Non-Core
YCR025C	Non-Core
YHL042W	Non-Core
YIL059C	Non-Core
YER038W-A	Non-Core
YHR214W	Non-Core
YER121W	Non-Core
YHR180W	Non-Core
YAR066W	Non-Core
YHL043W	Non-Core
YEL028W	Non-Core
YEL068C	Non-Core
YJL144W	Non-Core
YNL204C	Non-Core
YPR202W	Non-Core
YDL239C	Non-Core
YKR103W	Non-Core
YKL044W	Non-Core
YDR157W	Non-Core
YBL030C	Non-Core
YIL158W	Non-Core
YDR077W	Non-Core
YNR061C	Non-Core
YLL058W	Non-Core
YMR173W	Non-Core
YAR029W	Non-Core
YMR056C	Non-Core
YOL109W	Non-Core
YMR323W	Non-Core
YCR100C	Non-Core
YCR101C	Non-Core
YIL037C	Non-Core
YNL300W	Non-Core
YLR194C	Non-Core
YBR201C-A	Non-Core
YBR285W	Non-Core
YGR174W-A	Non-Core
YAR020C	Non-Core
YPL056C	Non-Core
YOL038C-A	Non-Core
YER188C-A	Non-Core
YIL165C	Non-Core
YOR381W-A	Non-Core
YHR007C-A	Non-Core
YLR030W	Non-Core
YMR320W	Non-Core
YIL060W	Non-Core
YDR524C-B	Non-Core
YOR214C	Non-Core
YDL133C-A	Non-Core
YGL193C	Non-Core
YGR039W	Non-Core
YPR159C-A	Non-Core
YDL184C	Non-Core
YGL259W	Non-Core
YDL022C-A	Non-Core
YHR050W-A	Non-Core
YNR068C	Non-Core
YOR376W-A	Non-Core
YOR343C	Non-Core
YLR112W	Non-Core
YJR120W	Non-Core
YJL199C	Non-Core
YNL097C-B	Non-Core
YNL146C-A	Non-Core
YPR096C	Non-Core
YPL062W	Non-Core
YJR108W	Non-Core
YPR053C	Non-Core
YLR415C	Non-Core
YMR007W	Non-Core
YBR090C	Non-Core
YCR024C-B	Non-Core
YBR292C	Non-Core
YDR182W-A	Non-Core
YBR056W-A	Non-Core
YLR042C	Non-Core
YNL093W	Non-Core
YDR169C-A	Non-Core
YOR015W	Non-Core
YOL118C	Non-Core
YBR027C	Non-Core
YER189W	Non-Core
YHR139C-A	Non-Core
YDR003W-A	Non-Core
YPL119C-A	Non-Core
YOL163W	Non-Core
YDL039C	Non-Core
YMR001C-A	Non-Core
YMR084W	Non-Core
YJL118W	Non-Core
YJL107C	Non-Core
YEL067C	Non-Core
YER135C	Non-Core
YKR073C	Non-Core
YGL188C-A	Non-Core
YFL041W-A	Non-Core
YCL042W	Non-Core
YCR095W-A	Non-Core
YMR175W-A	Non-Core
YKL161C	Non-Core
YCR006C	Non-Core
YDR504C	Non-Core
YLR122C	Non-Core
YLR342W-A	Non-Core
YOR072W	Non-Core
YFL065C	Non-Core
YCL058C	Non-Core
YAR068W	Non-Core
YDR034W-B	Non-Core
YCR099C	Non-Core
YEL059W	Non-Core
YEL045C	Non-Core
YOL097W-A	Non-Core
YER039C-A	Non-Core
YGL007C-A	Non-Core
YGR025W	Non-Core
YOR032W-A	Non-Core
YMR103C	Non-Core
YFL019C	Non-Core
YHR130C	Non-Core
YLR261C	Non-Core
YDR246W-A	Non-Core
YGL204C	Non-Core
YJL077C	Non-Core
YFL064C	Non-Core
YDR344C	Non-Core
YMR158C-A	Non-Core
YHR175W-A	Non-Core
YFR012W	Non-Core
YHR032W-A	Non-Core
YJR079W	Non-Core
YNL146W	Non-Core
YDL223C	Non-Core
YBL048W	Non-Core
YLR285C-A	Non-Core
YMR182W-A	Non-Core
YJL077W-A	Non-Core
YJR146W	Non-Core
YJL077W-B	Non-Core
YER175W-A	Non-Core
YER145C-A	Non-Core
YNL198C	Non-Core
YNL269W	Non-Core
YGR050C	Non-Core
YLR204W	Non-Core
YFR032C-B	Non-Core
YOL085C	Non-Core
YOR161C-C	Non-Core
YOR034C-A	Non-Core
YNL184C	Non-Core
YGL006W-A	Non-Core
YBR196C-B	Non-Core
YLR296W	Non-Core
YKR104W	Non-Core
YKR059W	Non-Core
YJL138C	Non-Core
YDR248C	Single-Core
YOR100C	Single-Core
YAR035W	Single-Core
YMR189W	Single-Core
YGL001C	Single-Core
YPR192W	Single-Core
YGR060W	Single-Core
YHR190W	Single-Core
YMR202W	Single-Core
YER156C	Single-Core
YLR056W	Single-Core
YPR025C	Single-Core
YNL111C	Single-Core
YER043C	Single-Core
YJL088W	Single-Core
YNL112W	Single-Core
YLR176C	Single-Core
YJR048W	Single-Core
YMR284W	Single-Core
YML126C	Single-Core
YHR007C	Single-Core
YPL266W	Single-Core
YGR175C	Single-Core
YMR015C	Single-Core
YDR047W	Single-Core
YCR014C	Single-Core
YLR027C	Single-Core
YER069W	Single-Core
YAR015W	Single-Core
YLR389C	Single-Core
YJL167W	Single-Core
YML022W	Single-Core
YBR034C	Single-Core
YKL221W	Single-Core
YNL280C	Single-Core
YNL242W	Single-Core
YMR178W	Single-Core
YNR030W	Single-Core
YPL065W	Single-Core
YIR034C	Single-Core
YER044C	Single-Core
YNR043W	Single-Core
YMR221C	Single-Core
YEL024W	Single-Core
YPL246C	Single-Core
YKL197C	Single-Core
YKR090W	Single-Core
YLR001C	Single-Core
YBR159W	Single-Core
YFR027W	Single-Core
YNR050C	Single-Core
YPL268W	Single-Core
YOL012C	Single-Core
YLR167W	Single-Core
YLL013C	Single-Core
YML065W	Single-Core
YGR234W	Single-Core
YBL082C	Single-Core
YDL014W	Single-Core
YAL002W	Single-Core
YHR026W	Single-Core
YHL015W	Single-Core
YBL041W	Single-Core
YDR371W	Single-Core
YLR175W	Single-Core
YGR159C	Single-Core
YDR188W	Single-Core
YPR002W	Single-Core
YKR081C	Single-Core
YKR086W	Single-Core
YMR120C	Single-Core
YHR119W	Single-Core
YML092C	Single-Core
YDR375C	Single-Core
YIR002C	Single-Core
YDR037W	Single-Core
YLR377C	Single-Core
YDR212W	Single-Core
YOL052C	Single-Core
YDR361C	Single-Core
YMR165C	Single-Core
YLR109W	Single-Core
YMR156C	Single-Core
YML105C	Single-Core
YPL190C	Single-Core
YOR243C	Single-Core
YJR060W	Single-Core
YMR216C	Single-Core
YPR074C	Single-Core
YDR232W	Single-Core
YMR190C	Single-Core
YER116C	Single-Core
YHR052W	Single-Core
YEL058W	Single-Core
YGL103W	Single-Core
YKL010C	Single-Core
YGL202W	Single-Core
YJL029C	Single-Core
YDR531W	Single-Core
YPL249C	Single-Core
YLR229C	Single-Core
YIL144W	Single-Core
YPR103W	Single-Core
YER169W	Single-Core
YGR135W	Single-Core
YMR300C	Single-Core
YMR260C	Single-Core
YCR033W	Single-Core
YHR020W	Single-Core
YDR527W	Single-Core
YPR033C	Single-Core
YGL120C	Single-Core
YNL025C	Single-Core
YJR069C	Single-Core
YDL130W	Single-Core
YPL239W	Single-Core
YOR166C	Single-Core
YOL127W	Single-Core
YGR082W	Single-Core
YMR304W	Single-Core
YDR006C	Single-Core
YLR325C	Single-Core
YNL147W	Single-Core
YGL123W	Single-Core
YLR340W	Single-Core
YOR143C	Single-Core
YIR027C	Single-Core
YCR053W	Single-Core
YMR137C	Single-Core
YLR191W	Single-Core
YMR076C	Single-Core
YLR066W	Single-Core
YGR258C	Single-Core
YJL002C	Single-Core
YOL004W	Single-Core
YDR226W	Single-Core
YMR213W	Single-Core
YJR073C	Single-Core
YGL055W	Single-Core
YDR052C	Single-Core
YLR133W	Single-Core
YLR337C	Single-Core
YBR083W	Single-Core
YOR157C	Single-Core
YER006W	Single-Core
YGL066W	Single-Core
YOR353C	Single-Core
YJL102W	Single-Core
YNL248C	Single-Core
YPL243W	Single-Core
YHL010C	Single-Core
YOL006C	Single-Core
YJL145W	Single-Core
YDR045C	Single-Core
YGL125W	Single-Core
YPL093W	Single-Core
YHR024C	Single-Core
YNL175C	Single-Core
YDR064W	Single-Core
YDR523C	Single-Core
YDL208W	Single-Core
YLR186W	Single-Core
YGR037C	Single-Core
YLR075W	Single-Core
YNL315C	Single-Core
YFL037W	Single-Core
YFR031C	Single-Core
YLR310C	Single-Core
YDL028C	Single-Core
YLR351C	Single-Core
YDR341C	Single-Core
YBR029C	Single-Core
YJL097W	Single-Core
YHR072W-A	Single-Core
YGL030W	Single-Core
YHR186C	Single-Core
YDR397C	Single-Core
YIL103W	Single-Core
YPL213W	Single-Core
YOR176W	Single-Core
YOR310C	Single-Core
YCR042C	Single-Core
YBR070C	Single-Core
YPR110C	Single-Core
YJR123W	Single-Core
YGL080W	Single-Core
YHR019C	Single-Core
YOR181W	Single-Core
YGL231C	Single-Core
YDL143W	Single-Core
YGR220C	Single-Core
YOL054W	Single-Core
YLR455W	Single-Core
YPR166C	Single-Core
YLR441C	Single-Core
YCL059C	Single-Core
YDR454C	Single-Core
YLL019C	Single-Core
YLR222C	Single-Core
YGL234W	Single-Core
YOR142W	Single-Core
YBR187W	Single-Core
YDL106C	Single-Core
YOR101W	Single-Core
YNL092W	Single-Core
YGL187C	Single-Core
YNL178W	Single-Core
YER093C	Single-Core
YLR197W	Single-Core
YDR027C	Single-Core
YHR018C	Single-Core
YPR016C	Single-Core
YDL216C	Single-Core
YDL236W	Single-Core
YBR158W	Single-Core
YJR105W	Single-Core
YMR314W	Single-Core
YML054C	Single-Core
YML028W	Single-Core
YOR298C-A	Single-Core
YBR060C	Single-Core
YMR039C	Single-Core
YKL152C	Single-Core
YMR226C	Single-Core
YOR212W	Single-Core
YKR063C	Single-Core
YER007C-A	Single-Core
YNL161W	Single-Core
YBL008W	Single-Core
YOR079C	Single-Core
YAL003W	Single-Core
YIR026C	Single-Core
YFR004W	Single-Core
YIR009W	Single-Core
YOR128C	Single-Core
YKR048C	Single-Core
YIL142W	Single-Core
YPL164C	Single-Core
YER023W	Single-Core
YLR168C	Single-Core
YDR429C	Single-Core
YFL045C	Single-Core
YDR097C	Single-Core
YNR032C-A	Single-Core
YLR172C	Single-Core
YBL092W	Single-Core
YER110C	Single-Core
YLR100W	Single-Core
YDR257C	Single-Core
YGR253C	Single-Core
YNL267W	Single-Core
YHR128W	Single-Core
YFR050C	Single-Core
YDR208W	Single-Core
YNL006W	Single-Core
YNL312W	Single-Core
YOL057W	Single-Core
YHR023W	Single-Core
YPL211W	Single-Core
YML095C	Single-Core
YGL153W	Single-Core
YHR068W	Single-Core
YDR486C	Single-Core
YBL097W	Single-Core
YLR209C	Single-Core
YOR057W	Single-Core
YBL076C	Single-Core
YGL237C	Single-Core
YNL230C	Single-Core
YOR063W	Single-Core
YJR033C	Single-Core
YPL010W	Single-Core
YBR265W	Single-Core
YOL060C	Single-Core
YML015C	Single-Core
YJL128C	Single-Core
YDR140W	Single-Core
YMR116C	Single-Core
YHL021C	Single-Core
YLL050C	Single-Core
YJR063W	Single-Core
YGR172C	Single-Core
YOR369C	Single-Core
YOR206W	Single-Core
YPL131W	Single-Core
YPR113W	Single-Core
YGL245W	Single-Core
YEL020W-A	Single-Core
YOR087W	Single-Core
YKL022C	Single-Core
YNL220W	Single-Core
YEL009C	Single-Core
YMR035W	Single-Core
YJL026W	Single-Core
YEL031W	Single-Core
YDR091C	Single-Core
YKL088W	Single-Core
YLR086W	Single-Core
YJR121W	Single-Core
YPL028W	Single-Core
YGL048C	Single-Core
YCR044C	Single-Core
YLR359W	Single-Core
YEL003W	Single-Core
YBL084C	Single-Core
YGR001C	Single-Core
YEL002C	Single-Core
YML073C	Single-Core
YLR050C	Single-Core
YMR208W	Single-Core
YGR123C	Single-Core
YPR187W	Single-Core
YNL128W	Single-Core
YFR019W	Single-Core
YPR118W	Single-Core
YMR274C	Single-Core
YGL163C	Single-Core
YNL044W	Single-Core
YOL097C	Single-Core
YKR054C	Single-Core
YEL026W	Single-Core
YGR245C	Single-Core
YBR127C	Single-Core
YMR277W	Single-Core
YOR335C	Single-Core
YNL123W	Single-Core
YDL029W	Single-Core
YOL133W	Single-Core
YAR003W	Single-Core
YPL183C	Single-Core
YBR234C	Single-Core
YLR382C	Single-Core
YGR080W	Single-Core
YDL166C	Single-Core
YFR018C	Single-Core
YGR094W	Single-Core
YLR116W	Single-Core
YPL110C	Single-Core
YDR019C	Single-Core
YLR200W	Single-Core
YPL181W	Single-Core
YKL110C	Single-Core
YJL008C	Single-Core
YNL024C-A	Single-Core
YDL084W	Single-Core
YPR004C	Single-Core
YDR510W	Single-Core
YJL124C	Single-Core
YOR361C	Single-Core
YJR085C	Single-Core
YJL111W	Single-Core
YPR031W	Single-Core
YFR052W	Single-Core
YGR264C	Single-Core
YDR087C	Single-Core
YML102W	Single-Core
YOR236W	Single-Core
YEL062W	Single-Core
YHR089C	Single-Core
YOL041C	Single-Core
YHR200W	Single-Core
YDR482C	Single-Core
YML086C	Single-Core
YGR232W	Single-Core
YIL078W	Single-Core
YBR221C	Single-Core
YLR118C	Single-Core
YDR023W	Single-Core
YOL008W	Single-Core
YGL003C	Single-Core
YDR460W	Single-Core
YIR015W	Single-Core
YER178W	Single-Core
YIL076W	Single-Core
YPR104C	Single-Core
YPL125W	Single-Core
YBL023C	Single-Core
YOR007C	Single-Core
YJR138W	Single-Core
YNL201C	Single-Core
YLR208W	Single-Core
YML001W	Single-Core
YPL237W	Single-Core
YBR103W	Single-Core
YMR146C	Single-Core
YOR122C	Single-Core
YGL097W	Single-Core
YML071C	Single-Core
YCR032W	Single-Core
YIL004C	Single-Core
YCL057C-A	Single-Core
YIL112W	Single-Core
YPR026W	Single-Core
YOR159C	Single-Core
YKL056C	Single-Core
YER162C	Single-Core
YHR005C-A	Single-Core
YCR012W	Single-Core
YGL044C	Single-Core
YOL093W	Single-Core
YBR109C	Single-Core
YPL146C	Single-Core
YFR044C	Single-Core
YBR135W	Single-Core
YJL180C	Single-Core
YGR028W	Single-Core
YKL013C	Single-Core
YNL097C	Single-Core
YGL190C	Single-Core
YOR095C	Single-Core
YDR168W	Single-Core
YER003C	Single-Core
YDR105C	Single-Core
YJR017C	Single-Core
YKL154W	Single-Core
YAL020C	Single-Core
YJL091C	Single-Core
YKL053C-A	Single-Core
YDR408C	Single-Core
YDR036C	Single-Core
YJL024C	Single-Core
YJL060W	Single-Core
YHR013C	Single-Core
YGR207C	Single-Core
YNR016C	Single-Core
YNL136W	Single-Core
YPL040C	Single-Core
YBL039C	Single-Core
YMR292W	Single-Core
YNL026W	Single-Core
YJR007W	Single-Core
YPL218W	Single-Core
YEL027W	Single-Core
YBR039W	Single-Core
YPL085W	Single-Core
YMR315W	Single-Core
YDL033C	Single-Core
YLR234W	Single-Core
YER126C	Single-Core
YER009W	Single-Core
YIR001C	Single-Core
YLR281C	Single-Core
YNL288W	Single-Core
YDL125C	Single-Core
YER094C	Single-Core
YFR010W	Single-Core
YPR010C	Single-Core
YER074W-A	Single-Core
YHR164C	Single-Core
YOR065W	Single-Core
YJR058C	Single-Core
YNR008W	Single-Core
YGR267C	Single-Core
YOR067C	Single-Core
YPR028W	Single-Core
YOR259C	Single-Core
YBR192W	Single-Core
YPR107C	Single-Core
YGR061C	Single-Core
YLR418C	Single-Core
YBR018C	Single-Core
YLL034C	Single-Core
YLR038C	Single-Core
YDR330W	Single-Core
YJL093C	Single-Core
YGL011C	Single-Core
YMR218C	Single-Core
YKL179C	Single-Core
YDL015C	Single-Core
YPL012W	Single-Core
YPL175W	Single-Core
YIL155C	Single-Core
YMR309C	Single-Core
YOR004W	Single-Core
YNL189W	Single-Core
YER012W	Single-Core
YLR438W	Single-Core
YFL001W	Single-Core
YAL016W	Single-Core
YGR246C	Single-Core
YNR046W	Single-Core
YDR080W	Single-Core
YML069W	Single-Core
YEL051W	Single-Core
YDR311W	Single-Core
YHR051W	Single-Core
YIL043C	Single-Core
YKL082C	Single-Core
YHL007C	Single-Core
YKL192C	Single-Core
YKL165C	Single-Core
YOR274W	Single-Core
YOR117W	Single-Core
YDR496C	Single-Core
YGR270W	Single-Core
YER122C	Single-Core
YFL023W	Single-Core
YDL205C	Single-Core
YPR035W	Single-Core
YJL046W	Single-Core
YCL001W	Single-Core
YPL078C	Single-Core
YIL097W	Single-Core
YCR002C	Single-Core
YMR293C	Single-Core
YOL124C	Single-Core
YDR162C	Single-Core
YBL021C	Single-Core
YBR164C	Single-Core
YDR448W	Single-Core
YLR447C	Single-Core
YGL095C	Single-Core
YOL010W	Single-Core
YBR079C	Single-Core
YBR004C	Single-Core
YOL022C	Single-Core
YBR233W	Single-Core
YLR274W	Single-Core
YKL080W	Single-Core
YDR129C	Single-Core
YMR217W	Single-Core
YBR042C	Single-Core
YLR113W	Single-Core
YLR403W	Single-Core
YGL087C	Single-Core
YDR050C	Single-Core
YDR427W	Single-Core
YJR035W	Single-Core
YML060W	Single-Core
YJR006W	Single-Core
YLR433C	Single-Core
YDL190C	Single-Core
YDL017W	Single-Core
YDR298C	Single-Core
YOR323C	Single-Core
YLR272C	Single-Core
YIL065C	Single-Core
YDL097C	Single-Core
YOL034W	Single-Core
YOR358W	Single-Core
YBL064C	Single-Core
YHR181W	Single-Core
YPR135W	Single-Core
YGL098W	Single-Core
YKR088C	Single-Core
YKL209C	Single-Core
YCL055W	Single-Core
YJR024C	Single-Core
YDR473C	Single-Core
YNR017W	Single-Core
YJR090C	Single-Core
YDR372C	Single-Core
YML114C	Single-Core
YNL320W	Single-Core
YNL132W	Single-Core
YPR163C	Single-Core
YPL262W	Single-Core
YHR011W	Single-Core
YBL024W	Single-Core
YFR051C	Single-Core
YAL019W	Single-Core
YGL077C	Single-Core
YJL109C	Single-Core
YOR160W	Single-Core
YPR189W	Single-Core
YNL167C	Single-Core
YPL088W	Single-Core
YDR165W	Single-Core
YOR272W	Single-Core
YDL074C	Single-Core
YKR002W	Single-Core
YCR063W	Single-Core
YLR207W	Single-Core
YDR088C	Single-Core
YER165W	Single-Core
YLR114C	Single-Core
YPR041W	Single-Core
YDR086C	Single-Core
YHR122W	Single-Core
YGL141W	Single-Core
YGR021W	Single-Core
YLL018C	Single-Core
YER007W	Single-Core
YDR456W	Single-Core
YPL204W	Single-Core
YDR084C	Single-Core
YDL100C	Single-Core
YJR099W	Single-Core
YBL047C	Single-Core
YIR008C	Single-Core
YOR085W	Single-Core
YBL036C	Single-Core
YGR274C	Single-Core
YKL120W	Single-Core
YLL023C	Single-Core
YOR245C	Single-Core
YDR266C	Single-Core
YLR438C-A	Single-Core
YKL095W	Single-Core
YIL001W	Single-Core
YJL104W	Single-Core
YLR246W	Single-Core
YBL099W	Single-Core
YBR296C	Single-Core
YDR002W	Single-Core
YLL029W	Single-Core
YMR203W	Single-Core
YDR331W	Single-Core
YDL181W	Single-Core
YLR071C	Single-Core
YJR125C	Single-Core
YBR223C	Single-Core
YPR036W	Single-Core
YOR271C	Single-Core
YGL205W	Single-Core
YKL016C	Single-Core
YFR009W	Single-Core
YOR091W	Single-Core
YBR061C	Single-Core
YDR238C	Single-Core
YNR036C	Single-Core
YIR022W	Single-Core
YDR071C	Single-Core
YGR048W	Single-Core
YKL059C	Single-Core
YPL046C	Single-Core
YPL103C	Single-Core
YOR281C	Single-Core
YDL230W	Single-Core
YGR208W	Single-Core
YIL063C	Single-Core
YNL222W	Single-Core
YDR145W	Single-Core
YMR234W	Single-Core
YOR150W	Single-Core
YKL203C	Single-Core
YDR477W	Single-Core
YKL012W	Single-Core
YPL178W	Single-Core
YOR261C	Single-Core
YML042W	Single-Core
YOR006C	Single-Core
YKR093W	Single-Core
YGL067W	Single-Core
YDR489W	Single-Core
YCR036W	Single-Core
YNL207W	Single-Core
YHR085W	Single-Core
YER042W	Single-Core
YOR002W	Single-Core
YIL046W	Single-Core
YGL040C	Single-Core
YBR260C	Single-Core
YMR227C	Single-Core
YDL126C	Single-Core
YHR175W	Single-Core
YNL252C	Single-Core
YDR333C	Single-Core
YHR116W	Single-Core
YLR019W	Single-Core
YFL030W	Single-Core
YPR141C	Single-Core
YDL091C	Single-Core
YOR251C	Single-Core
YER151C	Single-Core
YOR257W	Single-Core
YAL041W	Single-Core
YML049C	Single-Core
YCL008C	Single-Core
YGL220W	Single-Core
YJR065C	Single-Core
YNL124W	Single-Core
YLR362W	Single-Core
YML036W	Single-Core
YLR304C	Single-Core
YER068W	Single-Core
YJR084W	Single-Core
YAL033W	Single-Core
YOR216C	Single-Core
YLR147C	Single-Core
YNR054C	Single-Core
YLL031C	Single-Core
YER020W	Single-Core
YOL080C	Single-Core
YDR284C	Single-Core
YEL042W	Single-Core
YCR097W	Single-Core
YPL107W	Single-Core
YFL046W	Single-Core
YBR111C	Single-Core
YDR379C-A	Single-Core
YKR038C	Single-Core
YNL048W	Single-Core
YJL203W	Single-Core
YML012W	Single-Core
YOR278W	Single-Core
YNL039W	Single-Core
YNL071W	Single-Core
YEL052W	Single-Core
YGL216W	Single-Core
YDR115W	Single-Core
YER163C	Single-Core
YJR074W	Single-Core
YDL064W	Single-Core
YMR012W	Single-Core
YIL143C	Single-Core
YDR141C	Single-Core
YGR188C	Single-Core
YDR359C	Single-Core
YGR046W	Single-Core
YKL058W	Single-Core
YNR041C	Single-Core
YLL009C	Single-Core
YJR045C	Single-Core
YDR410C	Single-Core
YNL200C	Single-Core
YAL032C	Single-Core
YOR116C	Single-Core
YDR394W	Single-Core
YDR363W-A	Single-Core
YCL017C	Single-Core
YOR161C	Single-Core
YLR117C	Single-Core
YML018C	Single-Core
YHR075C	Single-Core
YKL009W	Single-Core
YPL169C	Single-Core
YCL057W	Single-Core
YIL033C	Single-Core
YLR244C	Single-Core
YPR023C	Single-Core
YIL104C	Single-Core
YLR025W	Single-Core
YLR060W	Single-Core
YPL094C	Single-Core
YDR044W	Single-Core
YDR211W	Single-Core
YGL232W	Single-Core
YOR241W	Single-Core
YPL138C	Single-Core
YNL274C	Single-Core
YBL037W	Single-Core
YKR070W	Single-Core
YAR007C	Single-Core
YGR173W	Single-Core
YCL033C	Single-Core
YDR109C	Single-Core
YPL051W	Single-Core
YMR079W	Single-Core
YKR056W	Single-Core
YNL153C	Single-Core
YDR265W	Single-Core
YNR020C	Single-Core
YDR337W	Single-Core
YML004C	Single-Core
YGR116W	Single-Core
YNL182C	Single-Core
YJL031C	Single-Core
YKR099W	Single-Core
YLR189C	Single-Core
YKL217W	Single-Core
YJL080C	Single-Core
YBR088C	Single-Core
YPL059W	Single-Core
YER049W	Single-Core
YOR123C	Single-Core
YCR057C	Single-Core
YOL086W-A	Single-Core
YGL054C	Single-Core
YBR251W	Single-Core
YMR077C	Single-Core
YIL160C	Single-Core
YPL069C	Single-Core
YBR196C	Single-Core
YJR036C	Single-Core
YGR262C	Single-Core
YHR077C	Single-Core
YPL123C	Single-Core
YPL043W	Single-Core
YKL024C	Single-Core
YMR259C	Single-Core
YNL241C	Single-Core
YDR057W	Single-Core
YPL199C	Single-Core
YMR243C	Single-Core
YML021C	Single-Core
YOR362C	Single-Core
YBR220C	Single-Core
YCR071C	Single-Core
YPR045C	Single-Core
YKL002W	Single-Core
YML046W	Single-Core
YGL018C	Single-Core
YFR028C	Single-Core
YGR185C	Single-Core
YIL110W	Single-Core
YOR187W	Single-Core
YHR088W	Single-Core
YOR265W	Single-Core
YDR405W	Single-Core
YLR289W	Single-Core
YDL072C	Single-Core
YHR201C	Single-Core
YDR267C	Single-Core
YIL044C	Single-Core
YDL201W	Single-Core
YJL140W	Single-Core
YAL021C	Single-Core
YDL103C	Single-Core
YJL172W	Single-Core
YPL091W	Single-Core
YOL069W	Single-Core
YJL050W	Single-Core
YML094W	Single-Core
YKL135C	Single-Core
YPR073C	Single-Core
YDL165W	Single-Core
YBR087W	Single-Core
YIL064W	Single-Core
YMR235C	Single-Core
YDR299W	Single-Core
YLR151C	Single-Core
YPR019W	Single-Core
YKL145W	Single-Core
YGR063C	Single-Core
YER107C	Single-Core
YBR037C	Single-Core
YDR519W	Single-Core
YDR243C	Single-Core
YLR323C	Single-Core
YGR211W	Single-Core
YLL036C	Single-Core
YGL171W	Single-Core
YER087W	Single-Core
YDR404C	Single-Core
YER029C	Single-Core
YPR088C	Single-Core
YPR183W	Single-Core
YNL135C	Single-Core
YBR231C	Single-Core
YCL064C	Single-Core
YMR201C	Single-Core
YPL227C	Single-Core
YIL022W	Single-Core
YDL098C	Single-Core
YBR041W	Single-Core
YDR452W	Single-Core
YAL044C	Single-Core
YNL005C	Single-Core
YNL259C	Single-Core
YNL308C	Single-Core
YKL001C	Single-Core
YNR006W	Single-Core
YEL012W	Single-Core
YDL135C	Single-Core
YPL147W	Single-Core
YPL235W	Single-Core
YGL221C	Single-Core
YDL195W	Single-Core
YOR141C	Single-Core
YJL194W	Single-Core
YDL051W	Single-Core
YBL013W	Single-Core
YER021W	Single-Core
YLR410W	Single-Core
YMR048W	Single-Core
