OG #	S.cer	K.marx	Y.lipo
OG0000855	"YKR059W, YJL138C"	KMXK_0A05140	YALI1_B27320g
OG0000856	YKR056W	KMXK_0A05180	YALI1_F26860g
OG0000857	YKR055W	KMXK_0A05190	YALI1_B18190g
OG0000858	YKR054C	KMXK_0A05200	YALI1_E39057g
OG0000859	YGR244C	KMXK_0A05270	YALI1_D05873g
OG0000860	YGR245C	KMXK_0A05280	YALI1_E03220g
OG0000861	YGR246C	KMXK_0A05290	YALI1_E28599g
OG0000862	YGR247W	KMXK_0A05300	YALI1_A21311g
OG0000863	YHR164C	KMXK_0A05340	YALI1_E39500t
OG0000864	YHR165C	KMXK_0A05360	YALI1_C15021g
OG0000865	YHR166C	KMXK_0A05370	YALI1_C15077g
OG0000866	YHR168W	KMXK_0A05390	YALI1_D05817g
OG0000867	YMR214W	KMXK_0A05410	YALI1_E12952g
OG0000868	YMR215W	KMXK_0A05420	YALI1_A03837g
OG0000869	YMR216C	KMXK_0A05430	YALI1_A19459g
OG0000870	YMR217W	KMXK_0A05460	YALI1_B21070g
OG0000871	YOR278W	KMXK_0A05470	YALI1_F13039g
OG0000872	YMR218C	KMXK_0A05480	YALI1_B29662g
OG0000873	YMR220W	KMXK_0A05500	YALI1_E07506g
OG0000874	YMR221C	KMXK_0A05520	YALI1_C02904g
OG0000875	YMR223W	KMXK_0A05550	YALI1_C13093g
OG0000876	YOR281C	KMXK_0A05560	YALI1_D16236g
OG0000877	YMR224C	KMXK_0A05570	YALI1_B19120g
OG0000878	YOR283W	KMXK_0A05580	YALI1_D20359g
OG0000879	YOR287C	KMXK_0A05610	YALI1_B05242g
OG0000880	YMR225C	KMXK_0A05620	YALI1_F37248g
OG0000881	YDR404C	KMXK_0A05630	YALI1_D14462g
OG0000882	YDR400W	KMXK_0A05660	YALI1_F05220g
OG0000883	YDR398W	KMXK_0A05700	YALI1_E19483g
OG0000885	YDR397C	KMXK_0A05710	YALI1_E19494g
OG0000886	YOR149C	KMXK_0A05730	YALI1_C02086g
OG0000887	YDR394W	KMXK_0A05740	YALI1_D14609g
OG0000888	YDR393W	KMXK_0A05750	YALI1_E01694g
OG0000889	YOR145C	KMXK_0A05780	YALI1_E01649g
OG0000890	YML121W	KMXK_0A05800	YALI1_A09949g
OG0000891	YMR287C	KMXK_0A05820	YALI1_C21234g
OG0000892	YMR286W	KMXK_0A05840	YALI1_C11930g
OG0000893	YMR284W	KMXK_0A05860	YALI1_C11925g
OG0000894	YOL003C	KMXK_0A05870	YALI1_D34860g
OG0000895	YOL004W	KMXK_0A05880	YALI1_D34785g
OG0000896	YOL005C	KMXK_0A05890	YALI1_D34758g
OG0000897	YMR001C	KMXK_0A05900	YALI1_D34395g
OG0000898	YOL006C	KMXK_0A05910	YALI1_D34487g
OG0000899	YMR002W	KMXK_0A05920	YALI1_F22978g
OG0000900	YMR003W	KMXK_0A05930	YALI1_B10607g
OG0000901	YOL008W	KMXK_0A05940	YALI1_A03081g
OG0000902	YOL009C	KMXK_0A05950	YALI1_A03091g
OG0000903	YMR004W	KMXK_0A05960	YALI1_A03721g
OG0000904	YOL010W	KMXK_0A05970	YALI1_A05571g
OG0000905	YMR005W	KMXK_0A05980	YALI1_F09456g
OG0000906	YOL012C	KMXK_0A06000	YALI1_F04070g
OG0000907	YBR217W	KMXK_0A06070	YALI1_F37255g
OG0000908	YBR215W	KMXK_0A06090	YALI1_F23833g
OG0000909	YGL059W	KMXK_0A06100	YALI1_F34202g
OG0000910	YGL058W	KMXK_0A06110	YALI1_F34105g
OG0000911	YGL055W	KMXK_0A06140	YALI1_C07638g
OG0000912	YBR213W	KMXK_0A06150	YALI1_E14153g
OG0000913	YGL054C	KMXK_0A06190	YALI1_F15859g
OG0000914	YOR191W	KMXK_0A06230	YALI1_F37828g
OG0000915	YFL010C	KMXK_0A06240	YALI1_E18281g
OG0000916	YOR188W	KMXK_0A06270	YALI1_F36805g
OG0000917	YLR299W	KMXK_0A06280	YALI1_C15945g
OG0000918	YLR298C	KMXK_0A06300	YALI1_F07376g
OG0000919	YLR289W	KMXK_0A06360	YALI1_F14374g
OG0000920	YOR184W	KMXK_0A06380	YALI1_F09598g
OG0000921	YOR181W	KMXK_0A06410	YALI1_B28744g
OG0000923	YLR286C	KMXK_0A06420	YALI1_A02198g
OG0000924	YLR285W	KMXK_0A06430	YALI1_A09408g
OG0000925	YLR283W	KMXK_0A06450	YALI1_C01993g
OG0000927	YLR281C	KMXK_0A06460	YALI1_B01903g
OG0000928	YLR278C	KMXK_0A06470	YALI1_C01847g
OG0000929	YLR277C	KMXK_0A06480	YALI1_F05624g
OG0000930	YLR276C	KMXK_0A06490	YALI1_F39128g
OG0000931	YOL073C	KMXK_0A06510	YALI1_D00909g
OG0000932	YGR078C	KMXK_0A06520	YALI1_B11916g
OG0000933	YOL075C	KMXK_0A06530	YALI1_D34149g
OG0000934	YBR138C	KMXK_0A06540	YALI1_E05145g
OG0000935	YDL013W	KMXK_0A06570	YALI1_C33332g
OG0000936	YDL014W	KMXK_0A06580	YALI1_C22857g
OG0000937	YDL015C	KMXK_0A06600	YALI1_A05116g
OG0000938	YDL017W	KMXK_0A06610	YALI1_F30520g
OG0000939	YIR027C	KMXK_0A06630	YALI1_F30479g
OG0000940	YBR017C	KMXK_0A06640	YALI1_F02794g
OG0000941	YAR014C	KMXK_0A06650	YALI1_F02855g
OG0000942	YAR015W	KMXK_0A06660	YALI1_E39221g
OG0000943	YAR018C	KMXK_0A06670	YALI1_E40422g
OG0000944	YAR019C	KMXK_0A06680	YALI1_F11553g
OG0000945	YAR035W	KMXK_0A06690	YALI1_F28064g
OG0000946	YDL020C	KMXK_0A06720	YALI1_F33301g
OG0000947	YOL057W	KMXK_0A06740	YALI1_B25603g
OG0000949	YOL060C	KMXK_0A06770	YALI1_E36984g
OG0000950	YDL025C	KMXK_0A06780	YALI1_B01511g
OG0000951	YOL061W	KMXK_0A06790	YALI1_B01428g
OG0000952	YOL062C	KMXK_0A06800	YALI1_C17680g
OG0000953	YDL029W	KMXK_0A06820	YALI1_F20712g
OG0000954	YDL028C	KMXK_0A06830	YALI1_F10900g
OG0000955	YOL093W	KMXK_0A06870	YALI1_F17103g
OG0000956	YOL094C	KMXK_0A06880	YALI1_F10688g
OG0000957	YDR484W	KMXK_0A06890	YALI1_F10731g
OG0000958	YOL096C	KMXK_0A06920	YALI1_B20835g
OG0000959	YDR486C	KMXK_0A06930	YALI1_B12057g
OG0000960	YJL194W	KMXK_0A06940	YALI1_C00913g
OG0000961	YCR033W	KMXK_0A06950	YALI1_B26517g
OG0000962	YCR035C	KMXK_0A06970	YALI1_B19567g
OG0000963	YCR036W	KMXK_0A06980	YALI1_B19576g
OG0000964	YJL197W	KMXK_0A06990	YALI1_B19205g
OG0000965	YJL200C	KMXK_0A07020	YALI1_E17935g
OG0000966	YJL201W	KMXK_0A07040	YALI1_B24997g
OG0000967	YJL203W	KMXK_0A07050	YALI1_B27454g
OG0000968	YJL204C	KMXK_0A07060	YALI1_B25017g
OG0000969	YJL205C	KMXK_0A07090	YALI1_C05710g
OG0000970	YNL243W	KMXK_0A07130	YALI1_C09923g
OG0000971	YNL244C	KMXK_0A07140	YALI1_C09950g
OG0000972	YNL247W	KMXK_0A07170	YALI1_D18577g
OG0000973	YJR098C	KMXK_0A07180	YALI1_E10013g
OG0000974	YJR097W	KMXK_0A07190	YALI1_E07874g
OG0000975	YNL248C	KMXK_0A07200	YALI1_E06068g
OG0000976	YNL250W	KMXK_0A07220	YALI1_D18555g
OG0000977	YNL251C	KMXK_0A07230	YALI1_E29665g
OG0000978	YNL252C	KMXK_0A07240	YALI1_E29617g
OG0000979	YNL256W	KMXK_0A07280	YALI1_A03069g
OG0000980	YGR255C	KMXK_0A07290	YALI1_A08781g
OG0000981	YDR058C	KMXK_0A07300	YALI1_E37118g
OG0000982	YNL259C	KMXK_0A07330	YALI1_B23771g
OG0000983	YNL261W	KMXK_0A07360	YALI1_B02465g
OG0000984	YNL262W	KMXK_0A07370	YALI1_E31248g
OG0000985	YNL263C	KMXK_0A07380	YALI1_E31194g
OG0000986	YGL140C	KMXK_0A07410	YALI1_E31131g
OG0000987	YGR048W	KMXK_0A07420	YALI1_E31075g
OG0000988	YGR047C	KMXK_0A07430	YALI1_B00525g
OG0000989	YNL265C	KMXK_0A07440	YALI1_B05438g
OG0000990	YGR046W	KMXK_0A07450	YALI1_C17238g
OG0000991	YNL267W	KMXK_0A07460	YALI1_B03719g
OG0000992	YNL272C	KMXK_0A07500	YALI1_F34749g
OG0000993	YEL064C	KMXK_0A07510	YALI1_E33485g
OG0000994	YNL273W	KMXK_0A07520	YALI1_B08540g
OG0000995	YOR154W	KMXK_0A07540	YALI1_C17609g
OG0000996	YCR042C	KMXK_0A07550	YALI1_C19529g
OG0000997	YNL275W	KMXK_0A07580	YALI1_E35067g
OG0000998	YCR044C	KMXK_0A07590	YALI1_D33735g
OG0000999	YER019W	KMXK_0A07610	YALI1_D23128g
OG0001000	YLR189C	KMXK_0A07620	YALI1_D23067g
OG0001001	YNL277W	KMXK_0A07630	YALI1_E01235g
