,logFC,-log10Pval
KMXK0F04390,-1.78974908763697,3.71667236774713
KMXK0H00260,1.41633830934657,3.69535205825091
KMXK0A02540,1.60127748223029,3.67551706688156
KMXK0C04800,1.90855059152709,3.67440625553543
KMXK0A06690,1.51200106776514,3.59048584719444
KMXK0E00190,1.69500045391405,3.50757369107112
KMXK0D02420,1.40229057722802,3.48152371709733
KMXK0H03230,1.38324104739449,3.4114197008758
KMXK0D03970,1.63334219945647,3.37369070600165
KMXK0C01510,-1.49397021998807,3.36887742410864
KMXK0E03480,1.35441879227155,3.36887742410864
KMXK0H04100,-1.48893413856207,3.33513007191035
KMXK0B05430,1.33617870230953,3.32171976615532
KMXK0A00130,1.73331834134011,3.2701032393823
KMXK0F01280,1.65185219912716,3.22635985148637
KMXK0H02960,-1.52564222166192,3.22635985148637
KMXK0A03790,-1.50121880833337,3.22355378024987
KMXK0D06490,1.68746061858248,3.21958774064783
KMXK0G00610,1.39980143930031,3.16682628993289
KMXK0F05580,1.37592271183753,3.1264009249869
KMXK0F00350,-1.28982159434531,2.97087366408681
KMXK0B03140,-1.36334474780597,2.94445208901244
KMXK0C00260,-1.4672043184282,2.91877040719429
KMXK0C05220,1.41575843594535,2.90439785243849
KMXK0C06930,-1.24629484981929,2.89401349408823
KMXK0B08260,1.92780656828203,2.85568796730039
KMXK0D02570,1.28100788951286,2.85568796730039
KMXK0C03310,1.7900022982067,2.84458136943499
KMXK0E02210,1.39091725592056,2.81597884628446
KMXK0D05750,-1.820023620559,2.80675922897568
KMXK0C07040,-1.4163729989216,2.80675922897568
KMXK0E05830,-1.50465273103234,2.80675922897568
KMXK0C02130,-1.28158105202677,2.80675922897568
KMXK0D05310,-1.38526837115941,2.80675922897568
KMXK0B07910,1.3624652182769,2.80675922897568
KMXK0B02830,-1.58861728799724,2.79918384791218
KMXK0G00340,1.22869711208882,2.79918384791218
KMXK0B03850,1.34091188007605,2.78870442015047
KMXK0E02340,1.18371942467958,2.77227827172191
KMXK0B04960,-1.46674435621957,2.76285643574752
KMXK0F05610,-1.43940750930082,2.74880790420516
KMXK0C05600,1.29947170810228,2.71710530846974
KMXK0E00470,-1.16943950612164,2.68707892828018
KMXK0G02360,-1.32031120806348,2.68288130243464
KMXK0F03440,-1.41302216659068,2.66389238673418
KMXK0A00570,1.18377218501747,2.60206527234342
KMXK0G02030,1.2380165435293,2.60020751724992
KMXK0E04070,-1.24454731420297,2.59941771167229
KMXK0G02120,1.58610128347384,2.58751440951517
KMXK0F00780,1.25641618252425,2.58751440951517
KMXK0A02840,1.34162289061934,2.58751440951517
KMXK0A00120,1.52634861300713,2.58751440951517
KMXK0E04690,-1.31900382314442,2.58751440951517
KMXK0E05560,-1.32184513251576,2.52788457310456
KMXK0H00360,-1.15313018450792,2.51524373987449
KMXK0H03430,1.46875954733962,2.51524373987449
KMXK0D01690,1.11883054706981,2.51252174287132
KMXK0G01680,-1.50817741913978,2.51252174287132
KMXK0D04270,-1.47600580005931,2.5075067845457
KMXK0F05540,1.24265595282311,2.48711016740436
KMXK0D04580,1.26511861741391,2.48711016740436
KMXK0A07750,1.41222195274862,2.46803283115496
KMXK0D05020,-1.31237607156381,2.46004834207558
KMXK0E03160,-1.18409085480341,2.45450548213236
KMXK0D06030,1.19540724760549,2.44570244430093
KMXK0C01890,-1.14933031589799,2.4327509010199
KMXK0B04420,1.20131610410283,2.41973713120832
KMXK0A00540,1.18730786678562,2.41973713120832
KMXK0E01500,1.42246525309292,2.41759761152364
KMXK0G03710,-1.1406381322716,2.41700615052913
KMXK0D06570,1.23518868261286,2.41700615052913
KMXK0A06380,-1.65962756584877,2.41700615052913
KMXK0D03320,-1.25587306087622,2.41700615052913
KMXK0C05990,-1.16608887052611,2.40482844227598
KMXK0H01820,-1.23295555163316,2.39965102837629
KMXK0A02060,-1.17695142386797,2.3808622495918
KMXK0A07830,1.47800789104528,2.37396175922702
KMXK0C01390,-1.31422629709164,2.35426693101173
KMXK0H03040,-1.18483706057333,2.35128355145088
KMXK0F04090,1.40048536024304,2.3346868467242
KMXK0B07510,-1.22982821043105,2.32399673222069
KMXK0C04200,1.11317321696919,2.28530210968205
KMXK0G04160,-1.33299469063595,2.26419378908
KMXK0B05660,-1.12841787917796,2.26124721660409
KMXK0A01390,-1.17662614956767,2.2078523943954
KMXK0E05840,1.29577865573167,2.20555842369389
KMXK0B03030,-1.03516952530859,2.20207714468334
KMXK0A01320,1.15105587869701,2.19669077204867
KMXK0E05880,-1.07856694984735,2.19669077204867
KMXK0D06250,1.35935579757834,2.1774076299598
KMXK0B04790,-1.2256171641092,2.17489443679745
KMXK0E06060,-1.02697616930721,2.15001788414174
KMXK0B04080,1.12798024142361,2.1483104684469
KMXK0A03540,1.09213230627543,2.12196142125069
KMXK0D02230,-1.05203993312349,2.12196142125069
KMXK0F01190,1.04860171477682,2.12196142125069
KMXK0F00670,-1.08966794229795,2.12132585838726
