NCBI_CBS6556	Uniprot_DMKU3_1042	Gene_name_DMKU3_1042	standard_A	standard_B	standard_C	high_temp_A	high_temp_B	high_temp_C	low_pH_A	low_pH_B	low_pH_C	osmotic_stress_A	osmotic_stress_B	osmotic_stress_C
KMXK_0C00690	W0T7I8	KLMA_30065	6.854241704	6.860721216	6.769678133	6.736284736	6.621570124	6.855125362	6.889389241	6.841784574	6.894299993	6.594465628	6.819074586	6.752096314
KMXK_0F03790	W0TCX7	KLMA_60191	5.976704637	5.975612307	6.06113625	6.178762098	6.23078498	6.202979245	6.114304077	5.966934482	5.850020502	5.892781786	6.210688667	5.757824931
KMXK_0H02770	W0TH29	KLMA_70278	7.377959444	7.353388795	7.05800538	7.110092144	7.133332007	7.034771595	7.335957037	7.352714289	7.129539884	7.132766617	7.142560989	7.233996483
KMXK_0E01490	W0TDC9	KLMA_50142	6.750271579	6.714834717	6.850228098	6.761754626	6.494690561	6.661128356	6.725514727	6.758665161	6.728897309	6.720729695	6.874304049	6.822946427
KMXK_0D03050	W0TC04	KLMA_40282	7.251614725	7.313785384	7.065449095	7.291945371	7.106100183	7.185676241	7.33181446	7.315341165	7.383041469	7.211774419	7.238298491	7.102091669
KMXK_0E02870	W0TBC7	KLMA_50283	6.807066807	6.845699704	6.730945148	6.733840006	6.147510957	6.842169152	6.985823578	6.811163284	7.021777001	6.841731123	6.925410844	6.914823617
KMXK_0G03740	W0TH20	KLMA_80369	6.877288012	7.182904905	7.424017198	7.450110325	7.4760348	7.372550547	7.367379067	7.387045476	7.343889203	7.420570989	7.383358294	7.315256081
KMXK_0D03860	W0TC72	KLMA_40362	6.02684359	6.719162325	6.715858652	6.657474488	6.881541992	6.763585369	7.04034652	7.172174172	6.685620116	7.085462521	6.90281513	6.740477749
KMXK_0E04840	W0TG83	KLMA_50480	7.037194022	6.822287513	6.915265325	6.923681433	6.677762532	6.523997944	6.553002359	6.509200513	6.845543668	6.68270509	6.784836224	6.71483456
KMXK_0A02230	W0T5A2	KLMA_10616	7.190978843	7.090193304	7.348975879	7.371044603	7.305167489	7.433095625	7.360490892	7.317992063	7.17814385	7.064842819	7.196564435	7.277022347
KMXK_0H03430	W0TEX1	KLMA_70344	6.467254679	6.554348535	6.778309967	7.174506523	6.918922463	6.970961873	6.912648096	6.897272186	6.136920298	6.87519238	6.916988951	6.959214119
KMXK_0C07140	W0TB17	KLMA_30706	7.225576254	6.959654863	7.266669858	6.992114993	7.13265536	6.824843924	6.906858482	7.011571435	6.983767256	7.124513125	7.186979305	7.108424103
KMXK_0D02870	W0T9J6	KLMA_40263	7.321667379	7.421756496	7.461918185	7.255695256	7.36829043	7.071225321	7.286405975	7.359841733	NA	NA	7.480190102	7.39888519
KMXK_0H03610	W0TGL7	KLMA_70365	6.681952878	7.043618082	7.191198962	7.455033148	7.241807673	7.120212239	6.99490754	7.155290157	6.668362821	7.026916118	6.480312511	6.860908569
KMXK_0F03070	W0THG5	KLMA_60268	6.754441916	6.778286601	7.026670205	7.02262151	6.765893243	6.757181289	6.964812021	6.959635406	7.260297732	6.887620615	6.303166423	6.869339207
KMXK_0G02050	W0TI55	KLMA_80195	6.876531144	NA	7.453006479	7.637211023	7.737766212	7.739878153	7.2505865	6.130806761	7.301646642	7.516842752	7.251090812	NA
KMXK_0B03010	W0T9H5	KLMA_20286	6.392245561	6.482946257	6.640299446	6.965865799	6.585239546	6.431012799	6.411322462	6.413634046	6.358291533	6.850289683	6.598253898	6.623465674
KMXK_0F01860	W0TF29	KLMA_60387	7.148408748	6.658792969	6.749485817	7.049671095	7.111967551	7.341571843	6.821309836	6.856747396	7.197257232	6.860648684	6.782166262	6.882413754
KMXK_0E05470	W0TGF8	KLMA_50550	7.152986195	7.162912159	7.369036331	7.093260761	7.039520557	6.921927861	7.136775439	7.223409548	6.909467383	7.189017812	7.425861563	7.136881937
KMXK_0E03910	W0TCA4	KLMA_50386	6.783411335	6.464628082	6.928771016	6.757332923	6.381768385	6.623887428	6.516504733	6.285605542	6.434272258	6.688745282	6.694540086	6.436692773
KMXK_0C02050	W0T8X1	KLMA_30203	6.733266226	6.662824133	6.796847992	6.830501129	6.818764295	7.020270577	6.832955576	6.801487818	6.486404397	6.684164168	6.690928992	6.641402198
KMXK_0E04850	W0TCI4	KLMA_50481	6.973369861	6.937376908	7.0514709	6.976770474	7.45818443	7.404904722	7.250440219	7.135999669	7.09636938	7.129198856	7.118849454	6.864118147
KMXK_0B04800	W0T5P0	KLMA_20469	6.771915901	7.158335912	7.25647568	7.036566501	7.238698938	7.12695061	6.970133174	7.291599819	6.421937156	7.452051539	7.32801416	7.451522826
KMXK_0F01410	W0TFX4	KLMA_60425	7.276680353	7.31017511	7.25815282	7.427036324	7.520478376	7.324942089	7.626206111	7.377374019	7.580023698	7.528136827	7.05444266	7.298727928
KMXK_0H02160	W0TG63	KLMA_70215	6.920673066	6.85323317	7.027870459	6.71869359	6.544606309	6.989396	7.17948099	6.959364251	6.961309958	6.924234196	6.997362806	6.816061232
KMXK_0C01080	W0T9C7	KLMA_30101	6.441113323	6.813893991	6.950427765	6.793480614	6.89631088	6.683348844	6.892622485	7.075450977	6.782940892	7.078592549	7.164504276	6.874203884
KMXK_0H03970	W0TGP9	KLMA_70400	6.82880081	6.715075119	6.867601597	6.580561769	NA	6.702021404	6.841163936	6.692279977	6.86708578	6.676348072	6.770981232	6.51692918
KMXK_0G03420	W0TGY4	KLMA_80334	7.116002016	6.986608021	6.916388644	7.096848482	7.073772722	7.10534437	7.071030068	7.056093656	6.903673099	6.983405056	6.236760051	6.891107595
KMXK_0D02010	W0T992	KLMA_40173	7.333291683	7.542282992	7.864848557	7.94202666	7.968454869	7.987147001	7.712605789	7.701612947	7.300325013	8.014931319	7.45911951	7.978581535
KMXK_0E02020	W0TDH9	KLMA_50197	6.513688288	6.719248447	6.692259365	6.71503152	6.610066851	6.796947073	7.1031842	7.00880127	6.681061599	6.701533863	6.984396191	6.713277923
