genes,direction
CENPK1137D_3593,down
CENPK1137D_2116,up
CENPK1137D_2941,down
CENPK1137D_3395,up
CENPK1137D_1249,down
CENPK1137D_5448,up
CENPK1137D_1066,down
CENPK1137D_399,down
CENPK1137D_950,down
CENPK1137D_4509,down
CENPK1137D_4656,down
CENPK1137D_637,down
CENPK1137D_2114,down
CENPK1137D_3856,down
CENPK1137D_2193,down
CENPK1137D_4372,up
CENPK1137D_2424,up
CENPK1137D_4562,mixed
CENPK1137D_875,up
CENPK1137D_1229,up
CENPK1137D_1906,down
CENPK1137D_4279,down
CENPK1137D_3898,up
CENPK1137D_794,down
CENPK1137D_2107,up
CENPK1137D_3666,down
CENPK1137D_4263,up
CENPK1137D_90,up
CENPK1137D_206,down
CENPK1137D_3140,up
CENPK1137D_208,down
CENPK1137D_3249,down
CENPK1137D_4348,up
CENPK1137D_3221,down
CENPK1137D_4452,up
CENPK1137D_1054,up
CENPK1137D_40,mixed
CENPK1137D_2964,down
CENPK1137D_127,down
CENPK1137D_3046,mixed
CENPK1137D_3590,down
CENPK1137D_3175,down
CENPK1137D_1458,down
CENPK1137D_4272,down
CENPK1137D_3869,down
CENPK1137D_4855,up
CENPK1137D_4924,down
CENPK1137D_5131,up
CENPK1137D_640,down
CENPK1137D_4363,mixed
CENPK1137D_1893,up
CENPK1137D_5049,down
CENPK1137D_4073,down
CENPK1137D_3826,down
CENPK1137D_1996,up
CENPK1137D_3897,down
CENPK1137D_217,up
CENPK1137D_4184,up
CENPK1137D_935,down
CENPK1137D_1904,down
CENPK1137D_2173,up
CENPK1137D_3121,up
CENPK1137D_1251,up
CENPK1137D_5417,down
CENPK1137D_5377,up
CENPK1137D_2789,up
CENPK1137D_197,up
CENPK1137D_2467,up
CENPK1137D_1534,up
CENPK1137D_1095,up
CENPK1137D_4548,down
CENPK1137D_2317,up
CENPK1137D_3964,down
CENPK1137D_5330,up
CENPK1137D_2057,up
CENPK1137D_111,up
CENPK1137D_4506,down
CENPK1137D_2208,up
CENPK1137D_524,up
CENPK1137D_3474,down
CENPK1137D_5269,down
CENPK1137D_2346,up
CENPK1137D_1706,up
CENPK1137D_4189,up
CENPK1137D_4643,down
CENPK1137D_3101,up
CENPK1137D_2232,mixed
CENPK1137D_963,mixed
CENPK1137D_3338,up
CENPK1137D_5009,up
CENPK1137D_1898,down
CENPK1137D_1788,up
CENPK1137D_1156,up
CENPK1137D_3892,down
CENPK1137D_2120,down
CENPK1137D_2113,down
CENPK1137D_5229,up
CENPK1137D_2160,down
CENPK1137D_3182,up
CENPK1137D_4565,mixed
CENPK1137D_1894,mixed
CENPK1137D_1340,down
CENPK1137D_169,mixed
CENPK1137D_2305,up
CENPK1137D_3484,down
CENPK1137D_579,up
CENPK1137D_5015,mixed
CENPK1137D_2927,up
CENPK1137D_759,up
CENPK1137D_3915,down
CENPK1137D_4256,down
CENPK1137D_230,down
CENPK1137D_207,mixed
CENPK1137D_3994,mixed
CENPK1137D_4119,down
CENPK1137D_5327,up
CENPK1137D_3241,up
CENPK1137D_4947,up
CENPK1137D_4411,up
CENPK1137D_5006,mixed
CENPK1137D_66,down
CENPK1137D_809,up
CENPK1137D_2898,down
CENPK1137D_2273,up
CENPK1137D_4008,up
CENPK1137D_4337,up
CENPK1137D_2665,down
CENPK1137D_4789,up
CENPK1137D_3574,up
CENPK1137D_2661,mixed
CENPK1137D_5010,up
CENPK1137D_4420,up
CENPK1137D_2670,up
CENPK1137D_4227,down
CENPK1137D_2615,up
CENPK1137D_2428,mixed
CENPK1137D_3639,down
CENPK1137D_927,down
CENPK1137D_5046,up
CENPK1137D_1492,up
CENPK1137D_3564,up
CENPK1137D_356,up
CENPK1137D_2240,up
CENPK1137D_2947,up
CENPK1137D_1610,up
CENPK1137D_2502,up
CENPK1137D_1003,up
CENPK1137D_1855,down
CENPK1137D_1846,up
CENPK1137D_531,down
CENPK1137D_3173,down
CENPK1137D_2755,up
CENPK1137D_5355,up
CENPK1137D_5206,down
CENPK1137D_3592,up
CENPK1137D_974,up
CENPK1137D_3200,up
CENPK1137D_1436,down
CENPK1137D_1862,down
CENPK1137D_1184,up
CENPK1137D_1457,down
CENPK1137D_5282,up
CENPK1137D_3847,down
CENPK1137D_3809,down
CENPK1137D_4459,down
CENPK1137D_3888,up
CENPK1137D_5044,up
CENPK1137D_1421,up
CENPK1137D_2056,up
CENPK1137D_1769,down
CENPK1137D_667,up
CENPK1137D_4826,up
CENPK1137D_1488,mixed
CENPK1137D_4178,down
CENPK1137D_145,up
CENPK1137D_597,mixed
CENPK1137D_2646,up
CENPK1137D_5260,up
CENPK1137D_1399,down
CENPK1137D_2612,down
CENPK1137D_2351,down
CENPK1137D_631,mixed
CENPK1137D_3434,up
CENPK1137D_3235,up
CENPK1137D_3074,down
CENPK1137D_2697,up
CENPK1137D_1764,up
CENPK1137D_3250,down
CENPK1137D_2118,down
CENPK1137D_4895,up
CENPK1137D_2420,down
CENPK1137D_2532,up
CENPK1137D_2464,down
CENPK1137D_3419,up
CENPK1137D_952,up
CENPK1137D_2469,up
CENPK1137D_3114,down
CENPK1137D_2098,down
CENPK1137D_3443,down
CENPK1137D_3715,up
CENPK1137D_1886,up
CENPK1137D_3399,up
CENPK1137D_2156,up
CENPK1137D_1494,up
CENPK1137D_28,down
CENPK1137D_704,down
CENPK1137D_1382,up
CENPK1137D_776,down
CENPK1137D_1520,down
CENPK1137D_3264,down
CENPK1137D_999,down
CENPK1137D_352,down
CENPK1137D_4993,up
CENPK1137D_1564,down
CENPK1137D_1946,up
CENPK1137D_3319,down
CENPK1137D_4560,up
CENPK1137D_2642,mixed
CENPK1137D_4032,up
CENPK1137D_4109,down
CENPK1137D_3797,down
CENPK1137D_3209,up
CENPK1137D_3229,up
CENPK1137D_3618,down
CENPK1137D_2992,up
CENPK1137D_3611,up
CENPK1137D_2141,up
CENPK1137D_4867,down
CENPK1137D_3266,down
CENPK1137D_1821,down
CENPK1137D_730,up
CENPK1137D_1633,up
CENPK1137D_1807,up
CENPK1137D_2344,down
CENPK1137D_3373,up
CENPK1137D_4479,down
CENPK1137D_5449,down
CENPK1137D_466,mixed
CENPK1137D_1130,down
CENPK1137D_2017,up
CENPK1137D_2322,down
CENPK1137D_4771,down
CENPK1137D_3103,down
CENPK1137D_1679,down
CENPK1137D_4906,up
CENPK1137D_886,down
CENPK1137D_675,down
CENPK1137D_2938,mixed
CENPK1137D_1967,up
CENPK1137D_3333,down
CENPK1137D_3520,down
CENPK1137D_1174,down
CENPK1137D_1516,up
CENPK1137D_953,down
CENPK1137D_177,down
CENPK1137D_1197,up
CENPK1137D_4837,up
CENPK1137D_4261,down
CENPK1137D_12,up
CENPK1137D_5031,down
CENPK1137D_99,up
CENPK1137D_2304,down
CENPK1137D_4214,down
CENPK1137D_1860,down
CENPK1137D_4426,down
CENPK1137D_1878,up
CENPK1137D_2410,up
CENPK1137D_3260,up
CENPK1137D_3429,up
CENPK1137D_5146,up
CENPK1137D_3779,up
CENPK1137D_2330,down
CENPK1137D_2187,down
CENPK1137D_5402,down
CENPK1137D_2534,up
CENPK1137D_2485,up
CENPK1137D_482,up
CENPK1137D_1438,down
CENPK1137D_304,up
CENPK1137D_196,down
CENPK1137D_4977,down
CENPK1137D_3328,down
CENPK1137D_4313,up
CENPK1137D_1686,up
CENPK1137D_4945,up
CENPK1137D_2251,down
CENPK1137D_921,up
CENPK1137D_4432,up
CENPK1137D_5080,up
CENPK1137D_1652,up
CENPK1137D_2176,up
CENPK1137D_100,down
CENPK1137D_2780,down
CENPK1137D_1721,mixed
CENPK1137D_2354,down
CENPK1137D_282,down
CENPK1137D_4758,down
CENPK1137D_2227,down
CENPK1137D_2045,up
CENPK1137D_2131,up
CENPK1137D_533,up
CENPK1137D_1223,up
CENPK1137D_551,down
CENPK1137D_1432,down
CENPK1137D_1224,up
CENPK1137D_2392,up
CENPK1137D_5389,down
CENPK1137D_1083,up
CENPK1137D_389,up
CENPK1137D_3676,down
CENPK1137D_3792,up
CENPK1137D_3216,up
CENPK1137D_337,down
CENPK1137D_5020,up
CENPK1137D_4396,down
CENPK1137D_1673,down
