genes	orthology	s288c
CENPK1137D_1827	C+E	YPR134W
CENPK1137D_1088	C+E	YKR077W
CENPK1137D_5084	C+E	YIR021W
CENPK1137D_3854	C+E	YDR033W
CENPK1137D_2195	C+E	YOR177C
CENPK1137D_2365	C+E	YOR350C
CENPK1137D_1856	C+E	YPR164W
CENPK1137D_569	C+E	YLR190W
CENPK1137D_3446	C+E	YER044C-A
CENPK1137D_909	C+E	YKL093W
CENPK1137D_3519	C+E	YER106W
CENPK1137D_856	C+E	YLR011W
CENPK1137D_1264	C+E	YJL038C
CENPK1137D_2885	C+E	YGL090W
CENPK1137D_1974	C+E	YOL047C
CENPK1137D_462	C+E	YLL049W
CENPK1137D_1995	C+E	YOL025W
CENPK1137D_1647	C+E	YPL053C
CENPK1137D_4751	C+E	YBR199W
CENPK1137D_1472	C+E	YJL162C
CENPK1137D_2416	C+E	YOL101C
CENPK1137D_1563	C+E	YPL135W
CENPK1137D_1798	C+E	YPR106W
CENPK1137D_111	C+E	YMR081C
CENPK1137D_3330	C+E	YFR055W
CENPK1137D_2064	C+E	YOR044W
CENPK1137D_1265	C+E	YJL037W
CENPK1137D_1683	C+E	YPL017C
CENPK1137D_2006	C+E	YOL015W
CENPK1137D_4652	C+E	YBR107C
CENPK1137D_2206	C+E	YOR189W
CENPK1137D_231	C+E	YMR195W
CENPK1137D_396	C+E	YML058W-A
CENPK1137D_4516	C+E	YCR021C
CENPK1137D_1886	C+E	YPR193C
CENPK1137D_205	C+E	YMR172W
CENPK1137D_292	C+E	YMR251W-A
CENPK1137D_3765	C+E	YDL227C
CENPK1137D_1443	C+E	YJR147W
CENPK1137D_705	C+E	YLL022C
CENPK1137D_3837	C+E	YDR014W-A
CENPK1137D_1195	C+E	YKL109W
CENPK1137D_1706	C+E	YPR005C
CENPK1137D_1902	C+E	YPL223C
CENPK1137D_978	C+E	YKL026C
CENPK1137D_2854	C+E	YGL121C
CENPK1137D_3441	C+E	YER040W
CENPK1137D_3918	C+E	YDR096W
CENPK1137D_5203	C+E	YHR061C
CENPK1137D_2397	C+E	YOR383C
CENPK1137D_2396	C+E	YOR382W
CENPK1137D_4366	C+E	YDR539W
CENPK1137D_4085	C+E	YDR261C
CENPK1137D_2003	C+E	YOL017W
CENPK1137D_258	C+E	YMR219W
CENPK1137D_4763	C+E	YBR210W
CENPK1137D_3037	C+E	YGR071C
CENPK1137D_2428	C+E	YOL158C
CENPK1137D_3435	C+E	YER035W
CENPK1137D_3144	C+E	YGL222C
CENPK1137D_4620	C+E	YBR076W
CENPK1137D_5373	C+E	YHL043W
CENPK1137D_3591	C+E	YER176W
CENPK1137D_3621	C+E	YEL070W
CENPK1137D_4306	C+E	YDR480W
CENPK1137D_1652	C+E	YPL049C
CENPK1137D_362	C+E	YMR316W
CENPK1137D_1968	C+E	YOL052C-A
CENPK1137D_3395	C+E	YFR012W
CENPK1137D_3617	C+E	YEL039C
CENPK1137D_905	C+E	YKL096W-A
CENPK1137D_224	C+E	YML101C
CENPK1137D_781	C+E	YLR411W
CENPK1137D_215	C+E	YMR180C
CENPK1137D_2014	C+E	YOL007C
CENPK1137D_55	C+E	YMR025W
CENPK1137D_4580	C+E	YBR036C
CENPK1137D_2705	C+E	YNR028W
CENPK1137D_5199	C+E	YHR057C
CENPK1137D_1141	C+E	YKL219W
CENPK1137D_5107	C+E	YHL048W
CENPK1137D_5106	C+E	YHL048W
CENPK1137D_2748	C+E	YNR075W
CENPK1137D_3421	C+E	YFR036W
CENPK1137D_3758	C+E	YDL069C
CENPK1137D_5406	C+E	YHL038C
CENPK1137D_1196	C+E	YJL209W
CENPK1137D_4098	C+E	YDR275W
CENPK1137D_643	C+E	YLR267W
CENPK1137D_944	C+E	YKL061W
CENPK1137D_2070	C+E	YOL164W
CENPK1137D_2033	C+E	YOR011W
CENPK1137D_2168	C+E	YOR152C
CENPK1137D_685	C+E	YLR312C
CENPK1137D_1440	C+E	YJL185C
CENPK1137D_3845	C+E	YDR022C
CENPK1137D_763	C+E	YLR392C
CENPK1137D_4268	C+E	YDR441C
CENPK1137D_5272	C+E	YHR126C
CENPK1137D_346	C+E	YML087C
CENPK1137D_4350	C+E	YDR524C
CENPK1137D_4517	C+E	YCL058W-A
CENPK1137D_4019	C+E	YDL243C
CENPK1137D_2461	C+E	YNL331C
CENPK1137D_1450	C+E	YJR155W
CENPK1137D_2283	C+E	YOR267C
CENPK1137D_1384	C+E	YJL191W
CENPK1137D_3791	C+E	YDL036C YOL066C
CENPK1137D_2658	C+E	YNL033W YNL019C
CENPK1137D_4978	C+H	YAL002W
CENPK1137D_4977	C+H	YAL003W
CENPK1137D_4976	C+H	YAL007C
CENPK1137D_4970	C+H	YAL012W
CENPK1137D_4967	C+H	YAL015C
CENPK1137D_4966	C+H	YAL016W
CENPK1137D_1975	C+H	YOL045W
CENPK1137D_4965	C+H	YAL017W 
CENPK1137D_2799	C+H	YNL241C
CENPK1137D_3253	C+H	YGR285C
CENPK1137D_4591	C+H	YBR046C
CENPK1137D_515	C+H	YLR130C
CENPK1137D_3177	C+H	YGR211W
CENPK1137D_2572	C+H	YNL310C
CENPK1137D_1245	C+H	YJL056C
CENPK1137D_5090	C+H	YIR026C
CENPK1137D_2106	C+H	YOR087W
CENPK1137D_1392	C+H	YJR099W
CENPK1137D_2287	C+H	YOR272W
CENPK1137D_1800	C+H	YPR107C
CENPK1137D_3236	C+H	YGR270W
CENPK1137D_1626	C+H	YPL074W
CENPK1137D_1062	C+H	YKR053C
CENPK1137D_2024	C+H	YOR003W
CENPK1137D_654	C+H	YLR277C
CENPK1137D_4658	C+H	YBR111C
CENPK1137D_5194	C+H	YIL063C
CENPK1137D_3826	C+H	YDR002W
CENPK1137D_28	C+H	YML001W
CENPK1137D_636	C+H	YLR262C
CENPK1137D_3344	C+H	YFL038C
CENPK1137D_1862	C+H	YPR170W-B
CENPK1137D_1839	C+H	YPR147C
CENPK1137D_1811	C+H	YPR117W
CENPK1137D_1793	C+H	YPR098C
CENPK1137D_1787	C+H	YPR091C
CENPK1137D_1716	C+H	YPR015C
CENPK1137D_1715	C+H	YPR013C
CENPK1137D_2425	C+H	YOL092W
CENPK1137D_1712	C+H	YPL247C
CENPK1137D_1899	C+H	YPL225W
CENPK1137D_1926	C+H	YPL199C
CENPK1137D_1934	C+H	YPL191C
CENPK1137D_1535	C+H	YPL162C
CENPK1137D_1590	C+H	YPL109C
CENPK1137D_1593	C+H	YPL107W
CENPK1137D_2307	C+H	YOR291W
CENPK1137D_4735	C+H	YBR183W
CENPK1137D_425	C+H	YML027W
CENPK1137D_3876	C+H	YDR057W
CENPK1137D_3484	C+H	YER074W-A
CENPK1137D_2305	C+H	YOR289W
CENPK1137D_2129	C+H	YOR111W
CENPK1137D_2111	C+H	YOR093C
CENPK1137D_2078	C+H	YOR059C
CENPK1137D_2044	C+H	YOR022C
CENPK1137D_1729	C+H	YPR028W
CENPK1137D_2370	C+H	YOL114C
CENPK1137D_2411	C+H	YOL107W
CENPK1137D_2445	C+H	YOL075C
CENPK1137D_1963	C+H	YOL057W
CENPK1137D_2744	C+H	YNR064C
CENPK1137D_2706	C+H	YNR029C
CENPK1137D_2473	C+H	YNL320W
CENPK1137D_2779	C+H	YNL260C
CENPK1137D_2793	C+H	YNL247W
CENPK1137D_2482	C+H	YNL200C
CENPK1137D_2587	C+H	YNL092W
CENPK1137D_2639	C+H	YNL040W
CENPK1137D_2644	C+H	YNL035C
CENPK1137D_938	C+H	YKL067W
CENPK1137D_2084	C+H	YOR064C
CENPK1137D_3660	C+H	YER005W
CENPK1137D_361	C+H	YMR315W
CENPK1137D_355	C+H	YMR310C
CENPK1137D_265	C+H	YMR226C
CENPK1137D_248	C+H	YMR210W
CENPK1137D_213	C+H	YMR178W
CENPK1137D_162	C+H	YMR130W
CENPK1137D_145	C+H	YMR114C
CENPK1137D_133	C+H	YMR102C
CENPK1137D_1404	C+H	YJR110W
CENPK1137D_104	C+H	YMR074C
CENPK1137D_65	C+H	YMR034C
CENPK1137D_58	C+H	YMR027W
CENPK1137D_39	C+H	YMR010W
CENPK1137D_427	C+H	YML025C
CENPK1137D_1	C+H	YML131W
CENPK1137D_279	C+H	YML096W
CENPK1137D_9	C+H	YML018C
CENPK1137D_1726	C+H	YPR024W
CENPK1137D_414	C+H	YML038C
CENPK1137D_828	C+H	YLR455W
CENPK1137D_792	C+H	YLR422W
CENPK1137D_656	C+H	YLR281C
CENPK1137D_646	C+H	YLR271W
CENPK1137D_558	C+H	YLR179C
CENPK1137D_505	C+H	YLR118C
CENPK1137D_435	C+H	YLR050C
CENPK1137D_845	C+H	YLR001C
CENPK1137D_327	C+H	YMR284W
CENPK1137D_1058	C+H	YKL196C
CENPK1137D_1081	C+H	YKR070W
CENPK1137D_1060	C+H	YKR051W
CENPK1137D_1156	C+H	YKL151C
CENPK1137D_901	C+H	YKL100C
CENPK1137D_911	C+H	YKL091C
CENPK1137D_972	C+H	YKL033W-A
CENPK1137D_5036	C+H	YIL023C
CENPK1137D_579	C+H	YLR200W
CENPK1137D_908	C+H	YKL094W
CENPK1137D_907	C+H	YKL095W
CENPK1137D_1438	C+H	YJR141W
CENPK1137D_1377	C+H	YJR085C
CENPK1137D_1303	C+H	YJR008W
CENPK1137D_1362	C+H	YJL193W
CENPK1137D_1500	C+H	YJL132W
CENPK1137D_1233	C+H	YJL068C
CENPK1137D_5101	C+H	YIR035C
CENPK1137D_3300	C+H	YGL161C
CENPK1137D_2635	C+H	YNL044W
CENPK1137D_3138	C+H	YGR172C
CENPK1137D_184	C+H	YMR152W
CENPK1137D_5063	C+H	YIL001W
CENPK1137D_4410	C+H	YCR059C
CENPK1137D_2776	C+H	YNL263C
CENPK1137D_5057	C+H	YIL006W
CENPK1137D_5269	C+H	YHR122W
CENPK1137D_5413	C+H	YHR020W
CENPK1137D_4277	C+H	YDR451C
CENPK1137D_5363	C+H	YHL018W
CENPK1137D_5424	C+H	YHR029C
CENPK1137D_1242	C+H	YJL059W
CENPK1137D_671	C+H	YLR298C
CENPK1137D_3199	C+H	YGR234W
CENPK1137D_3094	C+H	YGR127W
CENPK1137D_3020	C+H	YGR054W
CENPK1137D_3010	C+H	YGR042W
CENPK1137D_2992	C+H	YGR021W
CENPK1137D_2935	C+H	YGL242C
CENPK1137D_3302	C+H	YGL159W
CENPK1137D_2873	C+H	YGL101W
CENPK1137D_2893	C+H	YGL082W
CENPK1137D_4145	C+H	YDR319C
CENPK1137D_3388	C+H	YFR006W
CENPK1137D_3405	C+H	YFL054C
CENPK1137D_3349	C+H	YFL034W
CENPK1137D_3705	C+H	YDL120W
CENPK1137D_3756	C+H	YDL072C
CENPK1137D_3570	C+H	YER156C
CENPK1137D_3548	C+H	YER134C
CENPK1137D_3636	C+H	YEL020C
CENPK1137D_3649	C+H	YEL006W
CENPK1137D_3651	C+H	YEL004W
CENPK1137D_4244	C+H	YDR415C
CENPK1137D_4167	C+H	YDR338C
CENPK1137D_4072	C+H	YDR248C
CENPK1137D_3936	C+H	YDR115W
CENPK1137D_3932	C+H	YDR109C
CENPK1137D_3840	C+H	YDR018C
CENPK1137D_3986	C+H	YDL206W
CENPK1137D_3740	C+H	YDL085C-A
CENPK1137D_2616	C+H	YNL064C
CENPK1137D_1613	C+H	YPL087W
CENPK1137D_647	C+H	YLR272C
CENPK1137D_4437	C+H	YCR090C
CENPK1137D_4435	C+H	YCR087C-A
CENPK1137D_4405	C+H	YCR051W
CENPK1137D_4518	C+H	YCR023C
CENPK1137D_4501	C+H	YCR016W
CENPK1137D_5282	C+H	YHR135C
CENPK1137D_4154	C+H	YDR325W
CENPK1137D_4798	C+H	YBR242W
CENPK1137D_4643	C+H	YBR241C
CENPK1137D_4797	C+H	YBR241C
CENPK1137D_4775	C+H	YBR220C
CENPK1137D_4687	C+H	YBR139W
CENPK1137D_4606	C+H	YBR062C
CENPK1137D_4868	C+H	YBL055C
CENPK1137D_4887	C+H	YBL036C
CENPK1137D_1810	C+H	YPL239W
CENPK1137D_5378	C+H	YHL009C
CENPK1137D_3208	C+H	YGR241C
CENPK1137D_5312	C+H	YHR161C
CENPK1137D_1490	C+H	YJL141C
CENPK1137D_1657	C+H	YPL252C
CENPK1137D_2573	C+H	YNL107W
CENPK1137D_456	C+H	YLR070C
CENPK1137D_3289	C+H	YGL173C
CENPK1137D_3159	C+H	YGR194C
CENPK1137D_2420	C+H	YOL097C
CENPK1137D_3653	C+H	YEL002C
CENPK1137D_2375	C+H	YOR359W
CENPK1137D_233	C+H	YMR197C
CENPK1137D_708	C+H	YLR337C
CENPK1137D_3112	C+H	YGL225W
CENPK1137D_3440	C+H	YGL225W
CENPK1137D_268	C+H	YML097C
CENPK1137D_4198	C+H	YDR372C
CENPK1137D_2871	C+H	YGL104C
CENPK1137D_413	C+H	YML041C
CENPK1137D_1422	C+H	YJR126C
CENPK1137D_4313	C+H	YDR486C
CENPK1137D_1335	C+H	YJR044C
CENPK1137D_1272	C+H	YJL029C
CENPK1137D_4311	C+H	YDR484W
CENPK1137D_2088	C+H	YOR069W
CENPK1137D_2880	C+H	YGL095C
CENPK1137D_3902	C+H	YDR080W
CENPK1137D_1865	C+H	YPR173C
CENPK1137D_1479	C+H	YJL154C
CENPK1137D_615	C+H	YLR240W
CENPK1137D_767	C+H	YLR396C
CENPK1137D_1579	C+H	YPL120W
CENPK1137D_5404	C+H	YHR012W
CENPK1137D_1636	C+H	YPL065W
CENPK1137D_2680	C+H	YNR006W
CENPK1137D_1396	C+H	YJR102C
CENPK1137D_965	C+H	YKL041W
CENPK1137D_2107	C+H	YOR089C
CENPK1137D_107	C+H	YMR077C
CENPK1137D_1656	C+H	YPL045W
CENPK1137D_4644	C+H	YBR097W
CENPK1137D_540	C+H	YLL040C
CENPK1137D_3868	C+H	YDR049W
CENPK1137D_3583	C+H	YEL051W
CENPK1137D_2991	C+H	YGR020C
CENPK1137D_818	C+H	YLR447C
CENPK1137D_923	C+H	YKL080W
CENPK1137D_2349	C+H	YOR332W
CENPK1137D_3627	C+H	YEL027W
CENPK1137D_4675	C+H	YBR127C
CENPK1137D_5421	C+H	YHR026W
CENPK1137D_1738	C+H	YPR036W
CENPK1137D_4186	C+H	YDL185W
CENPK1137D_780	C+H	YLR410W
CENPK1137D_3079	C+H	YGL227W
CENPK1137D_4650	C+H	YBR105C
CENPK1137D_4791	C+H	YBR235W
CENPK1137D_3061	C+H	YGR094W
CENPK1137D_3750	C+H	YDL077C
CENPK1137D_3644	C+H	YEL013W
CENPK1137D_755	C+H	YLR386W
CENPK1137D_3618	C+H	YEL038W
CENPK1137D_3492	C+H	YER082C
CENPK1137D_4274	C+H	YDR449C
CENPK1137D_4226	C+H	YDR398W
CENPK1137D_4152	C+H	YDR324C
CENPK1137D_1070	C+H	YKR060W
CENPK1137D_5169	C+H	YIL091C
CENPK1137D_2025	C+H	YOR004W
CENPK1137D_3056	C+H	YGR090W
CENPK1137D_779	C+H	YLR409C
CENPK1137D_4923	C+H	YBL004W
CENPK1137D_1232	C+H	YJL069C
CENPK1137D_123	C+H	YMR093W
CENPK1137D_301	C+H	YML093W
CENPK1137D_600	C+H	YLR222C
