genes	orthology	s288c
CENPK1137D_4661	C+H	YBR114W
CENPK1137D_238	C+H	YMR201C
CENPK1137D_1678	C+H	YPL022W
CENPK1137D_3722	C+H	YDL104C
CENPK1137D_3723	C+H	YDL103C
CENPK1137D_5218	C+H	YHR074W
CENPK1137D_4357	C+H	YDR529C
CENPK1137D_1879	C+H	YPR186C
CENPK1137D_3247	C+H	YGR280C
CENPK1137D_1103	C+H	YKR090W
CENPK1137D_1552	C+H	YPL147W
CENPK1137D_4409	C+H	YCR057C
CENPK1137D_576	C+H	YLR196W
CENPK1137D_5433	C+H	YHR037W
CENPK1137D_526	C+H	YLR142W
CENPK1137D_2258	C+H	YOR243C
CENPK1137D_2747	C+H	YNL292W
CENPK1137D_2910	C+H	YGL063W
CENPK1137D_1913	C+H	YPL212C
CENPK1137D_3508	C+H	YER094C
CENPK1137D_3220	C+H	YGR253C
CENPK1137D_2174	C+H	YOR157C
CENPK1137D_4324	C+H	YDR496C
CENPK1137D_805	C+H	YLL013C
CENPK1137D_2660	C+H	YNL016W
CENPK1137D_1106	C+H	YKR093W
CENPK1137D_3754	C+H	YDL230W
CENPK1137D_4866	C+H	YBL057C
CENPK1137D_5340	C+H	YHR189W
CENPK1137D_5221	C+H	YHR076W
CENPK1137D_2108	C+H	YOR090C
CENPK1137D_4935	C+H	YAL043C
CENPK1137D_2481	C+H	YNL201C
CENPK1137D_865	C+H	YLR019W
CENPK1137D_170	C+H	YMR137C
CENPK1137D_1966	C+H	YOL054W
CENPK1137D_2037	C+H	YOL146W
CENPK1137D_1228	C+H	YJL072C
CENPK1137D_3835	C+H	YDR013W
CENPK1137D_353	C+H	YMR308C
CENPK1137D_2510	C+H	YNL169C
CENPK1137D_3772	C+H	YDL055C
CENPK1137D_1022	C+H	YKR013W
CENPK1137D_1223	C+H	YJL079C
CENPK1137D_4843	C+H	YBL064C
CENPK1137D_2377	C+H	YOR361C
CENPK1137D_3796	C+H	YDL030W
CENPK1137D_5316	C+H	YHR165C
CENPK1137D_4600	C+H	YBR055C
CENPK1137D_1548	C+H	YPL151C
CENPK1137D_4948	C+H	YAL032C
CENPK1137D_995	C+H	YKL012W
CENPK1137D_1870	C+H	YPR178W
CENPK1137D_410	C+H	YML046W
CENPK1137D_3058	C+H	YGR091W
CENPK1137D_4300	C+H	YDR473C
CENPK1137D_4067	C+H	YDR243C
CENPK1137D_1273	C+H	YJL203W
CENPK1137D_573	C+H	YLL036C
CENPK1137D_2977	C+H	YGR006W
CENPK1137D_1098	C+H	YKR086W
CENPK1137D_3785	C+H	YDL043C
CENPK1137D_3681	C+H	YER023W
CENPK1137D_2341	C+H	YOR323C
CENPK1137D_320	C+H	YMR278W
CENPK1137D_5165	C+H	YIL095W
CENPK1137D_962	C+H	YKL045W
CENPK1137D_5072	C+H	YIR008C
CENPK1137D_3103	C+H	YGR135W
CENPK1137D_312	C+H	YML092C
CENPK1137D_4880	C+H	YBL041W
CENPK1137D_1983	C+H	YOL038W
CENPK1137D_360	C+H	YMR314W
CENPK1137D_3325	C+H	YFR050C
CENPK1137D_1293	C+H	YJL001W
CENPK1137D_1796	C+H	YPR103W
CENPK1137D_2378	C+H	YOR362C
CENPK1137D_3668	C+H	YER012W
CENPK1137D_4400	C+H	YCL057W
CENPK1137D_342	C+H	YMR297W
CENPK1137D_3483	C+H	YEL060C
CENPK1137D_5355	C+H	YHR201C
CENPK1137D_3091	C+H	YGR123C
CENPK1137D_4278	C+H	YDR452W
CENPK1137D_2093	C+H	YOL141W
CENPK1137D_4261	C+H	YDR435C
CENPK1137D_3895	C+H	YDR075W
CENPK1137D_5220	C+H	YHR075C
CENPK1137D_3259	C+H	YGL205W
CENPK1137D_5163	C+H	YIL160C
CENPK1137D_5145	C+H	YIL114C
CENPK1137D_2623	C+H	YNL055C
CENPK1137D_4947	C+H	YAL033W
CENPK1137D_4816	C+H	YBR257W
CENPK1137D_2731	C+H	YNR052C
CENPK1137D_2463	C+H	YNL221C
CENPK1137D_694	C+H	YLL023C
CENPK1137D_4510	C+H	YCR014C
CENPK1137D_1301	C+H	YJR006W
CENPK1137D_4636	C+H	YBR088C
CENPK1137D_3724	C+H	YDL102W
CENPK1137D_2777	C+H	YNL262W
CENPK1137D_4888	C+H	YBL035C
CENPK1137D_2576	C+H	YNL102W
CENPK1137D_383	C+H	YML069W
CENPK1137D_2178	C+H	YOR161C
CENPK1137D_587	C+H	YLR209C
CENPK1137D_2162	C+H	YOR145C
CENPK1137D_1604	C+H	YPL096W
CENPK1137D_2339	C+H	YOR321W
CENPK1137D_4958	C+H	YAL023C
CENPK1137D_2597	C+H	YNL082W
CENPK1137D_3294	C+H	YGL167C
CENPK1137D_862	C+H	YLR016C
CENPK1137D_3658	C+H	YER003C
CENPK1137D_2965	C+H	YGL006W
CENPK1137D_2297	C+H	YOR281C
CENPK1137D_4009	C+H	YDR183W
CENPK1137D_1922	C+H	YPL268W
CENPK1137D_5018	C+H	YIL042C
CENPK1137D_4317	C+H	YDR490C
CENPK1137D_4765	C+H	YBL105C
CENPK1137D_1806	C+H	YPR113W
CENPK1137D_1846	C+H	YPR154W
CENPK1137D_4904	C+H	YBL022C
CENPK1137D_2772	C+H	YNL267W
CENPK1137D_5430	C+H	YHR034C
CENPK1137D_5015	C+H	YIL045W
CENPK1137D_392	C+H	YML061C
CENPK1137D_3457	C+H	YER053C
CENPK1137D_1204	C+H	YJL097W
CENPK1137D_2400	C+H	YOR386W
CENPK1137D_4200	C+H	YDR374C
CENPK1137D_4855	C+H	YBR296C
CENPK1137D_2021	C+H	YOL001W
CENPK1137D_4307	C+H	YDR481C
CENPK1137D_4639	C+H	YBR092C
CENPK1137D_2581	C+H	YNL097C
CENPK1137D_3719	C+H	YDL106C
CENPK1137D_3688	C+H	YDL236W
CENPK1137D_5368	C+H	YHR215W
CENPK1137D_3196	C+H	YGR231C
CENPK1137D_3099	C+H	YGR132C
CENPK1137D_4491	C+H	YCL004W
CENPK1137D_4509	C+H	YCR012W
CENPK1137D_4748	C+H	YBR196C
CENPK1137D_1919	C+H	YPL206C
CENPK1137D_395	C+H	YML125C
CENPK1137D_2140	C+H	YOR122C
CENPK1137D_2494	C+H	YNL317W
CENPK1137D_4619	C+H	YBR074W
CENPK1137D_1455	C+H	YJL179W
CENPK1137D_2774	C+H	YNL326C
CENPK1137D_3966	C+H	YDR142C
CENPK1137D_2681	C+H	YNL329C
CENPK1137D_4068	C+H	YDR244W
CENPK1137D_4157	C+H	YDR329C
CENPK1137D_1513	C+H	YJL210W
CENPK1137D_3308	C+H	YGL153W
CENPK1137D_570	C+H	YLR191W
CENPK1137D_56	C+H	YMR026C
CENPK1137D_4090	C+H	YDR265W
CENPK1137D_1047	C+H	YKL197C
CENPK1137D_4893	C+H	YBL030C
CENPK1137D_2673	C+H	YNL003C
CENPK1137D_1326	C+H	YJR034W
CENPK1137D_3464	C+H	YER058W
CENPK1137D_4710	C+H	YBL080C
CENPK1137D_4537	C+H	YCR044C
CENPK1137D_1248	C+H	YJL053W
CENPK1137D_4151	C+H	YDR323C
CENPK1137D_271	C+H	YMR231W
CENPK1137D_1544	C+H	YPL154C
CENPK1137D_534	C+H	YLR148W
CENPK1137D_2056	C+H	YOR036W
CENPK1137D_3025	C+H	YGR058W
CENPK1137D_4579	C+H	YBR035C
CENPK1137D_3158	C+H	YGR193C
CENPK1137D_106	C+H	YMR076C
CENPK1137D_4456	C+H	YCL043C
CENPK1137D_1703	C+H	YPR002W
CENPK1137D_2376	C+H	YOR360C
CENPK1137D_3903	C+H	YDR081C
CENPK1137D_4776	C+H	YBR221C
CENPK1137D_3593	C+H	YER178W
CENPK1137D_3168	C+H	YGR202C
CENPK1137D_4778	C+H	YBR222C
CENPK1137D_3069	C+H	YGR101W
CENPK1137D_3505	C+H	YEL058W
CENPK1137D_4242	C+H	YDL179W
CENPK1137D_5009	C+H	YIL050W
CENPK1137D_3697	C+H	YDL127W
CENPK1137D_2751	C+H	YNL289W
CENPK1137D_4738	C+H	YBR186W
CENPK1137D_4051	C+H	YDR228C
CENPK1137D_537	C+H	YLR151C
CENPK1137D_1109	C+H	YKR095W-A
CENPK1137D_4640	C+H	YBR094W
CENPK1137D_1505	C+H	YJL128C
CENPK1137D_4787	C+H	YBR233W
CENPK1137D_3143	C+H	YGR178C
CENPK1137D_1011	C+H	YKR002W
CENPK1137D_979	C+H	YKL025C
CENPK1137D_2881	C+H	YGL094C
CENPK1137D_5070	C+H	YIR006C
CENPK1137D_853	C+H	YLR008C
CENPK1137D_1197	C+H	YJL104W
CENPK1137D_198	C+H	YMR165C
CENPK1137D_3662	C+H	YER007W
CENPK1137D_3042	C+H	YGR078C
CENPK1137D_2284	C+H	YOR269W
CENPK1137D_3579	C+H	YER165W
CENPK1137D_3891	C+H	YDR071C
CENPK1137D_1928	C+H	YPL196W
CENPK1137D_1185	C+H	YKL215C
CENPK1137D_3568	C+H	YER154W
CENPK1137D_5374	C+H	YHL013C
CENPK1137D_3337	C+H	YFL044C
CENPK1137D_2103	C+H	YOR085W
CENPK1137D_2121	C+H	YOR103C
CENPK1137D_1292	C+H	YJL002C
CENPK1137D_719	C+H	YLR350W
CENPK1137D_3007	C+H	YGR038W
CENPK1137D_2778	C+H	YNL261W
CENPK1137D_1853	C+H	YPR162C
CENPK1137D_4604	C+H	YBR060C
CENPK1137D_388	C+H	YML065W
CENPK1137D_1366	C+H	YJR073C
CENPK1137D_1987	C+H	YOL032W
CENPK1137D_1099	C+H	YKR087C
CENPK1137D_2919	C+H	YGL055W
CENPK1137D_4570	C+H	YBR025C
CENPK1137D_393	C+H	YML060W
CENPK1137D_2239	C+H	YOR222W
CENPK1137D_1564	C+H	YPL134C
CENPK1137D_1187	C+H	YKL120W
CENPK1137D_1860	C+H	YPR168W
CENPK1137D_4119	C+H	YDL193W
CENPK1137D_3708	C+H	YDL116W
CENPK1137D_3086	C+H	YGR119C
CENPK1137D_3290	C+H	YGL172W
CENPK1137D_2883	C+H	YGL092W
CENPK1137D_3661	C+H	YER006W
CENPK1137D_2451	C+H	YOL069W
CENPK1137D_1207	C+H	YJL208C
CENPK1137D_1732	C+H	YPR031W
CENPK1137D_3666	C+H	YER009W
CENPK1137D_394	C+H	YML059C
CENPK1137D_3125	C+H	YGR159C
CENPK1137D_1261	C+H	YJL041W
CENPK1137D_3848	C+H	YDR026C
CENPK1137D_3720	C+H	YDL105W
CENPK1137D_4111	C+H	YDR288W
CENPK1137D_852	C+H	YLR007W
CENPK1137D_3540	C+H	YER126C
CENPK1137D_2864	C+H	YGL111W
CENPK1137D_4364	C+H	YDL167C
CENPK1137D_2551	C+H	YNL129W
CENPK1137D_2789	C+H	YNL251C
CENPK1137D_2906	C+H	YGL067W
CENPK1137D_3461	C+H	YEL062W
CENPK1137D_3641	C+H	YEL016C
CENPK1137D_4521	C+H	YCR026C
CENPK1137D_4724	C+H	YBR170C
CENPK1137D_4259	C+H	YDR432W
CENPK1137D_1365	C+H	YJR072C
CENPK1137D_5023	C+H	YIL038C
CENPK1137D_1286	C+H	YJL010C
CENPK1137D_3071	C+H	YGR103W
CENPK1137D_2328	C+H	YOR310C
CENPK1137D_577	C+H	YLR197W
CENPK1137D_1553	C+H	YPL146C
CENPK1137D_1658	C+H	YPL043W
CENPK1137D_2619	C+H	YNL061W
CENPK1137D_2569	C+H	YNL110C
CENPK1137D_4384	C+H	YDL148C
CENPK1137D_2507	C+H	YNL175C
CENPK1137D_1979	C+H	YOL041C
CENPK1137D_5216	C+H	YHR072W-A
CENPK1137D_3811	C+H	YDL014W
CENPK1137D_2732	C+H	YNR053C
CENPK1137D_1607	C+H	YPL093W
CENPK1137D_1836	C+H	YPR144C
CENPK1137D_846	C+H	YLR002C
CENPK1137D_2222	C+H	YOR206W
CENPK1137D_2075	C+H	YOR056C
CENPK1137D_3055	C+H	YGR089W
CENPK1137D_575	C+H	YLR195C
CENPK1137D_1427	C+H	YJR132W
CENPK1137D_5322	C+H	YHR170W
CENPK1137D_5222	C+H	YHR077C
CENPK1137D_2557	C+H	YNL123W
CENPK1137D_720	C+H	YLR351C
CENPK1137D_1507	C+H	YJL126W
CENPK1137D_1914	C+H	YPL211W
CENPK1137D_1953	C+H	YPL174C
CENPK1137D_354	C+H	YMR309C
CENPK1137D_3156	C+H	YGL221C
CENPK1137D_3384	C+H	YFR002W
CENPK1137D_4281	C+H	YDR456W
CENPK1137D_3964	C+H	YDL208W
CENPK1137D_966	C+H	YKL040C
CENPK1137D_2173	C+H	YOR156C
CENPK1137D_5012	C+H	YIL048W
CENPK1137D_5394	C+H	YHR004C
CENPK1137D_5113	C+H	YIL144W
CENPK1137D_3233	C+H	YGL211W
CENPK1137D_2561	C+H	YNL119W
CENPK1137D_1695	C+H	YPL006W
CENPK1137D_5438	C+H	YHR042W
CENPK1137D_4902	C+H	YBL024W
CENPK1137D_4225	C+H	YDR397C
CENPK1137D_2884	C+H	YGL091C
CENPK1137D_3983	C+H	YDR162C
CENPK1137D_1823	C+H	YPR131C
CENPK1137D_3788	C+H	YDL040C
CENPK1137D_3197	C+H	YGR232W
CENPK1137D_5056	C+H	YIL007C
CENPK1137D_2800	C+H	YNL240C
CENPK1137D_1056	C+H	YKR048C
CENPK1137D_5233	C+H	YHR086W
CENPK1137D_110	C+H	YMR080C
CENPK1137D_751	C+H	YLR382C
CENPK1137D_2556	C+H	YNL124W
CENPK1137D_1935	C+H	YPL190C
CENPK1137D_2853	C+H	YGL122C
CENPK1137D_5418	C+H	YHR023W
CENPK1137D_4466	C+H	YCL033C
CENPK1137D_3443	C+H	YER042W
CENPK1137D_32	C+H	YMR004W
CENPK1137D_2722	C+H	YNR043W
CENPK1137D_4215	C+H	YDR386W
CENPK1137D_3021	C+H	YGR055W
CENPK1137D_1252	C+H	YJL050W
CENPK1137D_2177	C+H	YOR160W
CENPK1137D_3963	C+H	YDR140W
CENPK1137D_2617	C+H	YNL063W
CENPK1137D_2990	C+H	YGL236C
CENPK1137D_3225	C+H	YGR257C
CENPK1137D_5320	C+H	YHR168W
CENPK1137D_128	C+H	YMR097C
CENPK1137D_3952	C+H	YDR128W
CENPK1137D_1603	C+H	YPL097W
CENPK1137D_4093	C+H	YDR268W
CENPK1137D_4033	C+H	YDR208W
CENPK1137D_53	C+H	YMR023C
CENPK1137D_2996	C+H	YGR028W
CENPK1137D_4163	C+H	YDR335W
CENPK1137D_3137	C+H	YGR171C
CENPK1137D_503	C+H	YLR116W
CENPK1137D_5073	C+H	YIR009W
CENPK1137D_3919	C+H	YDR097C
CENPK1137D_4380	C+H	YDL154W
CENPK1137D_3379	C+H	YFL003C
CENPK1137D_4439	C+H	YCR092C
CENPK1137D_2427	C+H	YOL090W
CENPK1137D_2625	C+H	YNL053W
CENPK1137D_1749	C+H	YPR047W
CENPK1137D_1986	C+H	YOL033W
CENPK1137D_1596	C+H	YPL104W
CENPK1137D_4029	C+H	YDR205W
CENPK1137D_2392	C+H	YOL112W
CENPK1137D_2737	C+H	YNL293W
CENPK1137D_4165	C+H	YDR336W
CENPK1137D_4104	C+H	YDR282C
CENPK1137D_998	C+H	YKL009W
CENPK1137D_2350	C+H	YOR334W
CENPK1137D_4694	C+H	YBR146W
CENPK1137D_4808	C+H	YBR251W
CENPK1137D_4166	C+H	YDR337W
CENPK1137D_1687	C+H	YPL013C
CENPK1137D_2716	C+H	YNR036C
CENPK1137D_3186	C+H	YGR220C
CENPK1137D_1236	C+H	YJL063C
CENPK1137D_1794	C+H	YPR100W
CENPK1137D_19	C+H	YML009C
CENPK1137D_4498	C+H	YCR003W
CENPK1137D_54	C+H	YMR024W
CENPK1137D_229	C+H	YMR193W
CENPK1137D_2166	C+H	YOR150W
CENPK1137D_2498	C+H	YNL185C
CENPK1137D_2788	C+H	YNL252C
CENPK1137D_2756	C+H	YNL284C
CENPK1137D_2671	C+H	YNL005C
CENPK1137D_5386	C+H	YHL004W
CENPK1137D_4233	C+H	YDR405W
CENPK1137D_1858	C+H	YPR166C
CENPK1137D_1007	C+H	YKL003C
CENPK1137D_3782	C+H	YDL045W-A
CENPK1137D_2218	C+H	YOR201C
CENPK1137D_1777	C+H	YPR079W
CENPK1137D_1812	C+H	YPR118W
CENPK1137D_2831	C+H	YGL143C
CENPK1137D_263	C+H	YMR224C
CENPK1137D_1805	C+H	YPR112C
CENPK1137D_3800	C+H	YDL028C
CENPK1137D_1296	C+H	YJR002W
CENPK1137D_5065	C+H	YIR002C
CENPK1137D_946	C+H	YKL059C
CENPK1137D_2430	C+H	YOL088C
CENPK1137D_3209	C+H	YGR243W
CENPK1137D_5313	C+H	YHR162W
CENPK1137D_2895	C+H	YGL080W
CENPK1137D_3476	C+H	YER068W
CENPK1137D_1618	C+H	YPL082C
CENPK1137D_2704	C+H	YNL297C
CENPK1137D_2851	C+H	YGL124C
CENPK1137D_4874	C+H	YBL049W
CENPK1137D_1367	C+H	YJR074W
CENPK1137D_2289	C+H	YOR274W
CENPK1137D_5154	C+H	YIL106W
CENPK1137D_1426	C+H	YJR131W
CENPK1137D_2905	C+H	YGL068W
CENPK1137D_5358	C+H	YHR204W
CENPK1137D_3280	C+H	YGL183C
CENPK1137D_3637	C+H	YEL019C
CENPK1137D_2887	C+H	YGL087C
CENPK1137D_5008	C+H	YIL051C
CENPK1137D_5099	C+H	YIL149C
CENPK1137D_1108	C+H	YKR095W
CENPK1137D_1533	C+H	YPL164C
CENPK1137D_200	C+H	YMR167W
CENPK1137D_30	C+H	YMR002W
CENPK1137D_3851	C+H	YDR031W
CENPK1137D_2347	C+H	YOR330C
CENPK1137D_67	C+H	YMR036C
CENPK1137D_4528	C+H	YCL057C-A
CENPK1137D_1069	C+H	YKL195W
CENPK1137D_2432	C+H	YOL086W-A
CENPK1137D_4053	C+H	YDL200C
CENPK1137D_2466	C+H	YNL218W
CENPK1137D_1601	C+H	YPL098C
CENPK1137D_2249	C+H	YOR232W
CENPK1137D_5097	C+H	YIR033W
CENPK1137D_1640	C+H	YPL060W
CENPK1137D_1529	C+H	YPL169C
CENPK1137D_863	C+H	YLR017W
CENPK1137D_2256	C+H	YOR241W
CENPK1137D_5014	C+H	YIL046W
CENPK1137D_5129	C+H	YIL128W
CENPK1137D_1009	C+H	YKL001C
CENPK1137D_2850	C+H	YGL125W
CENPK1137D_3231	C+H	YGR264C
CENPK1137D_1199	C+H	YJL102W
CENPK1137D_455	C+H	YLR069C
CENPK1137D_2159	C+H	YOL135C
CENPK1137D_5200	C+H	YHR058C
CENPK1137D_4684	C+H	YBR136W
CENPK1137D_3067	C+H	YGR100W
CENPK1137D_494	C+H	YLR106C
CENPK1137D_1992	C+H	YOL027C
CENPK1137D_953	C+H	YKL053C-A
CENPK1137D_2444	C+H	YOL076W
CENPK1137D_190	C+H	YML104C
CENPK1137D_567	C+H	YLR188W
CENPK1137D_919	C+H	YKL085W
CENPK1137D_1320	C+H	YJR024C
CENPK1137D_4781	C+H	YBR227C
CENPK1137D_627	C+H	YLR253W
CENPK1137D_4756	C+H	YBR202W
CENPK1137D_3262	C+H	YGL201C
CENPK1137D_649	C+H	YLR274W
CENPK1137D_1720	C+H	YPR019W
CENPK1137D_3623	C+H	YEL032W
CENPK1137D_4903	C+H	YBL023C
CENPK1137D_5088	C+H	YIL150C
CENPK1137D_75	C+H	YMR043W
CENPK1137D_1113	C+H	YKL221W
CENPK1137D_1145	C+H	YKL165C
CENPK1137D_3822	C+H	YDL003W
CENPK1137D_2317	C+H	YOR298C-A
CENPK1137D_5419	C+H	YHR024C
CENPK1137D_543	C+H	YLR163C
CENPK1137D_4599	C+H	YBL091C
CENPK1137D_619	C+H	YLR244C
CENPK1137D_2460	C+H	YOL060C
CENPK1137D_4858	C+H	YBR299W
CENPK1137D_3314	C+H	
CENPK1137D_4691	C+H	YBR142W
CENPK1137D_1752	C+H	YPR051W
CENPK1137D_3879	C+H	YDR060W
CENPK1137D_4956	C+H	YAL025C
CENPK1137D_984	C+H	YKL021C
CENPK1137D_3561	C+H	YEL053C
CENPK1137D_3829	C+H	YDR005C
CENPK1137D_975	C+H	YKL029C
CENPK1137D_1282	C+H	YJL013C
CENPK1137D_1271	C+H	YJL030W
CENPK1137D_36	C+H	
CENPK1137D_37	C+H	
CENPK1137D_2010	C+H	
CENPK1137D_2729	C+H	YNR050C
CENPK1137D_5100	C+H	YIR034C
CENPK1137D_3738	C+H	YDL087C
CENPK1137D_1773	C+H	YPR073C
CENPK1137D_2669	C+H	YNL006W
CENPK1137D_2533	C+H	YNL147W
CENPK1137D_3559	C+H	YER146W
CENPK1137D_3524	C+H	YER112W
CENPK1137D_809	C+H	YLR438C-A
CENPK1137D_4900	C+H	YBL026W
CENPK1137D_5268	C+H	YHR121W
CENPK1137D_1509	C+H	YJL124C
CENPK1137D_2875	C+H	YGL099W
CENPK1137D_3210	C+H	YGR244C
CENPK1137D_2158	C+H	YOR142W
CENPK1137D_1201	C+H	YJL100W
CENPK1137D_3104	C+H	YGR136W
CENPK1137D_2684	C+H	YNR008W
CENPK1137D_4241	C+H	YDL240W
CENPK1137D_3364	C+H	YFL018C
CENPK1137D_991	C+H	YKL205W
CENPK1137D_2214	C+H	YOR196C
CENPK1137D_614	C+H	YLR239C
CENPK1137D_1364	C+H	YJR070C
CENPK1137D_3777	C+H	YDL051W
CENPK1137D_5392	C+H	YHR002W
CENPK1137D_2141	C+H	YOR123C
CENPK1137D_1645	C+H	YPL054W
CENPK1137D_1912	C+H	YPL213W
CENPK1137D_1497	C+H	YJL134W
CENPK1137D_3881	C+H	YDR062W
CENPK1137D_341	C+H	YMR296C
CENPK1137D_2608	C+H	YNL071W
CENPK1137D_1238	C+H	YJL062W
CENPK1137D_2199	C+H	YOR181W
CENPK1137D_1073	C+H	YKR063C
CENPK1137D_2801	C+H	YNL239W
CENPK1137D_2634	C+H	YNL045W
CENPK1137D_458	C+H	YLR072W
CENPK1137D_3338	C+H	YFL042C
CENPK1137D_1218	C+H	YJL207C
CENPK1137D_1194	C+H	YKL110C
CENPK1137D_4788	C+H	YBL071W-A
CENPK1137D_3858	C+H	YDR037W
CENPK1137D_4506	C+H	YCL059C
CENPK1137D_2594	C+H	YNL308C
CENPK1137D_2352	C+H	YOR336W
CENPK1137D_2547	C+H	YNL132W
CENPK1137D_5337	C+H	YHR186C
CENPK1137D_727	C+H	YLL019C
CENPK1137D_3189	C+H	YGL216W
CENPK1137D_4854	C+H	YBL063W
CENPK1137D_4988	C+H	YAR018C
CENPK1137D_3717	C+H	YDL108W
CENPK1137D_3972	C+H	YDR148C
CENPK1137D_5133	C+H	YIL125W
CENPK1137D_2802	C+H	YNL238W
CENPK1137D_1547	C+H	YPL263C
CENPK1137D_3205	C+H	YGR238C
CENPK1137D_3204	C+H	YGR238C
CENPK1137D_5309	C+H	YHR158C
CENPK1137D_3839	C+H	YDR017C
CENPK1137D_4422	C+H	YCL055W
CENPK1137D_1834	C+H	YPR141C
CENPK1137D_1268	C+H	YJL034W
CENPK1137D_717	C+H	YLR347C
CENPK1137D_3522	C+H	YER110C
CENPK1137D_1574	C+H	YPL125W
CENPK1137D_2946	C+H	YGL241W
CENPK1137D_4561	C+H	YBR017C
CENPK1137D_1048	C+H	YKR038C
CENPK1137D_164	C+H	YMR132C
CENPK1137D_2812	C+H	YNL227C
CENPK1137D_1414	C+H	YJR119C
CENPK1137D_3455	C+H	YER051W
CENPK1137D_1163	C+H	YKL217W
CENPK1137D_2953	C+H	YGL018C
CENPK1137D_2020	C+H	YOL002C
CENPK1137D_385	C+H	YML068W
CENPK1137D_1342	C+H	YJR050W
CENPK1137D_2242	C+H	YOR226C
CENPK1137D_5069	C+H	YIR005W
CENPK1137D_4634	C+H	YBR086C
CENPK1137D_2773	C+H	YNL265C
CENPK1137D_553	C+H	
CENPK1137D_3760	C+H	
CENPK1137D_1661	C+H	YPL040C
CENPK1137D_3452	C+H	YER048W-A
CENPK1137D_3675	C+H	YER019W
CENPK1137D_1766	C+H	YPR067W
CENPK1137D_662	C+H	YLL027W
CENPK1137D_1029	C+H	YKR019C
CENPK1137D_5034	C+H	YIL026C
CENPK1137D_5224	C+H	YHR079C
CENPK1137D_3423	C+H	YFR038W
CENPK1137D_5102	C+H	YIR036C
CENPK1137D_103	C+H	YMR073C
CENPK1137D_1778	C+H	YPL242C
CENPK1137D_4556	C+H	YBR011C
CENPK1137D_1916	C+H	YPL209C
CENPK1137D_2500	C+H	YNL182C
CENPK1137D_5232	C+H	YHR085W
CENPK1137D_399	C+H	
CENPK1137D_2825	C+H	YGL150C
CENPK1137D_1481	C+H	YJL153C
CENPK1137D_4110	C+H	YDR287W
CENPK1137D_5443	C+H	YHR046C
CENPK1137D_4219	C+H	YDL181W
CENPK1137D_5297	C+H	YHR148W
CENPK1137D_66	C+H	YMR035W
CENPK1137D_183	C+H	YMR150C
CENPK1137D_2999	C+H	YGR031W
CENPK1137D_1435	C+H	YJR138W
CENPK1137D_4420	C+H	YCR071C
CENPK1137D_1458	C+H	YJL216C
CENPK1137D_4539	C+H	YGR287C
CENPK1137D_3311	C+H	YGR287C
CENPK1137D_4743	C+H	YBL076C
CENPK1137D_753	C+H	YLR384C
CENPK1137D_1997	C+H	YOL023W
CENPK1137D_4711	C+H	YBR159W
CENPK1137D_3611	C+H	YEL044W
CENPK1137D_1583	C+H	YPL117C
CENPK1137D_2153	C+H	YOR136W
CENPK1137D_2642	C+H	YNL037C
CENPK1137D_487	C+H	YLR099C
CENPK1137D_3488	C+H	YER078C
CENPK1137D_1416	C+H	YJR122W
CENPK1137D_2144	C+H	YOR126C
CENPK1137D_5103	C+H	YIR037W
CENPK1137D_1121	C+H	YKL189W
CENPK1137D_3438	C+H	YER039C
CENPK1137D_1756	C+H	YPL244C
CENPK1137D_2833	C+H	YGL141W
CENPK1137D_1328	C+H	YJR036C
CENPK1137D_2710	C+H	YNR032C-A
CENPK1137D_2009	C+H	YOL012C
CENPK1137D_1735	C+H	YPR033C
CENPK1137D_3190	C+H	YGR223C
CENPK1137D_1685	C+H	YPL015C
CENPK1137D_634	C+H	YLR259C
CENPK1137D_2041	C+H	YOR020C
CENPK1137D_4682	C+H	YBR133C
CENPK1137D_2336	C+H	YOR319W
CENPK1137D_331	C+H	YMR288W
CENPK1137D_2902	C+H	YGL073W
CENPK1137D_5388	C+H	YHL002W
CENPK1137D_485	C+H	YLR097C
CENPK1137D_2170	C+H	YOL133W
CENPK1137D_1920	C+H	YPL204W
CENPK1137D_2281	C+H	YOL123W
CENPK1137D_585	C+H	YLR207W
CENPK1137D_2008	C+H	YOL013C
CENPK1137D_5149	C+H	YIL110W
CENPK1137D_5147	C+H	YIL112W
CENPK1137D_5186	C+H	YIL072W
CENPK1137D_500	C+H	YLR113W
CENPK1137D_63	C+H	YMR032W
CENPK1137D_2274	C+H	YOR258W
CENPK1137D_4128	C+H	YDR305C
CENPK1137D_3700	C+H	YDL125C
CENPK1137D_2898	C+H	YGL077C
CENPK1137D_582	C+H	YLR205C
CENPK1137D_4578	C+H	YBR034C
CENPK1137D_4534	C+H	YCR096C
CENPK1137D_821	C+H	YLR450W
CENPK1137D_377	C+H	YML075C
CENPK1137D_3463	C+H	YER057C
CENPK1137D_4919	C+H	YBL008W
CENPK1137D_4554	C+H	YBR010W YNL031C
CENPK1137D_2646	C+H	YBR010W YNL031C
CENPK1137D_1572	C+H	YPL127C
CENPK1137D_4553	C+H	YBR009C YNL030W
CENPK1137D_2647	C+H	YBR009C YNL030W
CENPK1137D_3151	C+H	YGR187C
CENPK1137D_2835	C+H	YGL251C
CENPK1137D_141	C+H	YMR110C
CENPK1137D_338	C+H	YMR293C
CENPK1137D_2294	C+H	YOR278W
CENPK1137D_3997	C+H	YDL205C
CENPK1137D_3706	C+H	YDL119C
