Geneid,Std_1,Std_2,Std_3,Doc_1,Doc_2,Doc_3
KMXK_0A02680,1720,1830,1758,1781,1699,1366
KMXK_0A02690,176,252,262,264,191,172
KMXK_0A02700,2168,2596,2565,2691,2605,2357
KMXK_0A02710,894,802,845,1032,997,843
KMXK_0A02720,434,415,492,412,394,318
KMXK_0A02730,1327,1307,1126,1098,1048,867
KMXK_0A02740,3324,3686,3823,3696,3159,3188
KMXK_0A02750,3315,3113,3775,4237,3818,3548
KMXK_0A02760,737,808,774,828,772,642
KMXK_0A02770,494,501,595,742,518,488
KMXK_0A02780,3528,4210,5121,6149,6244,4602
KMXK_0A02790,12,14,8,21,6,12
KMXK_0A02800,1698,1295,1646,2559,2467,2055
KMXK_0A02810,786,841,913,1112,995,784
KMXK_0A02820,9178,9416,10795,11611,9452,8611
KMXK_0A02830,3079,3119,3225,3073,2892,2543
KMXK_0A02840,3220,2707,3106,4054,3577,3281
KMXK_0A02850,4955,5483,6490,7694,7309,6594
KMXK_0A02860,988,1095,1208,1385,1240,1083
KMXK_0A02870,129,184,231,235,195,216
KMXK_0A02880,367,433,498,494,486,428
KMXK_0A02890,4019,4276,4596,5255,4760,4592
KMXK_0A02900,4077,4462,5683,6904,6414,5922
KMXK_0A02910,3042,3157,3584,4062,4050,3265
KMXK_0A02920,695,741,956,1225,1218,1183
KMXK_0A02930,328,333,407,483,400,345
KMXK_0A02940,81,111,117,145,140,133
KMXK_0A02950,133,150,116,153,120,144
KMXK_0A02960,52,65,47,65,65,83
KMXK_0A02970,605,634,706,668,602,529
KMXK_0A02980,1162,866,775,792,571,510
KMXK_0A02990,377,426,541,485,506,486
KMXK_0A03000,2145,2304,2388,2547,2482,2196
KMXK_0A03010,59930,71252,75735,108044,103458,96078
KMXK_0A03020,1453,1161,1488,1812,1945,1897
KMXK_0A03030,3028,3475,3979,4946,4516,4422
KMXK_0A03040,439,477,535,565,591,559
KMXK_0A03050,3500,3757,4438,4509,4196,3635
KMXK_0A03060,1657,1916,1967,2069,1784,1474
KMXK_0A03070,2476,2850,2958,2973,2827,2343
KMXK_0A03080,2280,2666,2722,2658,2405,1774
KMXK_0A03090,1481,1370,1341,1658,1509,1246
KMXK_0A03100,3356,3410,4036,4884,4393,3984
KMXK_0A03110,2434,2334,2755,3121,2755,2486
KMXK_0A03120,2483,2193,2592,2796,2298,1976
KMXK_0A03130,906,1173,1293,1331,1311,1048
KMXK_0A03140,471,534,548,566,436,341
KMXK_0A03150,251,303,342,363,326,354
KMXK_0A03160,5190,6381,7047,8262,7235,6220
KMXK_0A03170,511,580,708,689,580,555
KMXK_0A03180,9497,10917,12404,11768,10801,10286
KMXK_0A03190,252,352,407,512,387,647
KMXK_0A03200,19517,18788,19224,23734,19330,18758
KMXK_0A03210,4853,4807,5461,4656,4463,4037
KMXK_0A03220,2355,2716,3425,3771,3751,3871
KMXK_0A03230,55298,55136,67187,89064,99746,100755
KMXK_0A03240,1268,1171,1221,1100,1126,957
KMXK_0A03250,18346,20487,25609,47351,45037,46025
KMXK_0A03260,1588,1689,1972,2062,1776,1595
KMXK_0A03270,27127,29570,31615,35056,32588,31444
KMXK_0A03280,1460,1413,1732,1980,1823,2068
KMXK_0A03290,2910,2933,3314,3593,3073,3047
KMXK_0A03300,1292,1604,1779,1933,1868,1630
KMXK_0A03310,2572,2477,2691,2797,2625,2134
KMXK_0A03320,1181,1195,1309,1380,1156,1111
KMXK_0A03330,881,1090,1210,1343,1316,1158
KMXK_0A03340,5928,5783,6502,6971,6919,6620
KMXK_0A03350,4045,4412,5001,6099,6141,5649
KMXK_0A03360,5524,6614,6941,7511,6212,5216
KMXK_0A03370,358,332,466,451,430,354
KMXK_0A03380,5299,5950,6228,6109,5497,4926
KMXK_0A03390,2642,2656,2552,2861,2601,2485
KMXK_0A03400,3059,3313,3728,3976,3663,3438
KMXK_0A03410,1062,1390,1346,1638,1440,1327
KMXK_0A03420,27273,25977,30400,41867,40592,39097
KMXK_0A03430,4588,4793,5555,6549,6074,5510
KMXK_0A03440,7480,8412,8943,9588,8658,8154
KMXK_0A03450,512,525,459,476,365,327
KMXK_0A03460,2017,2442,2588,2468,2373,2098
KMXK_0A03470,697,685,813,919,862,630
KMXK_0A03480,3100,3207,3698,4086,3925,3440
KMXK_0A03490,6692,7384,8495,9985,9525,8949
KMXK_0A03500,916,1098,1103,1259,1153,1235
KMXK_0A03510,731,714,850,912,897,761
KMXK_0A03520,1717,1718,1839,1988,1662,1564
KMXK_0A03530,3772,4644,5966,8248,8265,7454
KMXK_0A03540,3076,3064,3890,5598,5709,5966
KMXK_0A03550,2007,2021,1823,2179,1661,1380
KMXK_0A03560,4836,6107,6644,7140,6899,6014
KMXK_0A03570,1114,1098,1474,1600,1528,1375
KMXK_0A03580,1262,1592,1812,2219,2050,1825
KMXK_0A03590,1866,2140,2269,2796,2423,2179
KMXK_0A03600,1301,1495,1550,1535,1453,1223
KMXK_0A03610,2382,2724,3029,3134,2849,2426
KMXK_0A03620,1035,1142,1103,1120,1011,924
KMXK_0A03630,2080,2273,2238,2414,2220,1957
