"","genes","logFC","logCPM","PValue","FDR"
"4192","YJL141C",-0.836738623658267,7.80984040144607,4.51129470060308e-14,1.14164551423347e-12
"3874","YNL173C",-0.988403383249663,8.51998616710403,4.71975469196322e-14,1.18933818445361e-12
"2377","YPL264C",-1.42415357280334,5.251712261245,6.31924564260923e-14,1.58567737707161e-12
"598","YDR357C",-1.057092429712,7.6731484136191,6.4104378725632e-14,1.6018014297535e-12
"794","YOL152W",0.82973853605014,5.94482564321972,6.43757006001491e-14,1.60185059192086e-12
"2155","YLR254C",-0.844388272105662,6.32378648251623,7.07013783232755e-14,1.7519212370355e-12
"2211","YLR307C-A",-1.38446962537007,7.02501179554611,7.57847019304017e-14,1.8700897194195e-12
"1253","YOR321W",-0.898456354039475,5.73854462985036,8.91011361207059e-14,2.18960519218941e-12
"1635","YGR065C",0.937410619682486,7.77726536115038,1.0982153309544e-13,2.68768994781309e-12
"4958","YER073W",-1.14532788353046,8.39477036546627,1.12419786416802e-13,2.74000192549475e-12
"1248","YOR316C",0.709064741675576,7.89648854287045,1.31080230820129e-13,3.18177197015228e-12
"4043","YNL001W",0.857284809112543,6.2364325358004,1.35523579506935e-13,3.27625498913717e-12
"4422","YJR109C",-1.50857738426286,9.44924995675184,1.3644212758983e-13,3.28510661043205e-12
"3547","YBR132C",-0.731114443758031,6.46634993288857,1.3727473888789e-13,3.2918260974447e-12
"5083","YER188C-A",2.01301107104333,2.20593126497752,1.44911811881639e-13,3.46100620586389e-12
"5168","YHR031C",0.892265960998002,5.66558174881494,1.54538631005151e-13,3.67616495435053e-12
"308","YDR070C",-1.20230384426236,9.44890744912306,1.58174884171207e-13,3.74767345086122e-12
"3954","YNL093W",-1.07114288326841,5.3303466090381,1.83832054762824e-13,4.33829059394648e-12
"4030","YNL015W",-0.922132238678997,9.25026649536508,1.91214930117019e-13,4.49468454310638e-12
"1424","YGL156W",-1.03787421282831,8.69409604346136,2.02558486371486e-13,4.74257999390246e-12
"4828","YEL049W",-4.67068521637793,6.44750228364533,2.04850376364258e-13,4.7774321107382e-12
"4245","YJL088W",-1.18958502290692,8.88204995952755,2.08696509600063e-13,4.84811774449834e-12
"3722","YNL333W",0.85971056973232,5.02716765895575,2.18212109671635e-13,5.04944519928878e-12
"5292","YHR146W",-0.897241162320274,8.60470705590882,2.81403648780867e-13,6.48646317558069e-12
"512","YDR270W",0.616084817230761,6.69321845174339,2.83992307878097e-13,6.5208581272241e-12
"4417","YJR104C",-0.936460495160386,9.69055085902591,2.91420732053995e-13,6.66568882125041e-12
"5249","YHR106W",-0.678795010531817,7.35815300115532,2.95538593721935e-13,6.73397707610861e-12
"4169","YJL164C",-0.83234574793449,5.56298492437136,3.04522095407165e-13,6.91218664651301e-12
"5871","YAL053W",-0.739357019651284,8.39962118862308,3.06990120288703e-13,6.94171195953201e-12
"1869","YLL052C",-3.29508663608084,5.60654832942064,3.16429606374631e-13,7.1280563223861e-12
"2891","YML075C",-1.08976167730486,9.1259159883054,3.21296095093958e-13,7.21036934914629e-12
"2879","YML087C",0.882664908658857,6.74092434632482,3.66867710523893e-13,8.2021138138556e-12
"4803","YEL071W",0.871529862158009,9.42640733494257,3.80213514781294e-13,8.46865083297511e-12
"3553","YBR139W",-0.791412128053835,7.49510350655781,4.16588564354112e-13,9.24422459781306e-12
"3467","YBR056W",-1.02084730810616,7.67835167248235,4.32589863397722e-13,9.56361307667752e-12
"3227","YMR250W",-1.07434893344685,7.71678506303232,4.56234233784072e-13,1.00489814381995e-11
"5441","YIL101C",-1.44648170320357,8.80645625111125,4.95679658261066e-13,1.08775163382973e-11
"5712","YCR083W",-0.808104023504576,6.28873488272061,5.10594643305305e-13,1.11636262637377e-11
"1311","YOR382W",1.55014905017863,7.13087767443794,5.25177303826391e-13,1.14404008273097e-11
"5283","YHR138C",-1.19124729411389,8.44615692449549,5.3782947460328e-13,1.16732550564442e-11
"898","YOL045W",-0.764633647646397,6.15920896567026,5.42770234390068e-13,1.17376530324281e-11
"599","YDR358W",-0.766075357855573,6.87474540679366,5.82149362249827e-13,1.2543631367028e-11
"1720","YGR153W",-1.1570771208029,5.08113136198869,6.29526971939072e-13,1.35155122820277e-11
"2472","YPL171C",-2.23971863923265,6.89888592502807,6.36204578577965e-13,1.36097432690761e-11
"1174","YOR237W",-4.00177745385776,6.17371109788508,6.69963875954292e-13,1.42805561659505e-11
"3936","YNL111C",-1.23350373187005,7.68993098569793,6.91159821889991e-13,1.46797409313563e-11
"503","YDR261W-B",1.02166249950017,4.75151427178763,7.10743450049264e-13,1.50419619126084e-11
"853","YOL091W",-1.12687379892225,4.26894651005194,7.59477568423278e-13,1.60163585085576e-11
"2075","YLR168C",0.82092719766167,7.81846809329047,8.70800460835788e-13,1.82991178112736e-11
"5641","YCR004C",-0.738718344193731,8.98856884768469,9.12200647580218e-13,1.91016100392942e-11
"2279","YLR377C",-0.813441049176047,6.92281031125765,1.14188406777206e-12,2.38273142141771e-11
"3084","YMR119W",-0.633679750216393,6.29860356247771,1.33485149279524e-12,2.77565098868996e-11
"879","YOL065C",-0.833947931077759,5.34869833830396,1.50686402309404e-12,3.12241127015339e-11
"275","YDR034W-B",-1.18318803273895,5.12488750141424,1.74838567433716e-12,3.61029500183441e-11
"5091","YHL041W",2.15905105466947,1.17075583365182,1.88075707189589e-12,3.87019456974563e-11
"5088","YHL044W",2.60286542074091,2.58074713212683,1.96479989697812e-12,4.02919482321685e-11
"2367","YPL274W",-1.42608831720997,6.80353143674624,1.97184667161488e-12,4.02974988181914e-11
"2522","YPL119C",-0.831974079756057,6.62165443274128,2.14179856993728e-12,4.36208085459487e-11
"3562","YBR149W",-0.965974315435023,9.23000933345899,2.38657434133228e-12,4.8440128354618e-11
"191","YDL054C",-0.816396048697297,7.15428232347054,2.61302323268414e-12,5.28559495400429e-11
"2084","YLR179C",0.843963971051275,6.88255338005257,2.63700949934209e-12,5.31603237036862e-11
"5160","YHR023W",0.573581056521401,6.27328667784991,2.76407073867349e-12,5.55335428476055e-11
"4986","YER096W",-1.38860699942131,6.14944858921666,3.08893911224326e-12,6.18515855236049e-11
"2259","YLR356W",-0.926099526067356,7.6976974758036,3.76732328779755e-12,7.51821194380269e-11
"3003","YMR036C",-0.827543440083231,6.4051159051934,4.14823705884207e-12,8.25069089930896e-11
"50","YDL198C",-0.721552139159002,7.67393214386514,5.00632049452797e-12,9.92419599365261e-11
"624","YDR380W",-3.0482121992838,7.43742931630473,5.36982916743076e-12,1.06094265975783e-10
"3715","YBR296C-A",1.31574592847541,2.19783590012358,5.3883237388424e-12,1.0610715653939e-10
"5700","YCR069W",-0.70023995301889,7.74464783385799,6.16660797746952e-12,1.21032401458783e-10
"5240","YHR097C",-1.20050695009341,8.56546981024395,6.34938186131066e-12,1.2420978266189e-10
"1948","YLR034C",0.823803422499704,7.1501568195395,6.61247322386023e-12,1.28932387745235e-10
"1823","YGR256W",-1.23969445034781,8.87444625091742,7.23211384106574e-12,1.40553532721627e-10
"3225","YMR247C",0.673565577952963,6.55038795678317,7.42305547458276e-12,1.43794498069523e-10
"5185","YHR046C",0.75890468056307,5.99516463750715,8.55414213905129e-12,1.65167153574474e-10
"1765","YGR197C",-0.641921560020902,6.01213261238575,8.58627554474733e-12,1.65251070112014e-10
"1206","YOR273C",-0.784059215897713,8.36399810323612,8.66664724548423e-12,1.66259842480306e-10
"4791","YKR098C",0.80143687499214,5.66592827238887,8.94728727453823e-12,1.71091695889643e-10
"691","YDR453C",-1.83718006994005,6.92288913809605,8.98528842133072e-12,1.71267661030942e-10
"3345","YBL067C",-0.591161484551926,7.58008890299864,9.27155716340747e-12,1.76159586104742e-10
"3208","YMR232W",-1.5370775648782,4.10881867329956,1.03540260510489e-11,1.96099977470026e-10
"4179","YJL155C",-0.594994646273268,6.8141723207323,1.25470501833182e-11,2.36880341079979e-10
"2395","YPL247C",-0.711133265878174,6.26028088605528,1.42134513634996e-11,2.67491757147887e-10
"5417","YIL124W",-1.76557896750237,7.98675475159885,1.4506024191325e-11,2.72136674655552e-10
"927","YOL016C",-1.17747421793012,6.63521100799317,1.52468258570758e-11,2.85134821924622e-10
"980","YOR035C",-0.62517301836467,6.56506184121825,1.6073882105693e-11,2.99659488660052e-10
"3075","YMR110C",-0.874198620994449,9.20432740011912,2.03375728983785e-11,3.77961081333304e-10
"3841","YNL208W",-0.883494023102026,9.42273490567069,2.25844739798391e-11,4.18410799869481e-10
"3574","YBR161W",0.985837039834189,5.33499694565529,2.31746364535979e-11,4.28011065184927e-10
"3428","YBR018C",-2.02842004079414,2.52475074154927,2.61538736068561e-11,4.81538966996821e-10
"1503","YGL071W",0.799377394952277,6.4425977553725,2.62384516891592e-11,4.81605161097005e-10
"5455","YIL087C",-0.807721489502701,6.81883682110555,2.71385838587511e-11,4.9659433294767e-10
"2622","YPL016W",-0.722600081055024,7.00554362225104,2.83128468499472e-11,5.16492331952872e-10
"809","YOL136C",1.1182470205056,6.35337069979988,2.89226057020339e-11,5.26002251100904e-10
"5890","YAL034C",-0.67261262588611,7.12134833256341,3.2855530520096e-11,5.95706829277472e-10
"1312","YOR383C",-1.12340143663262,7.95308316173548,3.40105133959379e-11,6.1477362664329e-10
"2314","YLR411W",0.956212642531418,8.93957747986415,3.9989742462058e-11,7.20132622916893e-10
"3558","YBR145W",-1.63388283928198,5.87803584515591,4.00813684522434e-11,7.20132622916893e-10
"3887","YNL160W",-1.22486463540784,9.6939430205672,4.05726814013792e-11,7.2676426594579e-10
"5819","YFR020W",0.800627027018218,6.778131005357,4.69135678403236e-11,8.37822786625839e-10
"4280","YJL052W",-1.76368376176327,9.18875325725615,4.89445598058818e-11,8.71476937621494e-10
"4768","YKR076W",-1.17400310109796,8.02086218345514,5.56703452246768e-11,9.88273262839263e-10
"2391","YPL250C",-1.49908962189986,7.24559026657659,5.69535498500594e-11,1.00804393142352e-09
"280","YDR040C",2.08038080513807,5.14590207991341,5.85734937165238e-11,1.03363966508061e-09
"5814","YFR015C",-0.966028877723799,6.48233173639109,6.1507225399181e-11,1.08219961375423e-09
"4518","YKL178C",-1.25498396956209,4.48949092802776,6.16940572468743e-11,1.08228483317747e-09
"596","YDR354W",-0.895438203842449,7.31289828417204,6.20328572428357e-11,1.08502765300925e-09
"4509","YKL186C",-0.60698122050417,6.88496990818938,6.44718185583613e-11,1.12438095298116e-09
"5357","YHR209W",-0.924192710077297,6.48259688335824,6.58373505990836e-11,1.14483837430629e-09
"5575","YIR037W",-1.09980011800848,7.85849603142302,7.13414982857765e-11,1.23693262479741e-09
"4103","YNR060W",1.04796868531416,5.81722079238016,7.25627686030485e-11,1.25444995605328e-09
"3905","YNL143C",1.10109687987029,3.46716118181234,7.44757471954982e-11,1.28378918426559e-09
