NCBI_CBS6556	Uniprot_DMKU3_1042	Gene_name_DMKU3_1042	standard_A	standard_B	standard_C	high_temp_A	high_temp_B	high_temp_C	low_pH_A	low_pH_B	low_pH_C	osmotic_stress_A	osmotic_stress_B	osmotic_stress_C
KMXK0F00520	W0TFI3	KLMA_60512	25	20	19	8	4	9	16	17	18	18	19	15
KMXK0H01760	W0TGT0	KLMA_70178	11	27	20	0	11	6	8	12	15	18	0	13
KMXK0B04470	W0T5K5	KLMA_20434	6	5	2	0	0	0	2	5	0	6	5	5
KMXK0G03510	W0TKF5	KLMA_80343	12	6	9	0	2	2	9	5	6	11	10	7
KMXK0A05880	W0T734	KLMA_10272	0	0	0	0	0	0	6	0	1	3	7	0
KMXK0A07140	W0T2G6	KLMA_10140	6	15	2	6	9	3	9	17	7	0	2	3
KMXK0B02670	W0T9D8	KLMA_20251	6	4	0	5	5	0	6	8	3	0	0	0
KMXK0C02930	W0T7J1	KLMA_30297	3	3	4	0	0	0	0	1	0	4	5	2
KMXK0G00760	W0THU7	KLMA_80065	19	23	14	8	12	6	17	18	16	28	24	21
KMXK0F00600	W0TEN7	KLMA_60504	18	24	21	17	11	9	8	12	9	26	24	19
KMXK0D06370	W0TB24	KLMA_40606	16	9	10	4	3	3	9	10	7	16	13	13
KMXK0C01490	W0T753	KLMA_30147	8	9	8	0	1	2	3	4	3	4	9	7
KMXK0B02840	W0T529	KLMA_20269	4	5	7	3	0	0	6	0	5	9	9	9
KMXK0H00760	W0TE62	KLMA_70079	3	5	5	0	0	0	4	2	2	4	7	4
KMXK0G02360	W0TK50	KLMA_80228	7	5	3	0	0	0	3	4	2	0	4	0
KMXK0B02630	W0T5K3	KLMA_20247	11	8	6	0	0	3	6	5	7	5	10	8
KMXK0E03060	W0TC20	KLMA_50301	4	0	7	0	0	0	4	3	2	6	6	4
KMXK0F04880	W0TGZ8	KLMA_60088	5	4	2	2	2	0	4	4	6	0	0	0
KMXK0D00530	W0TAJ8	KLMA_40039	12	23	16	13	9	6	11	12	19	27	25	22
KMXK0A05670	W0T4G0	KLMA_10296	31	14	15	10	23	24	10	8	7	4	8	19
KMXK0H00420	W0TE32	KLMA_70044	32	61	66	42	26	25	63	50	45	45	51	48
KMXK0B03140	W0T557	KLMA_20299	12	14	6	0	3	2	4	6	7	4	10	8
KMXK0C00800	W0TBB0	KLMA_30074	5	6	5	1	0	0	6	4	3	8	8	4
KMXK0E02330	W0TFL2	KLMA_50230	1	0	0	3	4	2	0	0	0	4	3	4
KMXK0D04640	W0TCE1	KLMA_40442	17	7	13	4	2	4	9	10	14	6	7	3
KMXK0A01450	W0T415	KLMA_10695	32	30	19	20	11	11	23	25	23	31	38	26
KMXK0D02350	W0T9Y4	KLMA_40211	3	4	5	2	0	0	4	3	3	9	8	7
KMXK0C03420	W0T9A8	KLMA_30348	4	2	4	0	0	0	2	0	0	0	0	0
KMXK0B01130	W0T668	KLMA_20100	0	0	0	0	0	0	2	5	2	4	3	0
KMXK0C00430	W0T972	KLMA_30041	1	5	1	0	0	0	3	4	2	0	0	0
KMXK0A07020	W0T2Z0	KLMA_10153	12	6	9	3	0	0	6	4	6	5	5	3
KMXK0A02920	W0T7U4	KLMA_10547	2	2	4	7	8	6	3	3	1	15	9	6
KMXK0F03620	W0TDS4	KLMA_60209	16	14	12	3	4	6	8	9	12	18	15	12
KMXK0C02820	W0TBU7	KLMA_30284	13	13	4	2	2	3	11	7	9	3	3	5
KMXK0D05140	W0TAS9	KLMA_40491	19	21	11	9	4	4	6	6	14	7	7	7
KMXK0D02980	W0TBB5	KLMA_40274	18	10	10	5	2	4	8	7	5	13	19	6
KMXK0D00580	W0TD75	KLMA_40045	0	7	1	0	0	0	0	0	0	3	5	0
KMXK0A07650	W0T2S0	KLMA_10088	1	0	0	0	0	0	1	0	0	4	7	0
KMXK0F00860	W0TDP3	KLMA_60476	29	26	26	12	12	12	26	22	24	24	30	24
KMXK0C00300	W0T8G6	KLMA_30028	4	6	2	0	0	0	6	4	2	2	7	5
KMXK0A02180	W0T5A6	KLMA_10621	11	16	20	3	5	6	8	10	17	9	6	7
KMXK0E01920	W0TDG9	KLMA_50187	21	12	12	3	6	5	9	8	7	13	15	13
KMXK0G00890	W0THW1	KLMA_80080	3	4	4	0	0	1	0	1	1	7	4	4
KMXK0C00120	W0T7D8	KLMA_30010	0	0	1	12	0	0	0	0	0	3	0	0
KMXK0E03920	W0TDZ2	KLMA_50387	6	5	3	0	0	0	0	3	2	4	5	2
KMXK0B05660	W0TA79	KLMA_20551	12	5	6	0	2	2	2	8	2	2	0	2
KMXK0C07370			4	5	11	0	2	3	10	10	9	5	4	2
KMXK0B02790	W0T523	KLMA_20264	37	42	49	23	28	29	46	37	48	39	59	47
KMXK0A04010	W0T5F9	KLMA_10434	14	17	16	9	0	8	20	13	19	13	18	11
KMXK0G02160	W0TFV3	KLMA_80206	12	11	12	3	3	2	10	14	8	7	10	5
KMXK0H01820	W0TF91	KLMA_70182	9	6	9	2	2	2	0	5	5	12	11	5
KMXK0D04650	W0TA15	KLMA_40443	25	34	19	7	12	18	26	32	25	19	25	22
KMXK0D04360	W0T9Y7	KLMA_40413	7	11	7	3	1	0	6	10	8	8	7	8
KMXK0H02020	W0TIS9	KLMA_70201	4	2	4	0	0	0	0	0	1	3	3	3
KMXK0C06820	W0T8M2	KLMA_30677	31	35	28	25	30	23	24	34	22	42	50	44
KMXK0D05020	W0TBV3	KLMA_40479	68	51	45	33	29	30	49	39	51	43	47	41
KMXK0G03030	W0TGU4	KLMA_80294	12	18	12	10	7	3	12	15	18	7	1	9
KMXK0F02730	W0TD76	KLMA_60301	19	13	11	5	3	4	16	8	14	11	11	6
KMXK0E02660	W0TDN9	KLMA_50262	24	32	26	15	14	15	25	24	34	26	34	34
KMXK0H00510	W0TE41	KLMA_70054	6	8	4	1	0	0	3	5	8	4	4	5
KMXK0C05060	W0TAJ7	KLMA_30511	4	6	3	0	0	0	3	3	5	5	4	3
KMXK0A01170	W0T4N4	KLMA_10723	21	20	16	7	7	5	13	12	14	16	19	9
KMXK0D01570	W0T944	KLMA_40133	5	20	31	29	17	17	23	18	21	35	43	28
KMXK0B06450	W0TAF9	KLMA_20631	5	4	3	0	0	0	5	0	2	4	7	2
KMXK0C04780	W0T8N2	KLMA_30480	7	6	6	2	0	0	5	7	6	8	8	3
KMXK0G00700	W0THU2	KLMA_80060	13	18	18	5	7	3	21	6	13	8	7	22
KMXK0C03930	W0TA51	KLMA_30396	6	11	7	0	6	5	0	9	0	12	16	5
KMXK0A07240	W0T2F8	KLMA_10130	5	0	0	0	0	0	0	5	0	8	6	0
KMXK0C00740	W0T8K1	KLMA_30068	4	3	2	0	0	0	0	1	1	4	3	4
KMXK0B00950	W0T6U8	KLMA_20083	0	0	0	0	0	0	0	0	2	2	5	2
KMXK0C05660			0	3	4	0	0	0	3	0	0	5	5	3
KMXK0G02920			10	5	6	2	2	0	2	4	4	8	9	7
KMXK0B03320	W0T9K2	KLMA_20316	3	3	3	0	0	0	3	1	0	0	0	0
KMXK0F04250	W0TH50	KLMA_60143	8	0	1	0	0	0	0	0	4	0	0	0
KMXK0H03420	W0TH96	KLMA_70343	0	4	0	0	0	0	4	4	1	0	0	0
KMXK0G04170	W0TKM4	KLMA_80413	61	53	34	22	30	31	34	50	37	43	48	40
KMXK0H02420	W0TIW6	KLMA_70241	6	5	3	0	0	0	3	3	3	3	2	3
KMXK0E03370	W0TBH5	KLMA_50333	21	8	12	6	10	15	6	3	3	12	14	12
KMXK0G01580	W0TGH6	KLMA_80149	13	14	14	6	2	3	10	11	12	15	4	9
KMXK0A02700	W0T5V1	KLMA_10569	5	2	1	0	0	0	3	4	1	2	6	6
KMXK0A02390	W0T3P0	KLMA_10600	0	2	0	0	0	0	2	4	0	3	6	3
KMXK0A07780	W0T4E7	KLMA_10074	6	2	4	0	0	2	2	1	3	0	0	0
KMXK0C05530	W0TAN7	KLMA_30556	6	10	7	17	17	24	19	21	14	11	17	9
KMXK0F01560	W0THU8	KLMA_60413	0	0	0	0	0	0	2	1	4	0	0	0
KMXK0F03410	W0THD6	KLMA_60233	4	0	3	0	0	0	0	0	0	0	0	0
KMXK0G02060	W0TFU2	KLMA_80196	10	7	6	0	0	4	7	5	7	0	3	5
KMXK0G02500	W0TGQ0	KLMA_80239	5	6	5	2	0	0	8	5	4	6	9	5
KMXK0F03480	W0TD08	KLMA_60226	18	19	17	10	7	6	15	14	25	20	18	19
KMXK0G02720	W0TG05	KLMA_80261	9	18	19	10	10	16	10	13	9	25	27	19
KMXK0C00520	W0TB91	KLMA_30049	8	2	6	2	1	1	4	6	2	10	9	7
KMXK0E00360	W0TB75	KLMA_50031	1	0	0	0	0	0	0	0	0	3	4	1
KMXK0B00330	W0T6Q3	KLMA_20023	5	10	13	35	13	15	13	15	8	18	25	14
KMXK0C05480	W0TAN3	KLMA_30551	12	7	10	4	4	6	16	13	8	15	19	11
KMXK0B00460	W0T609	KLMA_20035	8	9	15	3	5	5	8	8	2	12	17	11
KMXK0D04660	W0TBS0	KLMA_40444	11	20	17	13	5	4	16	16	26	12	21	16
KMXK0G02680	W0THL8	KLMA_80257	10	11	13	11	5	4	8	15	6	18	19	18
KMXK0A05420	W0T2Y2	KLMA_10320	3	5	3	0	0	0	2	0	1	3	3	3
KMXK0D02880			1	3	2	2	0	0	3	1	2	8	8	3
KMXK0G00460	W0TFE8	KLMA_80036	2	4	0	0	0	0	4	4	2	1	0	0
KMXK0D01430	W0TDE4	KLMA_40120	3	4	3	0	1	0	0	0	0	1	4	1
KMXK0B03090	W0T553	KLMA_20294	24	22	19	7	13	12	18	22	18	22	27	24
KMXK0C07340	W0TAG2	KLMA_30728	0	3	4	13	0	0	0	0	0	6	2	0
KMXK0C02010	W0TBL9	KLMA_30199	3	8	6	3	7	9	6	6	3	13	15	14
KMXK0F00710	W0TI30	KLMA_60493	31	37	21	19	14	19	24	37	19	33	39	31
KMXK0A01920	W0T4D7	KLMA_10648	1	1	0	0	0	0	0	1	0	5	3	2
KMXK0F05130	W0TGX6	KLMA_60063	8	6	8	3	0	2	2	5	6	10	8	8
KMXK0H00240	W0TFQ2	KLMA_70025	5	7	4	1	1	1	4	6	6	6	9	8
KMXK0E03730			11	13	9	3	5	3	11	12	11	10	18	9
KMXK0B01410	W0T694	KLMA_20130	2	9	23	2	4	3	7	9	13	11	11	8
KMXK0E04820	W0TBV9	KLMA_50478	6	4	6	0	0	1	2	0	4	4	6	2
KMXK0A00680	W0T5S6	KLMA_10771	10	14	7	4	2	3	7	10	6	11	13	10
KMXK0A03100	W0T519	KLMA_10531	0	1	2	0	0	1	2	1	2	4	6	5
KMXK0C05610	W0T8C0	KLMA_30562	4	4	0	0	1	0	5	5	2	0	0	1
KMXK0F04540	W0TH25	KLMA_60118	47	45	36	25	26	22	33	37	19	34	39	39
KMXK0C04280	W0TA81	KLMA_30431	26	28	20	14	11	10	24	27	20	15	20	18
KMXK0G02540	W0TK65	KLMA_80243	6	4	4	0	0	1	2	2	6	4	9	3
KMXK0D03490	W0T9R0	KLMA_40328	4	4	2	0	0	0	2	2	1	1	0	0
KMXK0B07730	W0T838	KLMA_20760	2	0	0	0	0	0	0	0	3	4	4	3
KMXK0C03790	W0T7S6	KLMA_30382	6	6	2	4	1	3	8	8	16	7	8	8
KMXK0C06160	W0T8G4	KLMA_30617	5	3	3	1	0	0	3	5	0	6	5	6
KMXK0D02480	W0TDQ2	KLMA_40225	4	3	1	0	0	0	0	2	0	0	0	0
KMXK0F01410	W0TFX4	KLMA_60425	31	35	30	20	20	19	45	31	36	33	22	38
KMXK0F01280	W0TED6	KLMA_60434	6	0	2	0	0	0	3	2	6	1	2	0
KMXK0C01620	W0TBI8	KLMA_30159	7	4	0	1	1	1	0	0	0	1	5	2
KMXK0F04390	W0TGF0	KLMA_60129 KLMA_80119	15	13	14	5	4	4	8	9	6	13	12	7
KMXK0H03390	W0TGJ2	KLMA_70340	5	2	3	0	0	0	0	1	0	2	0	1
KMXK0E01440	W0TBJ5	KLMA_10229 KLMA_50136	52	38	42	34	28	26	38	32	29	50	48	44
KMXK0B07490	W0T6D8	KLMA_20734	2	13	15	7	10	14	6	7	7	12	23	19
KMXK0C02970	W0T9V1	KLMA_30301	14	10	15	4	5	7	12	11	14	19	16	12
KMXK0E01220	W0TAV5	KLMA_50113	7	9	6	2	0	4	8	8	4	11	10	8
KMXK0D01290	W0TBD2	KLMA_40107	13	11	11	4	3	5	5	12	10	14	12	13
KMXK0E01600	W0TFE7	KLMA_50155	0	2	7	2	2	2	3	0	2	7	11	5
KMXK0C01400	W0TBH1	KLMA_30139	6	6	10	2	1	1	3	6	13	9	5	4
KMXK0E02130	W0TCW9	KLMA_50209	4	3	0	0	0	0	0	5	0	5	5	2
KMXK0A04670	W0T5C5	KLMA_10394	5	2	0	0	0	0	2	0	3	0	0	0
KMXK0A04500			12	13	21	5	9	5	14	13	20	18	15	14
