"","genes","logFC","logCPM","PValue","FDR"
"103","CENPK1137D_2980",-1.78449789087933,8.08777422179176,2.77165603680625e-40,8.79263649123003e-39
"165","CENPK1137D_3209",1.57311574652041,7.74499844512123,4.96575287645748e-40,1.54248698724961e-38
"99","CENPK1137D_3353",1.34286722352922,6.90490057169523,1.03771346628758e-39,3.1576138331322e-38
"125","CENPK1137D_5006",2.3681069109089,8.37590869110816,1.06118617854331e-39,3.16445718441616e-38
"22","CENPK1137D_808",-1.30984136018278,10.1684909427091,4.41354015609642e-39,1.25372533698858e-37
"138","CENPK1137D_1884",0.961581822800595,11.4869149237867,4.43906375863007e-39,1.25372533698858e-37
"535","CENPK1137D_4464",-1.46802454861517,10.8012286339611,4.45656893765222e-39,1.25372533698858e-37
"21","CENPK1137D_1403",-1.53302664317845,6.35490967928405,1.41033487325935e-38,3.89409128894388e-37
"35","CENPK1137D_4929",-1.47167029355124,9.10676657890589,2.03257870766344e-38,5.51013609659308e-37
"48","CENPK1137D_4353",1.79455766741158,5.98355354143483,3.05540287866496e-38,8.13501016444545e-37
"87","CENPK1137D_699",-1.87423327630668,6.28053519599292,2.82218434066125e-37,7.38224009109812e-36
"334","CENPK1137D_3275",0.977659803589536,12.4382804963523,1.2047415697491e-36,3.09701669051019e-35
"73","CENPK1137D_3279",-1.51186636937091,8.06177002415072,1.3443000907149e-36,3.39720582246766e-35
"93","CENPK1137D_557",-1.08618040682505,10.0384214314457,1.47634011065284e-36,3.6687051749723e-35
"77","CENPK1137D_5420",-1.0530443695929,9.75036340481045,2.22703012276376e-36,5.44344575908322e-35
"38","CENPK1137D_1697",-1.01060932887103,10.6492300318996,5.85450982713046e-36,1.40791518584702e-34
"338","CENPK1137D_2713",-1.4851553321994,8.74890002327993,1.56083036242632e-35,3.69396519107562e-34
"81","CENPK1137D_3741",-1.99760520696791,9.15463978907397,1.93574467473923e-35,4.50968017193156e-34
"1","CENPK1137D_1639",1.27947617596969,11.5484660104122,2.49078459125449e-35,5.71347665470837e-34
"86","CENPK1137D_4778",1.56289021337559,6.02981197633374,2.74623410985357e-35,6.20399251180558e-34
"37","CENPK1137D_3481",-1.12154380221042,8.12566603265904,9.99570380238936e-35,2.22441707005411e-33
"153","CENPK1137D_3873",-1.5711232732671,9.25460997223859,4.27674918330066e-34,9.37740151809013e-33
"367","CENPK1137D_2384",-2.16742715904829,8.17502627334564,1.23686913941179e-33,2.67271287951157e-32
