Ref_1	Ref_2	Ref_3	HiT_1	HiT_2	HiT_3	LpH_1	LpH_2	LpH_3	Osm_1	Osm_2	Osm_3
CENPK1137D_1679	0.00039279050723858	0.000163450340033879	0.000187833396561546	0.00015832863899527	0.000160046450977629	0.000189836516748878	0.000143941734916089	0.000110703958977337	0.000106857806508386	0.000186720836130324	0.000149367764975286	0.000179584793697745
CENPK1137D_3852	0.000102195265121761	9.80289286819352e-05	0.000111606296233836	0.000108522515905849	0.000150115718810186	0.000162253433118699	0.000134211407847169	0.000111822180785189	0.000125926708006515	7.07275894433047e-05	6.28652209491945e-05	7.12638070229147e-05
CENPK1137D_167	0	4.50028469256276e-06	0	1.99280854619598e-05	7.55411190895041e-06	6.43295549809819e-06	4.8777273777055e-06	1.08373919703708e-05	5.2304359524418e-06	0	5.48339812684604e-06	0
CENPK1137D_5005	0	1.62928967338396e-06	1.76220467737636e-06	7.21479330121988e-06	9.11633919899917e-06	4.65799329527365e-06	1.76593957693644e-06	0	0	1.86125235377118e-06	1.98521750365877e-06	0
CENPK1137D_1049	0	0	0	0	0	0	3.67855187620979e-06	6.12978731878944e-06	0	0	0	0
CENPK1137D_2070	0	0	0	0	0	0	0	0	0	3.61301927496758e-06	3.85365750710232e-06	1.98567883345583e-06
CENPK1137D_5058	3.39593228062577e-06	2.91459236864977e-06	3.15236043570607e-06	0	0	0	1.57952084841533e-06	0	0	0	0	0
CENPK1137D_2178	0	0	0	0	0	0	0	2.28208532214672e-06	0	4.33026057816151e-06	4.61866929422653e-06	4.75973479188298e-06
CENPK1137D_4802	7.79412521095915e-06	5.73375842027173e-06	8.26867975839085e-06	4.23168886797461e-06	3.20820094168708e-06	0	4.1431023937854e-06	4.6025967769395e-06	6.66403532949085e-06	3.2750380518649e-06	2.32877712777184e-06	0
CENPK1137D_1352	2.91020602532844e-06	4.99542604015524e-06	2.70147269612464e-06	2.76508276275358e-06	5.59016594403176e-06	0	1.3535991622728e-06	4.51116377250763e-06	2.90295589536501e-06	9.98659728692138e-06	1.06517354811227e-05	1.09770656294465e-05
CENPK1137D_180	0	0	0	1.0142769954854e-05	1.53792233482668e-05	6.54834483438695e-06	0	5.51589232572682e-06	5.32425543140936e-06	0	0	0
CENPK1137D_1107 CENPK1137D_5109	0.00034406365454137	0.00024741018266847	0.000250329434755737	0.00033574153358372	0.000303659561006663	0.000342253335484755	0.000224908960806389	0.000278681841175589	0.000222620430225804	0.0002279307081669	0.00019448927731157	0.000160343565801558
CENPK1137D_465	0	0	0	7.96421725328321e-06	1.61012526134436e-05	5.14183414812778e-06	3.89874688288432e-06	0	0	0	0	4.51672016342417e-06
CENPK1137D_86	0	0	1.73726781873424e-06	0	1.79746687980267e-06	0	0	0	0	5.5047416312006e-06	3.9142496062706e-06	4.03380039752347e-06
CENPK1137D_2344	0	3.55326826160607e-05	0	0	4.97038667632389e-05	0	0	0	0	0	0	0
CENPK1137D_3188	0	0	0	7.71958259362605e-06	7.80333744405799e-06	0	0	0	0	3.98295298912808e-06	4.24822994810256e-06	1.31339439564416e-05
CENPK1137D_2572	6.84065669172031e-06	5.87106106443532e-06	1.27000268128158e-05	1.2999067240991e-05	1.31401027075229e-05	8.39241895441546e-06	0	0	0	0	0	0
CENPK1137D_2760	8.15256345451598e-06	9.32935730786982e-06	5.04521613111862e-06	7.74601952031655e-06	0	3.33397465312395e-06	5.05590919972214e-06	2.80831960876046e-06	2.71075105297782e-06	0	0	0
CENPK1137D_5132	1.75169133827717e-06	3.00681273057173e-06	4.06512999527218e-06	0	8.4119862807542e-07	0	1.62949832927027e-06	0	1.74732738955745e-06	8.58723492137253e-07	0	9.43891483747214e-07
CENPK1137D_2912	2.13310800064397e-06	5.49228293124595e-06	5.94033512212354e-06	2.02673629026204e-06	6.14617707287363e-06	0	0	0	0	6.27422164416413e-06	2.2307013885198e-06	9.1953299384406e-06
CENPK1137D_3804	3.3485976746682e-05	2.87396697629903e-05	3.1084208848759e-05	4.33856336304175e-05	4.67801098948131e-05	4.85515388104547e-05	2.26546110432562e-05	2.83130329865313e-05	3.03659580870662e-05	0.000182064753899453	0.000191007372091159	0.000193560519330781
CENPK1137D_1639	0.000297568566089833	0.000230873605297855	0.000238658903866435	0.000228445607693176	0.000228637787110899	0.000248247752671609	0.000234735752324699	0.000241088621772868	0.000268331825232169	0.000431791933551375	0.00049789254991762	0.000515664907617811
CENPK1137D_5141	1.78988611181855e-05	1.92023425791682e-05	1.86919567564564e-05	3.40125969914651e-05	3.00839193566972e-05	3.29386668737208e-05	2.28941452295688e-05	2.31211276059602e-05	2.23178376166219e-05	0.000109680942275801	0.000107627148948358	0.000113325527709372
CENPK1137D_2390	0.000162548467819997	0.000128258113738039	0.000150889745877376	0.000112095480723524	0.000105757566725306	0.000135092065460062	0.000241447505196422	0.000268225451266676	0.000245830489764764	0.000223633160012916	0.000244011216644649	0.000231685857193441
CENPK1137D_3141	7.91916345239073e-05	6.59073951749513e-05	5.34630160991118e-05	2.96410182450823e-05	4.1486695241897e-05	3.23852618523209e-05	6.47380631601518e-05	4.71186205324688e-05	5.50566655397149e-05	9.41133246624619e-06	1.00381562483391e-05	7.75855963555926e-06
CENPK1137D_2676	0.000193823366638889	0.000179147032396214	0.000173001409088984	0.00021721197118349	0.000229115110257268	0.000198159203286929	0.000159498630306892	0.000190027672566063	0.000208212844971107	0.000328905439425806	0.000366403181306808	0.000372238090128043
CENPK1137D_4617	0.000539516839452595	0.000420082649619783	0.000428536886053005	0.000459766074518976	0.000427360349739998	0.000511780688575335	0.00048635956441813	0.000482821004885583	0.000510431889863525	0.000234491704252452	0.000250109575309085	0.000209795319740356
CENPK1137D_5411	7.19820289461368e-05	6.61920923463334e-05	5.96599531703552e-05	3.90814289405172e-05	4.44436303239329e-05	4.10014075051572e-05	4.54376634558182e-05	4.51636021745797e-05	5.64164085237458e-05	7.56158893616324e-06	8.06521409153812e-06	5.54103035167371e-06
CENPK1137D_3054	6.35377721188257e-06	1.09063838990578e-05	9.8300919280692e-06	6.03693336280898e-06	4.06828802688433e-06	2.59836458731012e-06	2.95527788631445e-05	3.0641665197365e-05	2.11264939716065e-05	4.36069568364859e-05	5.09409637371231e-05	5.02143551264666e-05
CENPK1137D_3368	0.000709796579663823	0.000674794981791245	0.000587929681628153	0.000747028965115299	0.000734158032007474	0.000656456550507763	0.000518068347263271	0.000620664397936142	0.000740706507907262	0.000353313508732839	0.000251230185738249	0.000211830031884627
CENPK1137D_673	0.000173035465743868	0.00014625925250829	0.000148456040298708	0.000163161199719795	0.000178780648511826	0.000175298037323176	0.000143892957642312	0.000143595443607413	0.000172604386430579	9.76788514998944e-05	9.59594672198057e-05	9.04139930510988e-05
CENPK1137D_4319	1.99766310102266e-05	1.90501561811048e-05	1.85438153742374e-05	1.1071932796872e-05	1.3323880367768e-05	1.49772399801876e-05	3.51014451292597e-05	3.32599306950819e-05	3.43184874567207e-05	2.50266854953232e-05	2.90147173611667e-05	2.63127902853839e-05
CENPK1137D_3199	0.000149157175984879	0.000135696554226122	0.000121843866264308	6.23564278176861e-05	5.73027035365662e-05	5.12379262480102e-05	0.000133202299517491	0.000138726765635761	0.000130931314017515	0.000157940556877154	0.000168459885310473	0.000154315612199996
CENPK1137D_1111	6.50423095278325e-06	1.11646407126967e-05	1.40880078852547e-05	2.67794991795279e-05	2.29054249382504e-05	1.59593540772491e-05	4.03367619212804e-06	2.24051728349195e-06	0	3.40110812623542e-05	4.08108647473459e-05	4.43938469978813e-05
CENPK1137D_5446	0	0	4.54692317989703e-06	0	4.70448121627364e-06	0	9.11312028591891e-06	1.01238188365192e-05	0	3.84199251296964e-05	6.14682160392124e-05	5.2788005202159e-05
CENPK1137D_3646	1.85980353806146e-05	2.46684639610791e-05	3.60976614381314e-05	3.6947632882419e-05	3.5724654236078e-05	4.77080407039356e-05	3.30285886498894e-05	3.3197209920603e-05	3.03573313944278e-05	4.97303363273236e-06	7.07233735678438e-06	5.46625792505311e-06
CENPK1137D_5006	4.2849873516936e-05	4.08625850084698e-05	6.18745306320388e-05	4.52367539986486e-05	6.40185803910517e-05	5.25701123304584e-05	3.54318116716527e-05	3.93614076363866e-05	3.79938867585372e-05	0.000163380731614034	0.000139409913976934	0.000133405846746896
CENPK1137D_1962	0.000184209112341325	0.000170260770868624	0.000147320311028664	0.00013463319642455	0.00012248452880941	0.000128643793401254	0.000108088115962631	0.000143505132007659	0.0001554809353958	7.78003483876352e-05	6.81638610006266e-05	7.94082421112478e-05
CENPK1137D_1403	7.66545143415671e-05	6.2134521032557e-05	6.42385077159871e-05	4.95662107766946e-05	4.49913355674399e-05	5.09400313279636e-05	6.14035197798096e-05	6.05120030188189e-05	5.94716474306262e-05	3.13149881703362e-05	3.45140184424111e-05	3.55681612869288e-05
CENPK1137D_1415	0.00030746810742746	0.000237898611350681	0.000248657080747989	0.000250085773084506	0.000252799118821248	0.00027148079318295	0.000266518642099638	0.000269598682441004	0.000250938097475662	0.000383672950952721	0.000409226753356948	0.000416705000752386
CENPK1137D_1851	2.90310796185203e-05	3.05789854553405e-05	3.42985203060082e-05	3.13447574824339e-05	3.16848374599361e-05	3.88544806581363e-05	3.19161274758513e-05	3.95468688142742e-05	4.34381327269861e-05	9.05658157505731e-06	8.27980958843049e-06	1.27990429464658e-05
CENPK1137D_3503	0.000310371385752108	0.000223758614127214	0.000231928651326091	0.000185783279133955	0.00018928943261463	0.000184676984501466	0.000222314985227938	0.000229330235169625	0.000208978761098538	0.000205405091896951	0.000188251420438214	0.000177276849804069
CENPK1137D_4663	4.18864843762815e-05	4.49368603465577e-05	5.1842924702169e-05	5.4721879837075e-05	6.36967442097813e-05	6.20940557829625e-05	5.68233783223903e-05	5.59110903925946e-05	6.61550447591832e-05	0.000112935989594954	0.00011680763634431	0.000105328324749411
CENPK1137D_4473	3.08361208383247e-05	4.76377286368172e-05	4.00741778704914e-05	3.51580989626803e-05	4.73860698675438e-05	3.02648890791355e-05	8.60552420781721e-05	7.01061340673984e-05	6.76704589287418e-05	0.000169306457631123	0.00016123463404068	0.000119634577592872
CENPK1137D_1055	6.30887419271732e-05	7.58051488673027e-05	5.46594793569247e-05	7.5927413955329e-05	7.67512006202665e-05	7.22400444274066e-05	5.08628038572753e-05	6.51966778429548e-05	7.13224464327664e-05	1.23710801323095e-05	1.3195032241633e-05	9.06536061068879e-06
CENPK1137D_208	0.000165734391239907	0.000142243175662395	0.000125874949296643	0.000100207999364095	0.00010129522213774	7.39382733199134e-05	4.2047244863512e-05	9.34210624281328e-05	7.51461367850815e-05	0	0	0
CENPK1137D_4500	2.84630802346797e-05	3.10910972890531e-05	3.36274623000211e-05	5.16289040201968e-05	5.71594467777248e-05	4.44433316803393e-05	3.36987339268436e-05	4.5458147406153e-05	3.09732772488075e-05	8.87938758771923e-05	8.92959464526167e-05	0.000103177598863611
CENPK1137D_746	1.71016417293008e-05	2.05487137255236e-05	1.90500402192238e-05	3.24976681024775e-05	2.29951797381651e-05	4.6158304249285e-05	9.54520788568231e-06	1.06038274882507e-05	1.36472294391297e-05	0	0	0
CENPK1137D_3469	1.4283291172312e-05	2.04312925042349e-05	3.09372653160194e-05	1.80947015994595e-05	3.20092901955259e-05	2.33644943690926e-05	2.2144882294783e-05	2.952105572729e-05	2.84954150689029e-05	0.000107364480774937	8.96206589851716e-05	7.1833917479098e-05
CENPK1137D_3693	0.000193765577918961	0.00020193719335581	0.000205563224691159	0.000184103068599151	0.000279150786588888	0.000220740135754509	0.000154499178800811	0.000143028370771754	0.000179476935995997	0	0.000115788965097121	0
CENPK1137D_3477	8.13744862076486e-05	7.45754013769872e-05	6.78561108156359e-05	5.24180231734051e-05	6.09347520689534e-05	5.41471480164372e-05	6.54338932232868e-05	6.69896494390994e-05	6.87896269527397e-05	4.32724996825781e-05	3.75005976183607e-05	3.56731919280407e-05
CENPK1137D_4927	4.16726219469351e-05	3.57659387382668e-05	3.86836702919905e-05	3.46452164103436e-05	3.5021105246746e-05	5.75165342784009e-05	8.96455847819441e-05	0.000107662493534974	8.83337082734043e-05	6.38405484581251e-05	5.44740207787331e-05	6.73653493083132e-05
CENPK1137D_4778	3.94566054483757e-05	2.63386827863065e-05	2.03481092581027e-05	1.24963408836046e-05	2.10532032330478e-05	2.15142673748551e-05	4.28215955976466e-05	3.17138413276596e-05	2.18657267256775e-05	7.09229695246398e-05	5.50157513721127e-05	6.14207397545563e-05
CENPK1137D_1274	0.000178988611181855	0.000145937803601678	0.000130151402600511	0.000104872174057018	0.000114605407073132	0.000150053926869173	0.000113776964171191	0.000114064229522737	0.000133907025699732	7.31206281838676e-05	7.4871060137988e-05	8.03727146874977e-05
CENPK1137D_2642	8.26579350249537e-05	8.51303854343121e-05	9.20751943929148e-05	8.167747249756e-05	8.89146949875719e-05	8.92393882152844e-05	7.68919524124408e-05	7.85861437184802e-05	9.23462525381112e-05	0.000171809102689361	0.000159049009001462	0.000171033136854995
CENPK1137D_20	0.000149172753757828	0.000152034422028902	0.00014712798686283	0.000118111629239291	8.95448252392555e-05	0.000110569571916398	0.000127202979238962	0.000128464124139643	0.000120900912498609	7.92222868699157e-05	8.44987356257058e-05	7.03334701166103e-05
CENPK1137D_2964	6.4829752960748e-05	6.23176677689082e-05	6.13834629286099e-05	6.7756575978368e-05	6.60011041224273e-05	7.47638368292044e-05	7.35750446613159e-05	6.69958599475535e-05	7.11350684817383e-05	0.000113141029517966	0.000107117405891863	0.000117375682155389
CENPK1137D_3741	1.74719158071095e-05	2.24931660597082e-05	2.4328124757027e-05	2.90511264211505e-05	2.30735381488063e-05	1.8755901443079e-05	1.82847651975272e-05	2.93404988115267e-05	2.39640340793526e-05	2.14129399232023e-06	2.28391077943863e-06	4.7073340418806e-06
CENPK1137D_945	0.000411125372647792	0.000324396566223228	0.000350860350778572	0.000305568602915663	0.000340727621460532	0.000305072611017052	0.000286834826380893	0.000322072799253163	0.000449788352991039	0.000477854507506227	0.000499279437243296	0.00047522438443693
CENPK1137D_25	1.0953444150546e-05	1.88018029180076e-05	2.03356257554904e-05	1.04072286806707e-05	7.01342905248157e-06	1.34381677736346e-05	1.69822716984532e-05	2.26388464166334e-05	2.18523121694041e-05	5.36965594699936e-05	5.34547216169224e-05	5.50873600299831e-05
CENPK1137D_1876	8.52409954944835e-06	8.64605477067233e-06	7.91271201814112e-06	1.39892305659883e-05	1.33967453385292e-05	1.5211259354878e-05	1.00920687541329e-05	9.6097186612272e-06	7.72987604950708e-06	3.798845136115e-06	3.24148795519284e-06	1.67024547709956e-06
CENPK1137D_4361	3.01335256799831e-05	3.44831940999745e-05	3.26342461139445e-05	4.77180949352834e-05	4.34122380590315e-05	5.54537049899351e-05	3.73753287675662e-05	4.15204721902812e-05	3.50681971663714e-05	4.92407268276172e-06	5.25203111727447e-06	0
CENPK1137D_3146	0.000193203938562674	0.00015397495800293	0.000153725541942953	0.000144233128691343	0.00013254364470197	0.000131213645913383	0.000109119709858351	0.000124787071311008	0.000106685732745892	9.47134676023384e-05	9.38058427381024e-05	8.55165684274976e-05
CENPK1137D_4507	2.52354967708693e-05	2.52683829557676e-05	2.73297396784623e-05	5.59465155460319e-05	6.46325899960139e-05	5.16000317338618e-05	3.13001869890925e-05	2.17322259476516e-05	2.09771901272842e-05	4.12369337743649e-06	8.7966881610887e-06	1.35980409160332e-05
CENPK1137D_5284	1.85617819003405e-05	2.78789566334589e-05	2.58456686015199e-05	2.42497219291001e-05	2.22843847086646e-05	2.84655145822279e-05	6.47511178210028e-06	1.91819725323521e-05	1.62010969365107e-05	2.27486398794255e-06	4.85275389783256e-06	5.00096891388875e-06
CENPK1137D_1594	0.0001717567481038	0.000142989565145078	0.000138710682462053	0.000151768330514947	0.000155064588661072	0.000134859996358399	0.000113440594727965	0.000120696957037982	0.000149056103354651	0.000207130797655392	0.00019039181201756	0.000216567933030676
CENPK1137D_624	0.000134532914937166	0.000108614629692053	0.000115358576883077	8.77437038766892e-05	7.99356248040978e-05	9.37153449909726e-05	9.96943934726819e-05	0.000100147259611257	0.000102354220793473	0.000120724678532537	0.000125188500338482	0.00012409731912611
CENPK1137D_2320	0	4.97111739762407e-06	5.37665368717751e-06	0	0	0	0	0	0	8.51828631981407e-06	1.51427174549155e-05	1.56052132166966e-05
CENPK1137D_289	8.13862744861083e-06	1.22238502162089e-05	1.32210535538544e-05	1.93319461532686e-05	2.34500294472717e-05	1.74734466435522e-05	1.51417998596807e-05	8.41055718726209e-06	1.21775278072235e-05	0	4.25549187963778e-06	0
CENPK1137D_1993	2.78426728505107e-05	2.09092174750942e-05	2.90763771767099e-05	2.64542421044729e-05	3.00839193566972e-05	2.13491359366709e-05	3.88506706926017e-05	3.95628183479763e-05	4.16599635510276e-05	9.5544287493587e-05	7.27913084674883e-05	5.62609002812484e-05
CENPK1137D_2190	4.70729935057364e-05	4.6172412438949e-05	5.61814745448294e-05	7.98671504213429e-05	7.42749873382864e-05	0.00010312718206697	8.4450822310613e-05	7.29687111903353e-05	6.03716420951333e-05	3.29662493167946e-05	3.51619032427698e-05	2.17415004476689e-05
CENPK1137D_1	3.58712791998703e-05	4.75797222701361e-05	4.23798155013964e-05	2.4787262465013e-05	3.13202448097122e-05	3.60069262537387e-05	6.06709103966656e-05	6.06597035492259e-05	6.18051240078944e-05	7.67345901905443e-05	8.86657965606721e-05	9.13738676348604e-05
CENPK1137D_2713	9.71652460701497e-05	0.000125089545944295	0.000124019649590457	0.000161559835709459	0.000174977898299157	0.000193710731376406	0.000169476140011094	0.000188272039077104	0.000169615565886327	7.14492995396649e-05	5.08053622364919e-05	1.30892706776782e-05
CENPK1137D_2980	7.08496585928175e-05	0.000121614836334732	6.57679959949391e-05	9.42432374971847e-05	0.00012248452880941	6.95371856222995e-05	5.27259102256737e-05	7.32169040855405e-05	8.48077829431634e-05	0	1.48182306523101e-05	0
CENPK1137D_2662	4.4464268496182e-05	3.4247856209206e-05	3.81000804384475e-05	3.46641793093093e-05	3.94203081225688e-05	4.47595677568824e-05	3.39385169268704e-05	3.29896855190022e-05	3.18435353579694e-05	2.01207797554229e-05	1.90763429087211e-05	2.08876675756819e-05
CENPK1137D_1157	0.000137945692889327	0.000142071901519514	0.000128051594851074	9.73638745004027e-05	0.000102205633311163	9.67073442429331e-05	0.000139322107152608	0.000138481773555168	0.000133670545301145	0.000204805552874735	0.000201959726373869	0.000186890513781948
CENPK1137D_597	9.80995272823627e-06	7.01624055777298e-06	7.58861492249298e-06	1.70880595461928e-05	1.88437736629862e-05	1.80529231904047e-05	9.12563830828968e-06	1.18273460445873e-05	9.78551341651885e-06	3.20605831267727e-06	0	3.52403441322106e-06
CENPK1137D_3890	3.83959440115914e-05	8.78765268999351e-05	7.12840214654824e-05	0.00010944375967415	0.000110631187311725	0.000125615561124154	4.76234027844795e-05	5.29051177908422e-05	6.38338151185101e-05	1.25484432883283e-05	1.33842083311188e-05	0
CENPK1137D_232	8.75201664970098e-06	9.38938074643149e-06	1.32019580195723e-05	2.07889494479084e-05	1.89130522426295e-05	1.61060393169297e-05	1.42476264764229e-05	1.92194373224544e-05	1.41865960438012e-05	3.217845291768e-06	5.72027286210501e-06	7.07398084418638e-06
CENPK1137D_1398	0.000185497287952104	0.000238807314984564	0.000243939476053956	0.000315776042523034	0.000348895324487411	0.000293952648312448	0.000215696905468665	0.000239618958825405	0.000316101736424518	0.000189448900294566	0.000153570754033032	0.000108283966515338
CENPK1137D_808	7.57957668342029e-05	6.02337632789944e-05	6.77534449306354e-05	7.73505817193874e-05	8.088600959112e-05	6.54371157153243e-05	5.74513455760879e-05	5.22188485742157e-05	5.32048826954751e-05	2.7523708156003e-05	3.52282464564354e-05	3.32788532795686e-05
CENPK1137D_3299	0.000120007076036229	8.828336267262e-05	9.09384635979406e-05	8.14447731457151e-05	8.23284212847888e-05	9.91548757947604e-05	8.20180825732702e-05	7.59286412738939e-05	8.550578938714e-05	0.000129667247312725	0.000145987013093129	0.000155724615346369
CENPK1137D_4858	2.038140863629e-05	1.92417994474815e-05	3.02712967867117e-05	2.51745634410288e-05	2.34901836072841e-05	2.50048098984296e-05	2.27515913987496e-05	3.58060750116959e-05	3.25290126357339e-05	5.39540087277264e-05	5.54161228504201e-05	5.71086672717878e-05
CENPK1137D_4929	0	0	8.98294579443072e-06	2.75833865845419e-05	1.85884379764959e-05	2.37444048466389e-05	2.250496168169e-05	5.00017881559789e-06	0	0	0	0
CENPK1137D_1941	1.17461276088092e-05	6.72081990270885e-06	1.09036414412662e-05	1.86006389797075e-05	2.63234294371101e-05	1.44106667572529e-05	1.45690015097256e-05	2.02309866552152e-05	1.56224863316354e-05	0	0	0
CENPK1137D_442	2.28271776726448e-05	1.11952287694438e-05	1.51356483933559e-05	6.19681561625324e-06	0	4.00076958374874e-06	1.82012731189997e-05	1.34799341220502e-05	9.75870379072017e-06	0	3.41022294464123e-06	0
CENPK1137D_3977	0.000367368600110905	0.000340521541737249	0.000361480392801814	0.000488668638874291	0.000437516753113449	0.000522816617826919	0.000341742010721959	0.000387236070496859	0.000344466180102478	0.000280945702510905	0.000291974026186259	0.000253382424970363
CENPK1137D_40	1.98012354514492e-05	1.69946055950198e-05	1.42963333253324e-05	8.36169205150622e-06	8.45241357156743e-06	1.34961265995221e-05	8.18664779844102e-06	1.5915541442624e-05	1.09732806026274e-05	3.66711438795693e-05	3.22111631185152e-05	3.08239017437376e-05
CENPK1137D_3590	3.98085038247269e-05	4.09992491723778e-05	3.32579297472736e-05	3.40410356177122e-05	3.0586994931224e-05	2.93032956134105e-05	3.33284181694058e-05	2.87970164563865e-05	1.98546649030817e-05	1.56121100443415e-05	4.16298118660218e-06	0
CENPK1137D_225	1.49647634784056e-05	2.07474440323469e-05	2.24399893491436e-05	8.74985570573475e-06	9.95038725337568e-06	8.47358354778505e-06	1.49916998127157e-05	1.42751720151305e-05	1.60757499582786e-05	9.02905397148571e-06	6.01901051641224e-06	9.92455339584111e-06
CENPK1137D_5285	1.33551109605535e-05	1.28949251429253e-05	9.2979158433238e-06	1.90336973346348e-05	1.76368559482461e-05	1.22884788056238e-05	1.55293704731998e-05	1.55265019603559e-05	1.16566097172931e-05	4.91026041717192e-06	0	3.59817258460719e-06
CENPK1137D_3886	2.50698791943816e-05	2.52584660079827e-05	2.22599371059794e-05	3.21048391473926e-05	2.72187841798689e-05	3.47685928111498e-05	1.72373168045472e-05	2.02754503621497e-05	1.52219097590293e-05	1.38929193549348e-05	1.2538502859647e-05	1.64454939283649e-05
