,logFC,-log10Pval
KMXK0A05080,1.11954725296062,3.92219109728661
KMXK0H00950,-1.07081250605215,3.91819350450004
KMXK0E02060,-1.07034288667247,3.91384755870576
KMXK0H01060,1.08585826193629,3.84482154611385
KMXK0C04230,1.17150074145402,3.82635312186754
KMXK0D02940,1.07182412270619,3.79959667677075
KMXK0B04960,-1.00571814095717,3.72458662579414
KMXK0F03540,2.38073105699361,3.65433097995467
KMXK0A07100,-1.33606975199224,3.65162449770127
KMXK0C01510,-1.07000904270991,3.63762330907911
KMXK0C03410,-1.03666573197176,3.62151236461745
KMXK0H02880,-1.01110540114955,3.61985528965563
KMXK0H01010,1.08022335760769,3.60582246561216
KMXK0C06410,1.0152080227779,3.57189735536149
KMXK0B06260,1.67935122431395,3.46013463786428
KMXK0H02200,-1.02438371211906,3.36264426460718
KMXK0B02560,-1.33550309503893,3.34969243141724
KMXK0A03660,1.90110733324211,3.33962288725268
KMXK0C05990,-1.15436829881274,3.29799902775581
KMXK0F01910,1.46278826578643,3.24205214829621
KMXK0D03630,1.70469447844925,3.23889633876001
KMXK0E05830,-1.45004299426053,3.21167782457964
KMXK0F04690,1.05704405983065,3.18530236008871
KMXK0A04650,1.04062357960003,3.07886975943863
KMXK0A06580,-1.00896542043557,3.07886975943863
KMXK0B02070,-1.27709063477368,3.01431260521937
KMXK0B02760,1.94317185601486,3.00002361474314
KMXK0F05820,1.40501138871544,2.90648522263396
KMXK0A07950,-1.08492619995535,2.86142204626284
KMXK0B03110,1.92305713852499,2.77570006355294
KMXK0C01960,1.19243544310103,2.73904065150532
KMXK0H04280,-1.00295942812728,2.73433966787088
KMXK0A04110,-1.34630352904701,2.69375637811686
KMXK0A03680,-2.50496186296749,2.66400916353241
KMXK0B06000,1.13003175136061,2.65451624994546
KMXK0F05840,1.66942532844182,2.63338621883015
KMXK0B02000,-1.06428109557975,2.5808303922291
KMXK0E03540,1.29316425632908,2.57610530625055
KMXK0C07310,-1.0434506288703,2.4301380427086
KMXK0F03530,1.60832726569776,2.41731315293584
KMXK0C04560,1.0136407589154,2.36038329617422
KMXK0F03750,1.3015712568253,2.35289478251922
KMXK0A02920,1.90795361571093,2.29898788179916
KMXK0F02810,1.31626872926238,2.29186700255699
KMXK0A00370,2.88327498301455,2.24877119148909
KMXK0D00110,1.35515552882862,2.24010628081463
KMXK0H03130,-1.06589337271878,2.20818055971658
KMXK0G01090,-1.07396506453495,2.20555181745168
KMXK0A02930,1.50783645974899,2.19870557333616
KMXK0G02050,1.32321656967636,2.18623780061053
KMXK0C02180,1.19888830925356,2.16540522747975
KMXK0D05840,1.20200472271585,2.16314372964884
KMXK0D04920,1.27173247577698,2.14798510997618
KMXK0A06630,1.0836612199129,2.10359528957632
KMXK0F02660,-1.38832012872,2.07016307639736
